operationId,平台,方法,路径,用途,所有者类型,UI_ID,责任模块,计划版本,权限,说明,状态
searchDeleteSearchHistory,CLIENT,DELETE,/api/v1/search/history,清空历史,PAGE_ACTION,DIALOG-SEARCH-001,Search,R07,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetContents,CLIENT,GET,/api/v1/contents,统一内容列表,PAGE_ACTION,SCR-LIST-001;SCR-LIST-002;SCR-LIST-003;SCR-LIST-004;SCR-PUBLISHER-001,Content,R06/R08/R09/R10/R11,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContents,CLIENT,POST,/api/v1/contents,创建内容/草稿,PAGE_ACTION,SCR-PUB-002;SCR-PUB-003;SCR-PUB-004;SCR-PUB-005,Content,R08/R09/R10/R11/R12,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetContentsById,CLIENT,GET,/api/v1/contents/{id},内容详情,PAGE_ACTION,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SCR-MYC-003;SCR-PUB-006,Content,R06/R08/R09/R10/R11,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPatchContentsById,CLIENT,PATCH,/api/v1/contents/{id},编辑内容,PAGE_ACTION,SCR-PUB-002;SCR-PUB-003;SCR-PUB-004;SCR-PUB-005,Content,R08/R09/R10/R11/R12,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentDeleteContentsById,CLIENT,DELETE,/api/v1/contents/{id},删除内容,PAGE_ACTION,SCR-MYC-002,Content,R08/R09/R10/R11/R12,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdSubmit,CLIENT,POST,/api/v1/contents/{id}/submit,提交审核,PAGE_ACTION,SCR-PUB-007,Content,R08/R09/R10/R11/R12,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdOnline,CLIENT,POST,/api/v1/contents/{id}/online,上架,PAGE_ACTION,SCR-MYC-001,Content,R08/R09/R10/R11/R12,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdOffline,CLIENT,POST,/api/v1/contents/{id}/offline,下架,PAGE_ACTION,SCR-MYC-001,Content,R08/R09/R10/R11/R12,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdCopy,CLIENT,POST,/api/v1/contents/{id}/copy,复制为草稿,PAGE_ACTION,SCR-MYC-003,Content,R08/R09/R10/R11/R12,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetMeContents,CLIENT,GET,/api/v1/me/contents,我的发布,PAGE_ACTION,SCR-MYC-001;SCR-PUB-001,Content,R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetMeDrafts,CLIENT,GET,/api/v1/me/drafts,草稿列表,PAGE_ACTION,SCR-MYC-002,Content,R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetContentsByIdReviews,CLIENT,GET,/api/v1/contents/{id}/reviews,审核记录,PAGE_ACTION,SCR-MYC-004,Content,R12,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetContentsByIdAnalytics,CLIENT,GET,/api/v1/contents/{id}/analytics,内容数据,PAGE_ACTION,SCR-MYC-003;SCR-MYC-005,Content,R12/R23,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdFavorite,CLIENT,POST,/api/v1/contents/{id}/favorite,收藏,PAGE_ACTION,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004,Content,R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentDeleteContentsByIdFavorite,CLIENT,DELETE,/api/v1/contents/{id}/favorite,取消收藏,PAGE_ACTION,SCR-FAV-001,Content,R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetMeFavorites,CLIENT,GET,/api/v1/me/favorites,收藏列表,PAGE_ACTION,SCR-FAV-001,Content,R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentGetMeHistory,CLIENT,GET,/api/v1/me/history,浏览历史,PAGE_ACTION,SCR-HIS-001,Content,R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdContactsByChannelAccess,CLIENT,POST,/api/v1/contents/{id}/contacts/{channel}/access,获取/复制联系方式,PAGE_ACTION,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SHEET-CONTACT-001,Content,R07/R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdReport,CLIENT,POST,/api/v1/contents/{id}/report,举报内容,PAGE_ACTION,SHEET-REPORT-001,Content,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdInvalidFeedback,CLIENT,POST,/api/v1/contents/{id}/invalid-feedback,二维码/链接失效反馈,PAGE_ACTION,SHEET-CONTENT-INVALID-001,Content,R10/R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
contentPostContentsByIdShare,CLIENT,POST,/api/v1/contents/{id}/share,记录分享并返回分享地址,PAGE_ACTION,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SHEET-SHARE-001,Content,R13,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatGetConversations,CLIENT,GET,/api/v1/conversations,会话列表,PAGE_ACTION,SCR-CHAT-001;SCR-MSG-001,Chat,R14,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatPostConversationsDirect,CLIENT,POST,/api/v1/conversations/direct,创建/获取私聊会话,PAGE_ACTION,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004,Chat,R14,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatGetConversationsByIdMessages,CLIENT,GET,/api/v1/conversations/{id}/messages,消息分页,PAGE_ACTION,SCR-CHAT-002,Chat,R14,登录+成员,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatPostConversationsByIdMessages,CLIENT,POST,/api/v1/conversations/{id}/messages,发送消息,PAGE_ACTION,SCR-CHAT-002;SHEET-CHAT-001,Chat,R14,登录+成员,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatPostConversationsByIdRead,CLIENT,POST,/api/v1/conversations/{id}/read,更新已读,PAGE_ACTION,SCR-CHAT-002,Chat,R14,登录+成员,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatDeleteConversationsById,CLIENT,DELETE,/api/v1/conversations/{id},删除会话视图,PAGE_ACTION,DIALOG-CHAT-DELETE-001,Chat,R14,登录+成员,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatPostUsersByIdBlock,CLIENT,POST,/api/v1/users/{id}/block,拉黑,PAGE_ACTION,DIALOG-CHAT-BLOCK-001,Chat,R14,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatDeleteUsersByIdBlock,CLIENT,DELETE,/api/v1/users/{id}/block,取消拉黑,PAGE_ACTION,DIALOG-CHAT-BLOCK-001,Chat,R14,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
chatPostConversationsByIdReport,CLIENT,POST,/api/v1/conversations/{id}/report,举报聊天,PAGE_ACTION,SHEET-CHAT-002,Chat,R14,登录+成员,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
notificationGetNotifications,CLIENT,GET,/api/v1/notifications,通知列表,PAGE_ACTION,SCR-MSG-001;SCR-NOTICE-001;SCR-NOTICE-002,Notification,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
notificationPostNotificationsByIdRead,CLIENT,POST,/api/v1/notifications/{id}/read,标记已读,PAGE_ACTION,SCR-NOTICE-002,Notification,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
notificationPostNotificationsReadAll,CLIENT,POST,/api/v1/notifications/read-all,全部已读,PAGE_ACTION,SCR-NOTICE-001,Notification,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
notificationGetAnnouncements,CLIENT,GET,/api/v1/announcements,公告列表,PAGE_ACTION,SCR-ANN-001;SCR-MSG-001,Notification,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
notificationGetAnnouncementsById,CLIENT,GET,/api/v1/announcements/{id},公告详情,PAGE_ACTION,SCR-ANN-002,Notification,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
membershipGetMembershipSkus,CLIENT,GET,/api/v1/membership/skus,会员SKU和权益,PAGE_ACTION,SCR-MEMBER-001;SCR-MEMBER-002,Membership,R18,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
membershipGetMeMembership,CLIENT,GET,/api/v1/me/membership,当前会员,PAGE_ACTION,SCR-ME-001;SCR-MEMBER-001;SCR-MEMBER-004,Membership,R18,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
membershipPostMembershipOrders,CLIENT,POST,/api/v1/membership/orders,创建会员购买订单,PAGE_ACTION,SCR-MEMBER-002,Membership,R18,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
membershipPostMembershipUpgradeQuotes,CLIENT,POST,/api/v1/membership/upgrade-quotes,生成升级报价,PAGE_ACTION,SCR-MEMBER-003,Membership,R18,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
membershipPostMembershipUpgradeOrders,CLIENT,POST,/api/v1/membership/upgrade-orders,创建升级订单,PAGE_ACTION,SCR-MEMBER-003,Membership,R18,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
propGetPropsStore,CLIENT,GET,/api/v1/props/store,道具商城,PAGE_ACTION,SCR-PROP-001,Prop,R19,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
propGetMeProps,CLIENT,GET,/api/v1/me/props,我的道具,PAGE_ACTION,SCR-PROP-002;SCR-PROP-003,Prop,R19,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
propPostPropsOrders,CLIENT,POST,/api/v1/props/orders,购买道具订单,PAGE_ACTION,SCR-PROP-001,Prop,R19,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
propPostMePropsByIdUse,CLIENT,POST,/api/v1/me/props/{id}/use,使用道具,PAGE_ACTION,SCR-PROP-003,Prop,R19,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketGetRedPacketCampaigns,CLIENT,GET,/api/v1/red-packet-campaigns,红包聚合列表,PAGE_ACTION,SCR-RP-001,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaigns,CLIENT,POST,/api/v1/red-packet-campaigns,创建草稿,PAGE_ACTION,SCR-RP-ADV-002,RedPacket,R20-R23,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketGetRedPacketCampaignsById,CLIENT,GET,/api/v1/red-packet-campaigns/{id},红包活动详情,PAGE_ACTION,SCR-RP-002;SCR-RP-ADV-003,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPatchRedPacketCampaignsById,CLIENT,PATCH,/api/v1/red-packet-campaigns/{id},编辑待审草稿,PAGE_ACTION,SCR-RP-ADV-002,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdSubmitReview,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/submit-review,提交预审核,PAGE_ACTION,SCR-RP-ADV-003,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdQuote,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/quote,创建初始报价,PAGE_ACTION,SCR-RP-ADV-004,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdOrders,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/orders,创建红包订单,PAGE_ACTION,SCR-RP-ADV-004,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdPause,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/pause,暂停,PAGE_ACTION,SCR-RP-ADV-005,RedPacket,R20-R23,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdResume,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/resume,恢复,PAGE_ACTION,SCR-RP-ADV-005,RedPacket,R20-R23,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdClose,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/close,关闭且不退款,PAGE_ACTION,SCR-RP-ADV-005,RedPacket,R20-R23,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdIncreaseQuotes,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/increase-quotes,提高金额报价,PAGE_ACTION,SCR-RP-ADV-006,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdIncreaseOrders,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/increase-orders,创建加价订单,PAGE_ACTION,SCR-RP-ADV-006,RedPacket,R20-R23,登录+实名+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketGetMeRedPacketCampaigns,CLIENT,GET,/api/v1/me/red-packet-campaigns,广告主活动列表,PAGE_ACTION,SCR-RP-ADV-001,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketGetMeRedPacketCampaignsByIdAnalytics,CLIENT,GET,/api/v1/me/red-packet-campaigns/{id}/analytics,活动数据,PAGE_ACTION,SCR-RP-ADV-005,RedPacket,R20-R23,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketCampaignsByIdViewSessions,CLIENT,POST,/api/v1/red-packet-campaigns/{id}/view-sessions,创建浏览会话并锁定名额,PAGE_ACTION,SCR-RP-002;SCR-RP-003,RedPacket,R20-R23,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketViewSessionsByIdHeartbeat,CLIENT,POST,/api/v1/red-packet-view-sessions/{id}/heartbeat,浏览心跳,PAGE_ACTION,SCR-RP-003,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketViewSessionsByIdClaim,CLIENT,POST,/api/v1/red-packet-view-sessions/{id}/claim,领取红包,PAGE_ACTION,SCR-RP-003;SHEET-RP-001,RedPacket,R20-R23,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketPostRedPacketViewSessionsByIdCancel,CLIENT,POST,/api/v1/red-packet-view-sessions/{id}/cancel,取消/释放名额,PAGE_ACTION,SCR-RP-003,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
redPacketGetMeRedPacketClaims,CLIENT,GET,/api/v1/me/red-packet-claims,我的红包记录,PAGE_ACTION,SCR-RP-004,RedPacket,R20-R23,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
orderGetMeOrders,CLIENT,GET,/api/v1/me/orders,订单列表,PAGE_ACTION,SCR-ORDER-001,Order,R16,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
orderGetMeOrdersByOrderno,CLIENT,GET,/api/v1/me/orders/{orderNo},订单详情,PAGE_ACTION,SCR-ORDER-002,Order,R16,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
paymentGetOrdersByOrdernoCashier,CLIENT,GET,/api/v1/orders/{orderNo}/cashier,收银台数据,PAGE_ACTION,H5-008,Payment,R17,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
paymentPostOrdersByOrdernoPayments,CLIENT,POST,/api/v1/orders/{orderNo}/payments,创建第三方支付,PAGE_ACTION,H5-008,Payment,R17,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
paymentGetOrdersByOrdernoPaymentStatus,CLIENT,GET,/api/v1/orders/{orderNo}/payment-status,查询支付状态,PAGE_ACTION,H5-009,Payment,R17,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
paymentPostPaymentByGatewayNotify,CLIENT,POST,/public-api/v1/payment/{gateway}/notify,支付异步回调,SYSTEM_CALLBACK,,Payment,R17,供应商签名,支付网关异步回调；无页面所有者，归支付适配器和回调幂等处理器,EXPLICIT_SYSTEM_OWNER
rewardGetMeRewardAccount,CLIENT,GET,/api/v1/me/reward-account,奖励账户,PAGE_ACTION,SCR-ME-001;SCR-REWARD-001;SCR-RP-004;SHEET-RP-001,Reward,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
rewardGetMeRewardLedger,CLIENT,GET,/api/v1/me/reward-ledger,奖励流水,PAGE_ACTION,SCR-REWARD-002,Reward,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
withdrawalGetMePayoutAccount,CLIENT,GET,/api/v1/me/payout-account,支付宝账户,PAGE_ACTION,SCR-WD-001,Withdrawal,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
withdrawalPutMePayoutAccount,CLIENT,PUT,/api/v1/me/payout-account,绑定/修改支付宝,PAGE_ACTION,SCR-WD-001,Withdrawal,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
withdrawalPostWithdrawalsQuote,CLIENT,POST,/api/v1/withdrawals/quote,提现手续费报价,PAGE_ACTION,SCR-WD-002,Withdrawal,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
withdrawalPostWithdrawals,CLIENT,POST,/api/v1/withdrawals,提交提现,PAGE_ACTION,SCR-WD-002,Withdrawal,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
withdrawalGetMeWithdrawals,CLIENT,GET,/api/v1/me/withdrawals,提现记录,PAGE_ACTION,SCR-WD-003,Withdrawal,R24,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralOverview,CLIENT,GET,/api/v1/me/referral/overview,推广概览,PAGE_ACTION,SCR-REF-001,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralInviteAssets,CLIENT,GET,/api/v1/me/referral/invite-assets,邀请链接二维码文案,PAGE_ACTION,SCR-REF-002,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralPosters,CLIENT,GET,/api/v1/me/referral/posters,海报模板,PAGE_ACTION,SCR-REF-003,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralDirectUsers,CLIENT,GET,/api/v1/me/referral/direct-users,直推用户和活跃进度,PAGE_ACTION,SCR-REF-004,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralLevel2Users,CLIENT,GET,/api/v1/me/referral/level2-users,二级用户,PAGE_ACTION,SCR-REF-005,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralCommissions,CLIENT,GET,/api/v1/me/referral/commissions,一级二级佣金,PAGE_ACTION,SCR-REF-006,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
referralGetMeReferralActivityRewards,CLIENT,GET,/api/v1/me/referral/activity-rewards,直推阶梯奖励,PAGE_ACTION,SCR-REF-007,Referral,R25-R26,登录+实名,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
taskGetTasks,CLIENT,GET,/api/v1/tasks,任务列表和进度,PAGE_ACTION,SCR-TASK-001,Task,R27,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
taskPostTasksByIdClaim,CLIENT,POST,/api/v1/tasks/{id}/claim,领取任务奖励,PAGE_ACTION,SCR-TASK-001,Task,R27,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
taskGetMePoints,CLIENT,GET,/api/v1/me/points,个人任务积分,PAGE_ACTION,SCR-TASK-002,Task,R27,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
taskGetMePointLedger,CLIENT,GET,/api/v1/me/point-ledger,积分明细,PAGE_ACTION,SCR-TASK-002,Task,R27,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
supportGetHelpArticles,CLIENT,GET,/api/v1/help/articles,帮助列表,PAGE_ACTION,SCR-SUPPORT-001,Support,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
supportGetHelpArticlesById,CLIENT,GET,/api/v1/help/articles/{id},帮助详情,PAGE_ACTION,SCR-SUPPORT-005,Support,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
