模块,方法,路径,权限,用途,幂等,计划版本
RedPacket,GET,/admin-api/v1/red-packet-campaigns/{id},redpacket.read,活动详情,否,R20-R23
RedPacket,POST,/admin-api/v1/red-packet-campaigns/{id}/review,redpacket.review,预审核,是,R20-R23
RedPacket,POST,/admin-api/v1/red-packet-campaigns/{id}/pause,redpacket.manage,平台暂停,是,R20-R23
RedPacket,POST,/admin-api/v1/red-packet-campaigns/{id}/resume,redpacket.manage,恢复,是,R20-R23
RedPacket,POST,/admin-api/v1/red-packet-campaigns/{id}/terminate,redpacket.terminate,平台终止且不退款,是,R20-R23
RedPacket,GET,/admin-api/v1/red-packet-campaigns/{id}/sessions,redpacket.read,浏览会话和锁定,否,R20-R23
RedPacket,GET,/admin-api/v1/red-packet-campaigns/{id}/claims,redpacket.read,领取记录,否,R20-R23
RedPacket,GET,/admin-api/v1/red-packet-campaigns/{id}/ledger,redpacket.finance,红包账本,否,R20-R23
Products,GET,/admin-api/v1/products,product.read,商品列表,否,R16
Products,POST,/admin-api/v1/products,product.write,创建商品,是,R16
Products,PATCH,/admin-api/v1/products/{id},product.write,修改商品,是,R16
Products,GET,/admin-api/v1/skus,product.read,SKU列表,否,R16
Products,POST,/admin-api/v1/skus,product.write,创建SKU,是,R16
Products,PATCH,/admin-api/v1/skus/{id},product.write,修改SKU,是,R16
Orders,GET,/admin-api/v1/orders,order.read,订单列表,否,R16
Orders,GET,/admin-api/v1/orders/{orderNo},order.read,订单详情,否,R16
Payments,GET,/admin-api/v1/payments,payment.read,支付交易,否,R17
Payments,GET,/admin-api/v1/payment-callbacks,payment.read,支付回调日志,否,R17
Payments,POST,/admin-api/v1/payments/{id}/query,payment.query,主动查单,是,R17
Payments,GET,/admin-api/v1/payment-exceptions,payment.exception.read,异常账务,否,R17
Payments,POST,/admin-api/v1/payment-exceptions/{id}/resolve,payment.exception.resolve,处理异常账务,是,R17
Payments,POST,/admin-api/v1/payment-reconciliation/run,payment.reconcile,执行对账,是,R17
Rewards,GET,/admin-api/v1/reward-accounts,reward.read,奖励账户列表,否,R24
Rewards,GET,/admin-api/v1/reward-accounts/{userId}/ledger,reward.read,用户奖励流水,否,R24
Rewards,POST,/admin-api/v1/reward-adjustments,reward.adjust.request,创建奖励调整申请,是,R24
Withdrawals,GET,/admin-api/v1/withdrawals,withdrawal.read,提现列表,否,R24
Withdrawals,GET,/admin-api/v1/withdrawals/{id},withdrawal.read,提现详情,否,R24
Withdrawals,POST,/admin-api/v1/withdrawals/{id}/risk-review,withdrawal.risk,风控审核,是,R24
Withdrawals,POST,/admin-api/v1/withdrawals/{id}/finance-review,withdrawal.finance,财务审核,是,R24
Withdrawals,POST,/admin-api/v1/withdrawals/{id}/payout,withdrawal.payout,发起出款,是,R24
Withdrawals,POST,/admin-api/v1/withdrawals/{id}/query,withdrawal.payout,查询出款,是,R24
Membership,GET,/admin-api/v1/membership/skus,membership.read,会员SKU,否,R18
Membership,PATCH,/admin-api/v1/membership/skus/{id},membership.write,价格和期限,是,R18
Membership,PUT,/admin-api/v1/membership/skus/{id}/benefits,membership.write,权益配置,是,R18
Membership,GET,/admin-api/v1/user-memberships,membership.read,用户会员,否,R18
Membership,POST,/admin-api/v1/user-memberships/grants,membership.grant,人工赠送,是,R18
Props,GET,/admin-api/v1/props,prop.read,道具定义和SKU,否,R19
Props,PATCH,/admin-api/v1/props/{id},prop.write,修改道具,是,R19
Props,GET,/admin-api/v1/headline-slots,prop.slot.read,头条资源位,否,R19
Props,POST,/admin-api/v1/headline-slots,prop.slot.write,创建资源位,是,R19
Props,GET,/admin-api/v1/prop-executions,prop.read,执行日志,否,R19
Referral,GET,/admin-api/v1/referral-relations,referral.read,邀请关系列表,否,R25-R26
Referral,POST,/admin-api/v1/referral-relations/{inviteeId}/adjust,referral.adjust,纠纷调整关系,是,R25-R26
Referral,GET,/admin-api/v1/commission-policies,commission.read,佣金策略,否,R25-R26
Referral,POST,/admin-api/v1/commission-policies,commission.write,创建策略版本,是,R25-R26
Referral,GET,/admin-api/v1/commissions,commission.read,佣金记录,否,R25-R26
ReferralActivity,GET,/admin-api/v1/referral-activity/rules,referral.activity.read,行为规则,否,R30
ReferralActivity,POST,/admin-api/v1/referral-activity/rule-versions,referral.activity.write,创建规则版本,是,R30
ReferralActivity,GET,/admin-api/v1/referral-activity/progress,referral.activity.read,直推进度,否,R30
ReferralActivity,GET,/admin-api/v1/referral-activity/milestones,referral.activity.read,档位与矩阵,否,R30
ReferralActivity,PUT,/admin-api/v1/referral-activity/milestones,referral.activity.write,保存档位矩阵新版本,是,R30
ReferralActivity,GET,/admin-api/v1/referral-activity/rewards,referral.activity.read,阶梯奖励记录,否,R30
Tasks,GET,/admin-api/v1/tasks,task.read,任务定义,否,R27
Tasks,POST,/admin-api/v1/tasks,task.write,创建任务,是,R27
Tasks,PATCH,/admin-api/v1/tasks/{id},task.write,修改任务,是,R27
Tasks,GET,/admin-api/v1/task-progress,task.read,用户任务进度,否,R27
Tasks,GET,/admin-api/v1/growth-budgets,task.budget.read,增长预算,否,R27
Tasks,PUT,/admin-api/v1/growth-budgets/{id},task.budget.write,修改预算,是,R27
Chat,GET,/admin-api/v1/chat-reports,chat.report.read,聊天举报,否,R15
Chat,POST,/admin-api/v1/chat-reports/{id}/decide,chat.report.decide,处理聊天举报,是,R15
Support,GET,/admin-api/v1/support/tickets,support.read,工单列表,否,R15
Support,GET,/admin-api/v1/support/tickets/{id},support.read,工单详情,否,R15
Support,POST,/admin-api/v1/support/tickets/{id}/assign,support.assign,分配客服,是,R15
Support,POST,/admin-api/v1/support/tickets/{id}/messages,support.reply,客服回复,是,R15
Support,POST,/admin-api/v1/support/tickets/{id}/close,support.close,关闭工单,是,R15
CMS,GET,/admin-api/v1/cms/home-modules,cms.read,首页模块,否,R28
CMS,PUT,/admin-api/v1/cms/home-modules,cms.write,排序和配置,是,R28
CMS,GET,/admin-api/v1/cms/banners,cms.read,轮播,否,R28
CMS,POST,/admin-api/v1/cms/banners,cms.write,创建轮播,是,R28
CMS,GET,/admin-api/v1/cms/articles,cms.read,公告帮助规则,否,R28
CMS,POST,/admin-api/v1/cms/articles,cms.write,创建文章,是,R28
CMS,GET,/admin-api/v1/cms/h5-pages,cms.read,H5配置,否,R28
CMS,PUT,/admin-api/v1/cms/h5-pages/{code},cms.write,更新H5配置新版本,是,R28
Agreements,GET,/admin-api/v1/agreements,agreement.read,协议列表,否,R28
Agreements,POST,/admin-api/v1/agreements/{code}/versions,agreement.write,新增协议版本,是,R28
AppRelease,GET,/admin-api/v1/app-versions,app.release.read,App版本,否,R29
AppRelease,POST,/admin-api/v1/app-versions,app.release.write,创建版本,是,R29
AppRelease,POST,/admin-api/v1/app-versions/{id}/publish,app.release.publish,发布/灰度,是,R29
Risk,GET,/admin-api/v1/risk/events,risk.read,风险事件,否,R31
Risk,POST,/admin-api/v1/risk/events/{id}/decide,risk.decide,人工处置,是,R31
Risk,GET,/admin-api/v1/risk/rule-versions,risk.rule.read,规则版本,否,R31
Risk,POST,/admin-api/v1/risk/rule-versions,risk.rule.write,创建规则版本,是,R31
Risk,GET,/admin-api/v1/risk/blacklists,risk.list.read,黑名单,否,R31
Risk,POST,/admin-api/v1/risk/blacklists,risk.list.write,新增黑名单,是,R31
Risk,DELETE,/admin-api/v1/risk/blacklists/{id},risk.list.write,移除黑名单,是,R31
Config,GET,/admin-api/v1/configs,config.read,系统配置,否,R30
Config,PUT,/admin-api/v1/configs/{key},config.write,修改配置并生成版本,是,R30
Config,GET,/admin-api/v1/feature-flags,config.read,功能开关,否,R30
Config,PUT,/admin-api/v1/feature-flags/{key},config.write,灰度开关,是,R30
RBAC,GET,/admin-api/v1/admin-users,rbac.read,后台用户,否,R30
RBAC,POST,/admin-api/v1/admin-users,rbac.write,创建后台用户,是,R30
RBAC,GET,/admin-api/v1/roles,rbac.read,角色权限,否,R30
RBAC,PUT,/admin-api/v1/roles/{id}/permissions,rbac.write,配置权限,是,R30
Audit,GET,/admin-api/v1/audit/logs,audit.read,操作日志,否,R30
Approvals,GET,/admin-api/v1/approvals,approval.read,复核申请,否,R30
Approvals,POST,/admin-api/v1/approvals/{id}/decide,approval.decide,同意/拒绝,是,R30
Jobs,GET,/admin-api/v1/jobs,job.read,定时任务,否,R30
Jobs,POST,/admin-api/v1/jobs/{code}/run,job.run,手动执行,是,R30
ProviderConfig,GET,/admin-api/v1/provider-configs,provider.config.read,供应商配置定义和当前激活版本,否,R03
ProviderConfig,GET,/admin-api/v1/provider-configs/{provider},provider.config.read,指定供应商配置详情，秘密字段只返回是否已配置,否,R03
ProviderConfig,POST,/admin-api/v1/provider-configs/{provider}/versions,provider.config.write,创建供应商配置版本,是,R03
ProviderConfig,POST,/admin-api/v1/provider-configs/{provider}/test,provider.config.test,连接或发送测试,是,R03
ProviderConfig,POST,/admin-api/v1/provider-configs/{provider}/activate,provider.config.activate,双人复核后激活配置版本,是,R03
ProviderConfig,POST,/admin-api/v1/provider-configs/{provider}/rollback,provider.config.activate,回滚至指定已验证版本,是,R03
ProviderCertificate,POST,/admin-api/v1/provider-certificates,provider.certificate.write,上传加密证书或私钥文件,是,R03
ProviderCertificate,GET,/admin-api/v1/provider-certificates,provider.certificate.read,证书列表和有效期，不返回原文,否,R03
ProviderCertificate,POST,/admin-api/v1/provider-certificates/{id}/rotate,provider.certificate.rotate,轮换证书并保留审计,是,R03
DomainConfig,GET,/admin-api/v1/domains,domain.read,环境域名与DNS验证状态,否,R03
DomainConfig,PUT,/admin-api/v1/domains/{code},domain.write,更新二级域名计划,是,R03
DomainConfig,GET,/admin-api/v1/domains/dns-actions,domain.read,生成需要用户解析的DNS操作清单,否,R03
DomainConfig,POST,/admin-api/v1/domains/{code}/verify,domain.verify,验证解析和HTTPS可达性,是,R03
AppBuildProfile,GET,/admin-api/v1/app-build/profiles,app.build.read,App构建Profile列表,否,R29
AppBuildProfile,POST,/admin-api/v1/app-build/profiles,app.build.write,创建构建Profile,是,R29
AppBuildProfile,PUT,/admin-api/v1/app-build/profiles/{id},app.build.write,修改构建Profile,是,R29
AppBuildJob,GET,/admin-api/v1/app-build/jobs,app.build.read,构建任务列表,否,R29
AppBuildJob,POST,/admin-api/v1/app-build/jobs,app.build.run,基于批准Git Ref创建官方App构建任务,是,R29
AppBuildJob,GET,/admin-api/v1/app-build/jobs/{id},app.build.read,构建任务详情,否,R29
AppBuildJob,GET,/admin-api/v1/app-build/jobs/{id}/logs,app.build.read,构建步骤日志,否,R29
AppBuildJob,POST,/admin-api/v1/app-build/jobs/{id}/cancel,app.build.run,取消可取消的构建任务,是,R29
AppBuildJob,POST,/admin-api/v1/app-build/jobs/{id}/retry,app.build.run,按原Commit重试失败任务,是,R29
AppBuildArtifact,GET,/admin-api/v1/app-build/artifacts,app.build.read,构建产物列表,否,R29
AppBuildArtifact,GET,/admin-api/v1/app-build/artifacts/{id}/download,app.build.download,获取短期下载URL,否,R29
AppBuildRelease,POST,/admin-api/v1/app-build/jobs/{id}/publish-staging,app.release.write,发布到测试下载渠道,是,R29
AppBuildRelease,POST,/admin-api/v1/app-build/jobs/{id}/promote,app.release.approve,双人复核后晋级生产版本,是,R29
AppSigning,GET,/admin-api/v1/app-build/signing-profiles,app.signing.read,签名Profile元数据列表,否,R29
AppSigning,POST,/admin-api/v1/app-build/signing-profiles,app.signing.write,创建或导入受保护签名Profile,是,R29
AppSigning,POST,/admin-api/v1/app-build/signing-profiles/{id}/test,app.signing.test,签名测试并返回证书指纹,是,R29
Accounting,GET,/admin-api/v1/accounting/transactions,accounting.read,会计交易列表,否,R24
Accounting,GET,/admin-api/v1/accounting/transactions/{id},accounting.read,会计交易详情,否,R24
Accounting,GET,/admin-api/v1/accounting/entries,accounting.read,会计分录列表,否,R24
Accounting,POST,/admin-api/v1/accounting/transactions/{id}/reversals,accounting.reversal.request,申请会计冲正,是,R24
RiskRules,GET,/admin-api/v1/risk-rule-versions,risk.rule.read,风控规则版本列表,否,R31
RiskRules,POST,/admin-api/v1/risk-rule-versions,risk.rule.manage,创建风控规则版本,是,R31
RiskRules,POST,/admin-api/v1/risk-rule-versions/{id}/simulate,risk.rule.simulate,模拟风控规则,是,R31
RiskRules,POST,/admin-api/v1/risk-rule-versions/{id}/activate,risk.rule.activate,激活风控规则版本,是,R31
NotificationOps,GET,/admin-api/v1/notification-templates,notification.template.read,通知模板列表,否,R30
NotificationOps,POST,/admin-api/v1/notification-templates,notification.template.manage,创建通知模板版本,是,R30
NotificationOps,PATCH,/admin-api/v1/notification-templates/{id},notification.template.manage,修改通知模板草稿,是,R30
NotificationOps,GET,/admin-api/v1/notification-deliveries,notification.delivery.read,通知发送记录,否,R30
NotificationOps,POST,/admin-api/v1/notification-deliveries/{id}/retry,notification.delivery.retry,重试失败通知,是,R30
Exports,GET,/admin-api/v1/export-jobs,export.read,导出任务列表,否,R30
Exports,POST,/admin-api/v1/export-jobs,export.create,创建导出任务,是,R30
Exports,GET,/admin-api/v1/export-jobs/{id},export.read,导出任务详情,否,R30
Exports,POST,/admin-api/v1/export-jobs/{id}/download-token,export.download,创建一次性下载令牌,是,R30
AdminSelf,GET,/admin-api/v1/me/security,admin.self.read,管理员安全概览,否,R01
AdminSelf,POST,/admin-api/v1/me/security/password/change,admin.self.security,修改管理员密码,是,R01
AdminSelf,POST,/admin-api/v1/me/security/mfa/enroll,admin.self.security,开始绑定MFA,是,R01
AdminSelf,POST,/admin-api/v1/me/security/mfa/confirm,admin.self.security,确认绑定MFA,是,R01
AdminSelf,POST,/admin-api/v1/me/security/mfa/disable,admin.self.security,解绑MFA,是,R01
