模块,方法,路径,权限,用途,幂等,计划版本
Chat,POST,/api/v1/users/{id}/block,登录,拉黑,是,R14
Chat,DELETE,/api/v1/users/{id}/block,登录,取消拉黑,是,R14
Chat,POST,/api/v1/conversations/{id}/report,登录+成员,举报聊天,是,R14
Notification,GET,/api/v1/notifications,登录,通知列表,否,R15
Notification,POST,/api/v1/notifications/{id}/read,登录,标记已读,是,R15
Notification,POST,/api/v1/notifications/read-all,登录,全部已读,是,R15
Notification,GET,/api/v1/announcements,登录,公告列表,否,R15
Notification,GET,/api/v1/announcements/{id},登录,公告详情,否,R15
Membership,GET,/api/v1/membership/skus,登录,会员SKU和权益,否,R18
Membership,GET,/api/v1/me/membership,登录,当前会员,否,R18
Membership,POST,/api/v1/membership/orders,登录,创建会员购买订单,是,R18
Membership,POST,/api/v1/membership/upgrade-quotes,登录,生成升级报价,是,R18
Membership,POST,/api/v1/membership/upgrade-orders,登录,创建升级订单,是,R18
Prop,GET,/api/v1/props/store,登录,道具商城,否,R19
Prop,GET,/api/v1/me/props,登录,我的道具,否,R19
Prop,POST,/api/v1/props/orders,登录,购买道具订单,是,R19
Prop,POST,/api/v1/me/props/{id}/use,登录+所有者,使用道具,是,R19
RedPacket,GET,/api/v1/red-packet-campaigns,登录,红包聚合列表,否,R20-R23
RedPacket,GET,/api/v1/red-packet-campaigns/{id},登录,红包活动详情,否,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns,登录+实名,创建草稿,是,R20-R23
RedPacket,PATCH,/api/v1/red-packet-campaigns/{id},登录+实名+所有者,编辑待审草稿,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/submit-review,登录+实名+所有者,提交预审核,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/quote,登录+实名+所有者,创建初始报价,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/orders,登录+实名+所有者,创建红包订单,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/pause,登录+所有者,暂停,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/resume,登录+所有者,恢复,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/close,登录+所有者,关闭且不退款,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/increase-quotes,登录+实名+所有者,提高金额报价,是,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/increase-orders,登录+实名+所有者,创建加价订单,是,R20-R23
RedPacket,GET,/api/v1/me/red-packet-campaigns,登录,广告主活动列表,否,R20-R23
RedPacket,GET,/api/v1/me/red-packet-campaigns/{id}/analytics,登录+所有者,活动数据,否,R20-R23
RedPacket,POST,/api/v1/red-packet-campaigns/{id}/view-sessions,登录+实名,创建浏览会话并锁定名额,是,R20-R23
RedPacket,POST,/api/v1/red-packet-view-sessions/{id}/heartbeat,登录,浏览心跳,是,R20-R23
RedPacket,POST,/api/v1/red-packet-view-sessions/{id}/claim,登录+实名,领取红包,是,R20-R23
RedPacket,POST,/api/v1/red-packet-view-sessions/{id}/cancel,登录,取消/释放名额,是,R20-R23
RedPacket,GET,/api/v1/me/red-packet-claims,登录,我的红包记录,否,R20-R23
Order,GET,/api/v1/me/orders,登录,订单列表,否,R16
Order,GET,/api/v1/me/orders/{orderNo},登录,订单详情,否,R16
Payment,GET,/api/v1/orders/{orderNo}/cashier,登录,收银台数据,否,R17
Payment,POST,/api/v1/orders/{orderNo}/payments,登录,创建第三方支付,是,R17
Payment,GET,/api/v1/orders/{orderNo}/payment-status,登录,查询支付状态,否,R17
Payment,POST,/public-api/v1/payment/{gateway}/notify,供应商签名,支付异步回调,是,R17
Reward,GET,/api/v1/me/reward-account,登录+实名,奖励账户,否,R24
Reward,GET,/api/v1/me/reward-ledger,登录+实名,奖励流水,否,R24
Withdrawal,GET,/api/v1/me/payout-account,登录+实名,支付宝账户,否,R24
Withdrawal,PUT,/api/v1/me/payout-account,登录+实名,绑定/修改支付宝,是,R24
Withdrawal,POST,/api/v1/withdrawals/quote,登录+实名,提现手续费报价,是,R24
Withdrawal,POST,/api/v1/withdrawals,登录+实名,提交提现,是,R24
Withdrawal,GET,/api/v1/me/withdrawals,登录+实名,提现记录,否,R24
Referral,GET,/api/v1/me/referral/overview,登录+实名,推广概览,否,R25-R26
Referral,GET,/api/v1/me/referral/invite-assets,登录+实名,邀请链接二维码文案,否,R25-R26
Referral,GET,/api/v1/me/referral/posters,登录+实名,海报模板,否,R25-R26
Referral,GET,/api/v1/me/referral/direct-users,登录+实名,直推用户和活跃进度,否,R25-R26
Referral,GET,/api/v1/me/referral/level2-users,登录+实名,二级用户,否,R25-R26
Referral,GET,/api/v1/me/referral/commissions,登录+实名,一级二级佣金,否,R25-R26
Referral,GET,/api/v1/me/referral/activity-rewards,登录+实名,直推阶梯奖励,否,R25-R26
Task,GET,/api/v1/tasks,登录,任务列表和进度,否,R27
Task,POST,/api/v1/tasks/{id}/claim,登录,领取任务奖励,是,R27
Task,GET,/api/v1/me/points,登录,个人任务积分,否,R27
Task,GET,/api/v1/me/point-ledger,登录,积分明细,否,R27
Support,GET,/api/v1/help/articles,登录,帮助列表,否,R15
Support,GET,/api/v1/help/articles/{id},登录,帮助详情,否,R15
Support,POST,/api/v1/support/tickets,登录,创建工单,是,R15
Support,GET,/api/v1/support/tickets,登录,工单列表,否,R15
Support,GET,/api/v1/support/tickets/{id},登录+所有者,工单详情,否,R15
Support,POST,/api/v1/support/tickets/{id}/messages,登录+所有者,补充消息,是,R15
AppRelease,GET,/api/v1/app/version-check,登录可选,登录后版本检查兼容接口；新客户端优先使用公开版本检查,否,P00/R02/R29
Public,GET,/public-api/v1/home-page,公开,H5宣传页配置,否,R28
Public,GET,/public-api/v1/app/latest,公开,最新APK下载信息,否,R28
Public,GET,/public-api/v1/share/contents/{id},公开,分享预览,否,R28
Public,GET,/public-api/v1/invite/{code},公开,邀请落地数据,否,R28
Public,GET,/public-api/v1/invite/{code}/registration-config,公开,H5注册配置、邀请码状态、协议版本,否,R28
Public,GET,/public-api/v1/agreements/{code},公开,协议内容,否,R28
Public,GET,/public-api/v1/platform/status,公开,启动维护状态、注册/发布/红包/提现总开关和服务端时间,否,P00/R02
AppRelease,POST,/public-api/v1/app/version-check,公开,按平台、版本号、渠道和环境返回可选/强制更新策略,否,P00/R02/R29
Public,GET,/public-api/v1/help/articles/{id},公开,公开帮助文章详情,否,R15/R28
