状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00015,SCR-APP-003,ANDROID,更新提示,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_app_003_initial,否,FROZEN_V1.2.2
STA-00016,SCR-APP-003,ANDROID,更新提示,CHECKING,正在执行版本、维护、资格或安全检查,显示检查进度和当前步骤，禁止提前导航,取消/重试（允许时）,与当前状态、权限或服务端version冲突的所有写操作,超时后进入可恢复错误,page_state_scr_app_003_checking,否,FROZEN_V1.2.2
STA-00017,SCR-APP-003,ANDROID,更新提示,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_app_003_content,否,FROZEN_V1.2.2
STA-00018,SCR-APP-003,ANDROID,更新提示,BLOCKED,系统维护、强制更新或账号限制阻断,展示阻断原因和唯一允许动作,更新/重试/联系客服,与当前状态、权限或服务端version冲突的所有写操作,阻断优先级高于普通导航,page_state_scr_app_003_blocked,是,FROZEN_V1.2.2
STA-00019,SCR-APP-003,ANDROID,更新提示,RETRYABLE_ERROR,网络、限流或临时依赖故障,说明可恢复原因和最早重试时间,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,不得丢失安全可保留输入,page_state_scr_app_003_retryable_error,否,FROZEN_V1.2.2
STA-00020,SCR-APP-003,ANDROID,更新提示,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_app_003_error,否,FROZEN_V1.2.2
STA-00021,SCR-APP-003,ANDROID,更新提示,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_app_003_offline,否,FROZEN_V1.2.2
STA-00022,SCR-AUTH-001,ANDROID,密码登录,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_001_initial,否,FROZEN_V1.2.2
STA-00023,SCR-AUTH-001,ANDROID,密码登录,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_001_editing,否,FROZEN_V1.2.2
STA-00024,SCR-AUTH-001,ANDROID,密码登录,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_001_validating,否,FROZEN_V1.2.2
STA-00025,SCR-AUTH-001,ANDROID,密码登录,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_001_submitting,否,FROZEN_V1.2.2
STA-00026,SCR-AUTH-001,ANDROID,密码登录,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_001_rate_limited,否,FROZEN_V1.2.2
STA-00027,SCR-AUTH-001,ANDROID,密码登录,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_001_locked,是,FROZEN_V1.2.2
STA-00028,SCR-AUTH-001,ANDROID,密码登录,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_001_success,是,FROZEN_V1.2.2
STA-00029,SCR-AUTH-001,ANDROID,密码登录,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_001_error,否,FROZEN_V1.2.2
STA-00030,SCR-AUTH-001,ANDROID,密码登录,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_001_offline,否,FROZEN_V1.2.2
STA-00031,SCR-AUTH-002,ANDROID,短信验证码登录,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_002_initial,否,FROZEN_V1.2.2
STA-00032,SCR-AUTH-002,ANDROID,短信验证码登录,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_002_editing,否,FROZEN_V1.2.2
STA-00033,SCR-AUTH-002,ANDROID,短信验证码登录,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_002_validating,否,FROZEN_V1.2.2
STA-00034,SCR-AUTH-002,ANDROID,短信验证码登录,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_002_submitting,否,FROZEN_V1.2.2
STA-00035,SCR-AUTH-002,ANDROID,短信验证码登录,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_002_rate_limited,否,FROZEN_V1.2.2
STA-00036,SCR-AUTH-002,ANDROID,短信验证码登录,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_002_locked,是,FROZEN_V1.2.2
STA-00037,SCR-AUTH-002,ANDROID,短信验证码登录,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_002_success,是,FROZEN_V1.2.2
STA-00038,SCR-AUTH-002,ANDROID,短信验证码登录,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_002_error,否,FROZEN_V1.2.2
STA-00039,SCR-AUTH-002,ANDROID,短信验证码登录,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_002_offline,否,FROZEN_V1.2.2
STA-00040,SCR-AUTH-003,ANDROID,注册账号,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_003_initial,否,FROZEN_V1.2.2
STA-00041,SCR-AUTH-003,ANDROID,注册账号,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_003_editing,否,FROZEN_V1.2.2
STA-00042,SCR-AUTH-003,ANDROID,注册账号,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_003_validating,否,FROZEN_V1.2.2
STA-00043,SCR-AUTH-003,ANDROID,注册账号,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_003_submitting,否,FROZEN_V1.2.2
STA-00044,SCR-AUTH-003,ANDROID,注册账号,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_003_rate_limited,否,FROZEN_V1.2.2
STA-00045,SCR-AUTH-003,ANDROID,注册账号,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_003_locked,是,FROZEN_V1.2.2
STA-00046,SCR-AUTH-003,ANDROID,注册账号,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_003_success,是,FROZEN_V1.2.2
STA-00047,SCR-AUTH-003,ANDROID,注册账号,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_003_error,否,FROZEN_V1.2.2
STA-00048,SCR-AUTH-003,ANDROID,注册账号,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_003_offline,否,FROZEN_V1.2.2
STA-00049,SCR-AUTH-004,ANDROID,忘记密码,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_004_initial,否,FROZEN_V1.2.2
STA-00050,SCR-AUTH-004,ANDROID,忘记密码,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_004_editing,否,FROZEN_V1.2.2
STA-00051,SCR-AUTH-004,ANDROID,忘记密码,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_004_validating,否,FROZEN_V1.2.2
STA-00052,SCR-AUTH-004,ANDROID,忘记密码,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_004_submitting,否,FROZEN_V1.2.2
STA-00053,SCR-AUTH-004,ANDROID,忘记密码,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_004_rate_limited,否,FROZEN_V1.2.2
STA-00054,SCR-AUTH-004,ANDROID,忘记密码,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_004_locked,是,FROZEN_V1.2.2
STA-00055,SCR-AUTH-004,ANDROID,忘记密码,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_004_success,是,FROZEN_V1.2.2
STA-00056,SCR-AUTH-004,ANDROID,忘记密码,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_004_error,否,FROZEN_V1.2.2
STA-00057,SCR-AUTH-004,ANDROID,忘记密码,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_004_offline,否,FROZEN_V1.2.2
STA-00058,SCR-AUTH-005,ANDROID,账号冻结,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_005_initial,否,FROZEN_V1.2.2
STA-00059,SCR-AUTH-005,ANDROID,账号冻结,CHECKING,正在执行版本、维护、资格或安全检查,显示检查进度和当前步骤，禁止提前导航,取消/重试（允许时）,与当前状态、权限或服务端version冲突的所有写操作,超时后进入可恢复错误,page_state_scr_auth_005_checking,否,FROZEN_V1.2.2
STA-00060,SCR-AUTH-005,ANDROID,账号冻结,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_auth_005_content,否,FROZEN_V1.2.2
STA-00061,SCR-AUTH-005,ANDROID,账号冻结,BLOCKED,系统维护、强制更新或账号限制阻断,展示阻断原因和唯一允许动作,更新/重试/联系客服,与当前状态、权限或服务端version冲突的所有写操作,阻断优先级高于普通导航,page_state_scr_auth_005_blocked,是,FROZEN_V1.2.2
STA-00062,SCR-AUTH-005,ANDROID,账号冻结,RETRYABLE_ERROR,网络、限流或临时依赖故障,说明可恢复原因和最早重试时间,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,不得丢失安全可保留输入,page_state_scr_auth_005_retryable_error,否,FROZEN_V1.2.2
STA-00063,SCR-AUTH-005,ANDROID,账号冻结,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_005_error,否,FROZEN_V1.2.2
STA-00064,SCR-AUTH-005,ANDROID,账号冻结,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_005_offline,否,FROZEN_V1.2.2
STA-00065,SCR-AUTH-006,ANDROID,登录设备,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_006_initial,否,FROZEN_V1.2.2
STA-00066,SCR-AUTH-006,ANDROID,登录设备,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_006_editing,否,FROZEN_V1.2.2
STA-00067,SCR-AUTH-006,ANDROID,登录设备,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_006_validating,否,FROZEN_V1.2.2
STA-00068,SCR-AUTH-006,ANDROID,登录设备,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_006_submitting,否,FROZEN_V1.2.2
STA-00069,SCR-AUTH-006,ANDROID,登录设备,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_006_rate_limited,否,FROZEN_V1.2.2
STA-00070,SCR-AUTH-006,ANDROID,登录设备,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_006_locked,是,FROZEN_V1.2.2
STA-00071,SCR-AUTH-006,ANDROID,登录设备,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_006_success,是,FROZEN_V1.2.2
STA-00072,SCR-AUTH-006,ANDROID,登录设备,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_006_error,否,FROZEN_V1.2.2
STA-00073,SCR-AUTH-006,ANDROID,登录设备,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_006_offline,否,FROZEN_V1.2.2
STA-00074,SCR-AUTH-007,ANDROID,修改登录密码,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_auth_007_initial,否,FROZEN_V1.2.2
STA-00075,SCR-AUTH-007,ANDROID,修改登录密码,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_auth_007_editing,否,FROZEN_V1.2.2
STA-00076,SCR-AUTH-007,ANDROID,修改登录密码,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_auth_007_validating,否,FROZEN_V1.2.2
STA-00077,SCR-AUTH-007,ANDROID,修改登录密码,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_007_submitting,否,FROZEN_V1.2.2
STA-00078,SCR-AUTH-007,ANDROID,修改登录密码,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_scr_auth_007_rate_limited,否,FROZEN_V1.2.2
STA-00079,SCR-AUTH-007,ANDROID,修改登录密码,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_scr_auth_007_locked,是,FROZEN_V1.2.2
STA-00080,SCR-AUTH-007,ANDROID,修改登录密码,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_007_success,是,FROZEN_V1.2.2
STA-00081,SCR-AUTH-007,ANDROID,修改登录密码,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_007_error,否,FROZEN_V1.2.2
STA-00082,SCR-AUTH-007,ANDROID,修改登录密码,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_007_offline,否,FROZEN_V1.2.2
STA-00083,SCR-AUTH-008,ANDROID,注销账号,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_auth_008_loading,否,FROZEN_V1.2.2
STA-00084,SCR-AUTH-008,ANDROID,注销账号,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_auth_008_content,否,FROZEN_V1.2.2
STA-00085,SCR-AUTH-008,ANDROID,注销账号,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_auth_008_submitting,否,FROZEN_V1.2.2
STA-00086,SCR-AUTH-008,ANDROID,注销账号,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_auth_008_success,是,FROZEN_V1.2.2
STA-00087,SCR-AUTH-008,ANDROID,注销账号,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_auth_008_error,否,FROZEN_V1.2.2
STA-00088,SCR-AUTH-008,ANDROID,注销账号,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_auth_008_offline,否,FROZEN_V1.2.2
STA-00089,SCR-HOME-001,ANDROID,首页,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_home_001_loading,否,FROZEN_V1.2.2
STA-00090,SCR-HOME-001,ANDROID,首页,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_home_001_content,否,FROZEN_V1.2.2
STA-00091,SCR-HOME-001,ANDROID,首页,PARTIAL_CONTENT,部分模块成功、部分模块失败,保留成功模块，失败模块显示局部重试,重试失败模块,与当前状态、权限或服务端version冲突的所有写操作,不得将局部失败升级为全页失败,page_state_scr_home_001_partial_content,否,FROZEN_V1.2.2
STA-00092,SCR-HOME-001,ANDROID,首页,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_home_001_refreshing,否,FROZEN_V1.2.2
STA-00093,SCR-HOME-001,ANDROID,首页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_home_001_error,否,FROZEN_V1.2.2
STA-00094,SCR-HOME-001,ANDROID,首页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_home_001_offline,否,FROZEN_V1.2.2
STA-00095,SCR-SEARCH-001,ANDROID,全局搜索,IDLE,尚未输入或执行搜索,展示历史、热词和推荐,输入/选择,与当前状态、权限或服务端version冲突的所有写操作,输入后进入SUGGESTING,page_state_scr_search_001_idle,否,FROZEN_V1.2.2
STA-00096,SCR-SEARCH-001,ANDROID,全局搜索,SUGGESTING,搜索联想请求中或已返回,展示联想词并允许键盘选择,选择/提交,与当前状态、权限或服务端version冲突的所有写操作,新输入取消旧请求,page_state_scr_search_001_suggesting,否,FROZEN_V1.2.2
STA-00097,SCR-SEARCH-001,ANDROID,全局搜索,SEARCHING,搜索请求进行中,保留查询词，展示结果骨架,取消/修改,与当前状态、权限或服务端version冲突的所有写操作,失败不清空查询条件,page_state_scr_search_001_searching,否,FROZEN_V1.2.2
STA-00098,SCR-SEARCH-001,ANDROID,全局搜索,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_search_001_content,否,FROZEN_V1.2.2
STA-00099,SCR-SEARCH-001,ANDROID,全局搜索,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_search_001_empty,否,FROZEN_V1.2.2
STA-00100,SCR-SEARCH-001,ANDROID,全局搜索,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_search_001_error,否,FROZEN_V1.2.2
