批次,批次主题,面板,页面名称,图片路径,SHA256,用途
B03,四类内容详情与发布者主页,P07,联系方式复制成功,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P08,内容下架/失效,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B04,发布与管理总览,P01,发布中心,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P02,发布项目广告,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P03,发布群聊推广,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P04,发布App推广,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P05,团队长入驻申请,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P06,我的发布列表,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P07,发布管理详情,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B04,发布与管理总览,P08,数据统计分析,design/effect-previews/B04/HHY_B04_8PAGE_UI_REFERENCE.png,7cd3c5af8c2aa3a87de785a7491d4fd39521c38efa5aae90fa35bf3866feec5b,UI布局与样式参考
B05,发布入口与项目发布流程,P01,发布入口,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P02,选择发布类型,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P03,项目表单第一页,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P04,项目表单第二页,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P05,图片上传与排序,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P06,发布预览,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P07,提交审核成功,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B05,发布入口与项目发布流程,P08,草稿保存成功,design/effect-previews/B05/HHY_B05_8PAGE_UI_REFERENCE.png,35146da67a1a6927a19698ddc0021b4bfa9fb9acaaed47803225cc9674c549e9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P01,发布App表单,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P02,App截图上传,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P03,发布群聊表单,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P04,群二维码/链接填写,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P05,团队长入驻表单,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P06,团队长资料预览,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P07,审核中,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B06,App、群聊、团队长发布流程,P08,审核驳回与修改,design/effect-previews/B06/HHY_B06_8PAGE_UI_REFERENCE.png,9eaedeafa51cb217e5d816a26cce2ba1809f4beb6521445bd54269bade8cfef9,UI布局与样式参考
B07,消息、聊天、通知与公告,P01,聊天列表,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P02,私聊详情,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P03,发送联系方式卡片,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P04,发送项目卡片,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P05,通知中心,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P06,公告中心,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P07,举报用户弹层,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B07,消息、聊天、通知与公告,P08,拉黑/限制聊天提示,design/effect-previews/B07/HHY_B07_8PAGE_UI_REFERENCE.png,1262b25c4d3f40ba8fc89cce1890b8203911e608b82900a223c4474b2a877c08,UI布局与样式参考
B08,我的、发布管理与订单中心,P01,我的首页,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P02,我的发布列表,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P03,发布详情管理,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P04,订单中心,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P05,红包活动管理,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P06,数据统计,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P07,我的收藏,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B08,我的、发布管理与订单中心,P08,浏览记录,design/effect-previews/B08/HHY_B08_8PAGE_UI_REFERENCE.png,521138189fbd7dc5a5cf055a0593cec7b558654f3a7b6710266fd304d86f86b0,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P01,奖励账户首页布局,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P02,虚拟积分区布局（不实现商豆）,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P03,收益明细,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P04,提现申请,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P05,提现审核中,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P06,提现成功,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P07,提现失败,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B09,奖励账户、明细与提现布局参考,P08,红包奖励明细,design/effect-previews/B09/HHY_B09_8PAGE_UI_REFERENCE.png,7b0f226942dd4188a8fa12ad73d64f9789d14823d6b7cf1573a63da2f92faba7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P01,发布者工作台布局,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P02,项目管理列表,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P03,联系用户列表布局,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P04,联系用户详情布局,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P05,跟进记录布局参考,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P06,推广关系列表布局,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P07,数据看板,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B10,发布者工作台与数据管理布局参考,P08,套餐卡片布局参考,design/effect-previews/B10/HHY_B10_8PAGE_UI_REFERENCE.png,e231f87faf41e228cc68c4f9ac0e45fb454561eb54eee43f5e136dc377b37bb7,UI布局与样式参考
B11,Pro会员与道具商城,P01,Pro会员中心,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P02,会员套餐布局参考,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P03,会员权益布局参考,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P04,道具商城,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P05,道具详情,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P06,我的道具,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P07,使用道具确认,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B11,Pro会员与道具商城,P08,使用成功,design/effect-previews/B11/HHY_B11_8PAGE_UI_REFERENCE.png,16c492cd9fc46c5be435da3979126b8eb67063a641ec9b575074751f67c96778,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P01,设置首页,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P02,账号与安全,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P03,修改登录密码,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P04,实名认证状态,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P05,隐私设置,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P06,消息通知设置,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P07,清理缓存,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
B12,设置、账号安全、实名与帮助,P08,帮助与反馈,design/effect-previews/B12/HHY_B12_8PAGE_UI_REFERENCE.png,9c3a1dedd10da7aa4e3c996e97eed59dd25bb1aaf592b3fff422f3eecbc743cf,UI布局与样式参考
