规则ID,配置组,规则名称,表达式/约束,执行时机,不通过处理,错误提示,测试要求,责任角色,成熟度
CFG-RULE-011,identity,轮询时限,identity.liveness.poll_timeout_seconds*1000 >= identity.liveness.poll_interval_ms*2,保存草稿+提交审批+激活前,阻止保存,活体结果轮询总时限至少覆盖两次轮询,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,identity_reviewer;security_admin,FROZEN_V1.2.2
CFG-RULE-012,identity,敏感媒体TTL,identity.admin_preview_ttl_seconds <= storage.private_preview.ttl_seconds,保存草稿+提交审批+激活前,阻止激活,实名原图预览不得超过存储签名URL时效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,identity_reviewer;security_admin,FROZEN_V1.2.2
CFG-RULE-013,identity,实名唯一,identity.one_id_one_account 必须为 true（生产）,保存草稿+提交审批+激活前,阻止激活,生产环境必须一证一号,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,identity_reviewer;security_admin,FROZEN_V1.2.2
CFG-RULE-014,notification,免打扰,notification.quiet_hours.start != notification.quiet_hours.end 且构成有效24小时区间,保存草稿+提交审批+激活前,阻止保存,免打扰起止时间不能相同,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,operations_admin;customer_service_manager,FROZEN_V1.2.2
CFG-RULE-015,operations,恢复目标,ops.backup.rpo_minutes <= ops.recovery.rto_minutes,保存草稿+提交审批+激活前,警告并需确认,RPO通常不应大于RTO,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin;auditor,FROZEN_V1.2.2
CFG-RULE-016,operations,告警阈值,ops.alert.error_rate_percent BETWEEN 0.1 AND 100 AND ops.alert.api_p95_ms > 0,保存草稿+提交审批+激活前,阻止保存,告警阈值必须可执行,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin;auditor,FROZEN_V1.2.2
CFG-RULE-017,payment,支付查询,payment.query.max_attempts*payment.query.interval_seconds <= payment.order_timeout_seconds,保存草稿+提交审批+激活前,阻止激活,支付查询总时长不得超过订单超时,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-018,payment,收银台域名,payment.return_url和notify_url必须属于已登记HTTPS域名；allowed_hosts不得包含通配符,保存草稿+提交审批+激活前,阻止激活,支付回跳和通知域名必须受控,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-019,payment,生产密钥,payment.active_gateway启用时merchant_id和merchant_key SecretRef必须连接测试通过,保存草稿+提交审批+激活前,阻止激活,支付供应商凭据未就绪,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-020,payout,出款查询,payout.query.max_attempts*payout.query.interval_seconds*1000 <= payout.request.timeout_ms*20,保存草稿+提交审批+激活前,警告并需确认,出款查询和请求超时组合异常,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-021,payout,自动出款,payout.auto_enabled=true 时必须启用双人审批、实名姓名一致和风险规则,保存草稿+提交审批+激活前,阻止激活,自动出款缺少安全前置,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-022,payout,证书完整,支付宝出款启用时所有证书ID和私钥SecretRef必须齐全且连接测试通过,保存草稿+提交审批+激活前,阻止激活,出款证书不完整,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;platform_engineer,FROZEN_V1.2.2
CFG-RULE-023,props,道具时长,所有道具duration_seconds > 0 且 props.max_stack_days*86400 >= 任一道具时长,保存草稿+提交审批+激活前,阻止保存,道具时长或叠加上限无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,commerce_ops;operations_admin,FROZEN_V1.2.2
CFG-RULE-024,props,刷新频率,props.refresh_cooldown_seconds >= 10 且各会员每日次数 >=0,保存草稿+提交审批+激活前,阻止保存,刷新冷却和每日次数必须有效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,commerce_ops;operations_admin,FROZEN_V1.2.2
CFG-RULE-025,red_packet,浏览时间,red_packet.view_seconds.min <= red_packet.default_view_seconds <= red_packet.view_seconds.max,保存草稿+提交审批+激活前,阻止激活,默认浏览时长必须在允许范围内,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-026,red_packet,预留时间,red_packet.reservation_min_seconds >= red_packet.default_view_seconds + red_packet.reservation_extra_seconds,保存草稿+提交审批+激活前,阻止激活,预留时间必须覆盖浏览与容错,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-027,red_packet,预留上限,red_packet.reservation_min_seconds <= red_packet.reservation_max_seconds <= red_packet.session_timeout_seconds,保存草稿+提交审批+激活前,阻止激活,预留与会话超时关系无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-028,red_packet,金额范围,red_packet.unit_amount_min_cent <= red_packet.unit_amount_max_cent,保存草稿+提交审批+激活前,阻止激活,红包单价最小值不得大于最大值,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-029,red_packet,数量范围,red_packet.min_count <= red_packet.max_count,保存草稿+提交审批+激活前,阻止激活,红包数量范围无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-030,red_packet,服务费折扣,各会员折扣基点 BETWEEN 0 AND red_packet.service_fee_bps,保存草稿+提交审批+激活前,阻止激活,会员折扣不得超过服务费,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-031,red_packet,退款政策,red_packet.allow_refund 必须为 false，除非新需求和财税方案通过变更评审,保存草稿+提交审批+激活前,阻止激活,虚拟服务当前不支持退款,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,red_packet_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-032,referral,佣金层级,referral.max_commission_level = 2,保存草稿+提交审批+激活前,阻止激活,当前产品仅支持两级消费佣金,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-033,referral,佣金比例,referral.commission.default_level1_bps + referral.commission.default_level2_bps <= 10000,保存草稿+提交审批+激活前,阻止激活,佣金比例总和不得超过可分佣收入,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-034,referral,关系安全,referral.block_self_invite=true AND referral.block_same_device=true（生产）,保存草稿+提交审批+激活前,阻止激活,生产必须禁止自邀和同设备作弊,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;risk_manager;finance_operator,FROZEN_V1.2.2
CFG-RULE-035,referral_activity,积分上限,单个事件分值 <= referral_activity.score_daily_cap_per_invitee,保存草稿+提交审批+激活前,阻止保存,事件分值不能超过单人每日上限,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;risk_manager,FROZEN_V1.2.2
CFG-RULE-036,referral_activity,档位矩阵,milestones目标严格递增、奖励非负、代码唯一,保存草稿+提交审批+激活前,阻止激活,直推活跃档位矩阵无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;risk_manager,FROZEN_V1.2.2
CFG-RULE-037,search,分页,search.default_page_size BETWEEN 1 AND 100,保存草稿+提交审批+激活前,阻止保存,搜索分页必须在1-100,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,content_ops;operations_admin,FROZEN_V1.2.2
CFG-RULE-038,sms,验证码长度,sms.code.length BETWEEN 4 AND 8,保存草稿+提交审批+激活前,阻止激活,验证码长度必须为4-8位,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-039,sms,验证码时效,sms.send.cooldown_seconds < sms.code.ttl_seconds,保存草稿+提交审批+激活前,阻止激活,发送冷却必须短于验证码有效期,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-040,sms,验证次数,sms.verify.max_attempts BETWEEN 1 AND 10,保存草稿+提交审批+激活前,阻止保存,验证码最大尝试次数必须在1-10,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-041,sms,供应商凭据,active_provider=ALIYUN时access_key SecretRef、签名、模板和callback_url必须齐全并通过测试,保存草稿+提交审批+激活前,阻止激活,阿里云短信配置不完整,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-042,storage,作用域供应商,每个storage.scope.*.provider必须为已激活且连接测试通过的供应商,保存草稿+提交审批+激活前,阻止激活,存储作用域引用无效供应商,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-043,storage,桶隔离,private_kyc/private_chat/audit_evidence不得与public_media共用公开桶,保存草稿+提交审批+激活前,阻止激活,敏感与公开媒体必须隔离,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-044,storage,图片上限,各专用图片max_mb <= storage.upload.max_image_mb 且 >0,保存草稿+提交审批+激活前,阻止保存,专用图片上限不得超过全局上限,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-045,storage,签名URL,storage.private_preview.ttl_seconds <= storage.signed_url.ttl_seconds,保存草稿+提交审批+激活前,阻止保存,私有预览时效不得超过签名URL时效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-046,system,维护文案,system.maintenance.enabled=true 时 system.maintenance.message 非空,保存草稿+提交审批+激活前,阻止激活,维护模式必须提供说明,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-047,task,任务预算,task.platform_daily_budget_cent <= task.platform_monthly_budget_cent,保存草稿+提交审批+激活前,阻止激活,日预算不得大于月预算,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-048,task,现金任务,feature.personal_task_cash_reward=true 时 task.enabled=true 且月奖励上限、平台预算均>0,保存草稿+提交审批+激活前,阻止激活,现金任务缺少预算,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,growth_ops;finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-049,withdrawal,普通会员提现范围,withdrawal.min_amount_cent.normal <= withdrawal.max_amount_cent.normal <= withdrawal.daily_total_cent.normal <= withdrawal.monthly_total_cent.normal,保存草稿+提交审批+激活前,阻止激活,普通会员提现限额关系无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-050,withdrawal,月卡提现范围,withdrawal.min_amount_cent.month <= withdrawal.max_amount_cent.month <= withdrawal.daily_total_cent.month <= withdrawal.monthly_total_cent.month,保存草稿+提交审批+激活前,阻止激活,月卡提现限额关系无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-051,withdrawal,季卡提现范围,withdrawal.min_amount_cent.quarter <= withdrawal.max_amount_cent.quarter <= withdrawal.daily_total_cent.quarter <= withdrawal.monthly_total_cent.quarter,保存草稿+提交审批+激活前,阻止激活,季卡提现限额关系无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-052,withdrawal,年卡提现范围,withdrawal.min_amount_cent.year <= withdrawal.max_amount_cent.year <= withdrawal.daily_total_cent.year <= withdrawal.monthly_total_cent.year,保存草稿+提交审批+激活前,阻止激活,年卡提现限额关系无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-053,withdrawal,手续费,各会员 withdrawal.fee.bps.* BETWEEN 0 AND 10000 且 fixed_cent>=0,保存草稿+提交审批+激活前,阻止激活,提现手续费无效,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-054,withdrawal,自动审核,withdrawal.auto_review_threshold_cent <= 各会员 withdrawal.max_amount_cent.* 的最小值,保存草稿+提交审批+激活前,阻止激活,自动审核阈值不能超过单笔上限,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,finance_operator;risk_manager,FROZEN_V1.2.2
CFG-RULE-055,app_build,SDK范围,app.android.min_sdk <= app.android.target_sdk,保存草稿+提交审批+激活前,阻止激活,Android minSdk不得大于targetSdk,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,release_manager;platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-056,app_build,生产签名,生产发布必须配置 app.android.signing.production_profile SecretRef 且签名测试指纹已批准,保存草稿+提交审批+激活前,阻止晋级,生产签名未验证,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,release_manager;platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-057,app_build,构建安全,app.build.arbitrary_shell_allowed=false AND app.build.white_label_enabled=false（当前范围）,保存草稿+提交审批+激活前,阻止激活,禁止任意Shell和未批准白标,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,release_manager;platform_engineer;security_admin,FROZEN_V1.2.2
CFG-RULE-058,membership,会员升级,membership.upgrade.time_precision和rounding必须来自冻结枚举，preserve_gift_days明确,保存草稿+提交审批+激活前,阻止保存,升级计算口径不完整,边界值、等值、越界、依赖缺失、并发版本冲突均需自动化,commerce_ops;finance_operator,FROZEN_V1.2.2
