能力ID,能力主题,版本,必须完成,完成条件,APK要求,状态,备注,文档DoR,故事数,页面规格数,文档版本,文档说明
CAP-R10,群聊推广完整闭环,R10,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R11,团队长入驻完整闭环,R11,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R12,统一发布与发布管理,R12,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,8,11,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R13,收藏、历史、分享与行为审计,R13,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,3,4,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R14,一对一聊天核心,R14,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,6,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R15,通知、公告、举报与客服,R15,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,14,19,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R16,商品、SKU、报价与统一订单,R16,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R17,支付抽象与H5统一收银台,R17,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,4,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R18,Pro会员与补差升级,R18,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,6,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R19,道具与曝光层级,R19,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,6,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R20,红包活动创建与预审核,R20,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,7,6,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R21,红包付款、加价与暂停,R21,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,3,2,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R22,红包20秒有效浏览与领取,R22,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,4,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R23,红包账本、数据与反作弊,R23,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R24,奖励账户与支付宝提现,R24,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,8,11,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R25,二级消费佣金,R25,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,7,9,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R26,直推活跃阶梯奖励,R26,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,5,5,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R27,个人任务与留存,R27,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,4,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R28,H5品牌宣传、邀请与下载,R28,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,10,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R29,官方App自助构建与版本发布中心,R29,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,5,8,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R30,完整运营后台、RBAC与配置闭环,R30,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,8,10,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R31,安全、性能、备份与灾备验收,R31,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,4,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R32,最终供应商接入、生产发布与交接,R32,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,1,0,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
