需求ID,领域,标题,描述,优先级,计划版本
REQ-MEMBER-003,会员,会员权益快照与公开标识,购买时保存权益快照；月季年公开统一显示Pro标识；后台修改不篡改历史承诺,P1,R18
REQ-PROP-002,道具,曝光层级和道具执行,刷新、置顶、头条、变色可叠加；刷新当前有效层级；上下架不免费刷新；执行可审计,P1,R19
REQ-RP-004,红包,红包预审核与永久活动,一个内容最多一个进行中/暂停活动，先审核后付款，无结束时间，内容下架仅暂停,P1,R20
REQ-RP-005,红包,红包付款金额版本与暂停,活动付款后激活，可提高剩余红包单价并按差额付款；历史领取不追溯；暂停可无限保留,P1,R21
REQ-RP-006,红包,红包账本数据与反作弊,本金、服务费、领取、未领取、冻结和结算独立记账；自然/红包/任务流量分开统计,P1,R23
REQ-ANALYTICS-001,数据,统一埋点和指标口径,曝光、详情、联系、私聊、外链、红包、任务和商业指标由后端统一口径并区分流量来源,P0,R23/R30
REQ-REF-002,推广,邀请归因与反作弊,邀请关系绑定规则、归因窗口、自邀/同设备/同实名识别、规则快照和申诉完整实现,P2,R25
REQ-REF-ACT-002,推广,直推活跃事件与矩阵配置,每名直推独立事件流水、跨档连续发奖、会员奖励矩阵、幂等和风控延迟可配置,P2,R26
REQ-TASK-002,任务,个人任务预算与留存,七日、每日、连续活跃、积分、道具/体验/现金奖励和全局预算、每日月度上限可配置,P2,R27
REQ-CMS-001,运营,H5与运营CMS,品牌宣传下载页、邀请、分享、公告、帮助、协议、轮播和首页模块均由后台版本化配置,P2,R28/R30
REQ-APP-RELEASE-001,App版本,App版本检测与自有分发,可选/推荐/强制更新、APK下载、SHA256、签名指纹、灰度、回滚和下载统计,P0,R29/R32
REQ-ADMIN-001,后台,完整运营后台,用户、实名、内容、审核、商业、奖励、推广、任务、客服、风控、配置和构建中心均具备完整管理页面,P0,R30
REQ-RBAC-001,后台,RBAC审批与审计,后台员工角色、菜单、数据权限、敏感字段、双人复核、操作日志和配置版本完整实现,P0,R30
REQ-SEC-001,安全,全量安全和性能验收,认证授权、密钥、上传、WebView、支付、账本、红包并发、压测和漏洞扫描通过门禁,P0,R31
REQ-OPS-001,运维,监控备份灾备与回滚,开发/测试/预发布/生产隔离，监控告警、备份、恢复、灰度、回滚和RTO/RPO演练完整,P0,R31
REQ-VENDOR-001,供应商,最终供应商生产接入,彩虹易支付、支付宝企业付款、正式阿里云短信模板、生产证书和回调在收尾版本完成,P0,R32
REQ-RELEASE-001,交付,生产发布与完整交接,V1.0.0正式APK、生产部署、操作手册、源码、密钥移交清单和无状态接手演练全部通过,P0,R32
REQ-ENG-001,工程,用户自有仓库与受控环境,私有Monorepo、分支保护、CI、环境隔离、密钥模板、构建骨架和无状态接续在P00完成,P0,P00
REQ-CONTRACT-001,工程,契约先行与一一追踪,页面、API、表、配置、测试、版本和Commit必须形成追踪矩阵，当前版本接口编码前冻结契约,P0,P00/R01
REQ-CONFIG-001,配置,供应商与系统配置中心,阿里云短信、R2、OSS、实名、彩虹易支付、支付宝出款、域名等均由后台版本化配置、测试、激活和回滚,P0,R03/R30
REQ-DOMAIN-001,运维,orbexa.cc域名编排,系统以orbexa.cc为根域名，Codex按环境生成二级域名和DNS待办，用户完成解析后自动验证,P0,R03/R28/R29/R32
REQ-STORAGE-001,存储,Cloudflare R2与阿里云OSS双适配,按Scope选择存储供应商，支持连接测试、私有预览、迁移和回滚,P0,R03/R04
REQ-BUILD-001,App构建,官方App自助构建中心,后台仅构建合伙云Pro官方Android App，支持受控Git Ref、测试、签名、日志、APK、SHA、发布和回滚,P2,R29/R30
REQ-APK-001,交付,Android版本持续APK,每个涉及Android前端的版本必须由CI产生可下载测试APK并绑定唯一Commit、SHA256和测试记录,P0,P00/R01-R32
REQ-ARCH-001,架构,模块化单体与强模块边界,后端按访问、内容、交易、激励、平台五个领域集群组织；模块间仅通过应用服务、只读查询端口和领域事件协作，禁止跨模块直接访问Repository,P0,P00/R01
REQ-DATA-001,数据,可执行迁移与数据库级不变量,所有表、索引、唯一约束、检查约束和基线数据通过Flyway迁移交付；每次变更必须具备前向迁移、验证和人工回滚脚本,P0,P00/R01
REQ-EVENT-001,事件,事务Outbox与幂等Inbox,跨模块异步事件必须与业务事务同库提交，通过Outbox发布、Inbox去重、重试和死信治理保证至少一次投递下的业务幂等,P0,P00/R01
REQ-LEDGER-001,账务,统一复式记账事实层,支付、红包、奖励、佣金、提现和出款统一落入不可变会计交易与分录，任一交易借贷平衡且业务幂等键唯一；领域余额均可由账务事实重建和对账,P0,P00/R17/R20/R24/R25/R27
REQ-ADMIN-BASE-001,后台,基础后台认证权限前置,在任何业务后台页面开发前交付管理员登录、MFA、基础RBAC、路由/按钮权限、敏感字段脱敏、导出控制和操作审计；R30仅扩展治理能力,P0,P00/R01
REQ-OBS-002,可观测性,日志指标链路与告警基线,所有入口生成RequestId/TraceId；核心业务输出结构化日志、RED指标、业务不变量指标和告警，资金链路可按业务单号端到端追踪,P0,P00/R01
REQ-SECRET-001,安全,秘密引用与配置生命周期,密钥、证书和敏感配置仅保存SecretRef，按启动配置、运营热配置、实验配置和激活门禁配置分类；高风险变更双人审批、版本化、可回滚,P0,P00/R03/R30
REQ-PAGE-SPEC-001,UI,页面字段状态动作施工规格,所有 Android、H5、管理后台页面及弹层必须绑定标准模板，并冻结字段、校验、状态、按钮显示条件、成功失败行为、导航、埋点和验收证据。,P0,P00/R01-R32
REQ-ADMIN-OPS-001,后台,后台运营操作施工规格,后台列表、详情、审核、配置、财务和构建页面必须冻结筛选项、表格列、排序、批量操作、行操作、详情Tab、导出、脱敏、审批和审计。,P0,R01/R02-R31
REQ-CONFIG-UX-001,配置,配置项运营表单与权限元数据,每个配置项必须定义显示名、控件、单位、范围、依赖、跨字段规则、编辑角色、审批、生效预览和回滚。,P0,R03/R30
REQ-ACCOUNTING-OPS-001,账务,统一会计查询与受控冲正,管理后台能够查询会计交易和分录，核对借贷平衡，并通过双人审批创建反向分录完成冲正，禁止直接修改已过账分录。,P0,R24/R30
REQ-RISK-RULE-001,风控,风控规则版本与无副作用模拟,风控规则支持草稿、版本差异、脱敏样本模拟、审批激活、命中解释和回滚。,P0,R31
REQ-NOTIFICATION-OPS-001,通知,通知模板与发送治理,站内信、推送和短信模板版本化，变量白名单、预览、审批、发送日志、失败原因和受控重试完整可审计。,P1,R15/R30
REQ-EXPORT-001,后台,异步数据导出中心,高敏数据导出必须异步执行、字段最小化、脱敏、审批、短时下载令牌、过期销毁和下载审计。,P0,R30
REQ-ADMIN-SECURITY-001,后台,管理员个人安全中心,管理员支持密码修改、MFA绑定解绑、恢复码、活跃会话和登录历史，敏感操作要求会话升级。,P0,R01
REQ-DOR-001,工程,逐版本开发就绪门禁,每个版本编码前必须通过页面字段、页面状态、动作、接口、配置、数据、错误码和测试八项 DoR；未通过不得进入实现。,P0,P00/R01-R32
