页面ID,页面,模块,路由,模板ID,筛选项,默认排序,表格列,冻结列,可排序字段,批量操作,行操作,详情Tab,导出字段,导出策略,脱敏规则,审批规则,确认规则,成功反馈,失败恢复,空状态,权限,数据分级,审计事件,计划版本,成熟度
ADM-RP-002,红包活动详情,红包,/red-packets/:id,ADM-DETAIL,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,预审核;平台暂停;恢复;平台终止且不退款,活动概览;内容与报价;资金与订单;库存领取;风险事件;状态历史;审计,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：redpacket.read；写：redpacket.manage,NORMAL,admin_page_adm_rp_002_operation,R23,FROZEN_OPERATIONAL_V1.2.2
ADM-RP-003,红包预审核,红包,/red-packets/review,ADM-REVIEW,页码;每页数量;游标;状态;关键词;排序,"priority:desc,createdAt:asc",ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量分配（仅未领取项）;批量标记优先级（不允许批量作出最终决定）,预审核;平台暂停;恢复;平台终止且不退款,概览;业务数据;状态历史;关联对象;操作审计,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：redpacket.read；写：redpacket.manage,NORMAL,admin_page_adm_rp_003_operation,R20,FROZEN_OPERATIONAL_V1.2.2
ADM-RP-004,红包风险事件,红包,/red-packets/risk,ADM-SECURITY,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,预审核;平台暂停;恢复;平台终止且不退款,概览;业务数据;状态历史;关联对象;操作审计,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：redpacket.read；写：redpacket.manage,NORMAL,admin_page_adm_rp_004_operation,R23,FROZEN_OPERATIONAL_V1.2.2
ADM-PROD-001,商品与SKU,商品,/commerce/products,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,updatedAt:desc,ID;product Code;名称;商品类型;状态;skus;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,创建商品;修改商品;创建SKU;修改SKU,概览;业务数据;状态历史;关联对象;操作审计,ID;product Code;名称;商品类型;状态;skus;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：product.manage；写：product.manage,NORMAL,admin_page_adm_prod_001_operation,R30,FROZEN_OPERATIONAL_V1.2.2
ADM-ORDER-001,订单列表,订单,/commerce/orders,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,resource Id;business No;状态;版本;accepted At,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,概览;业务数据;状态历史;关联对象;操作审计,resource Id;business No;状态;版本;accepted At,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：order.read；写：order.manage,NORMAL,admin_page_adm_order_001_operation,R16,FROZEN_OPERATIONAL_V1.2.2
ADM-PAY-001,支付交易,支付,/commerce/payments,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;order No;支付网关;gateway Trade No;状态;金额;币种;paid At;reconciliation Status;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,主动查单;处理异常账务;执行对账,交易;订单;网关回调;对账;异常;审计,ID;order No;支付网关;gateway Trade No;状态;金额;币种;paid At;reconciliation Status;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：payment.read；写：payment.manage,HIGH,admin_page_adm_pay_001_operation,R17,FROZEN_OPERATIONAL_V1.2.2
ADM-RECON-001,支付对账,支付,/commerce/reconciliation,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;order No;支付网关;gateway Trade No;状态;金额;币种;paid At;reconciliation Status;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,主动查单;处理异常账务;执行对账,交易;订单;网关回调;对账;异常;审计,ID;order No;支付网关;gateway Trade No;状态;金额;币种;paid At;reconciliation Status;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：payment.reconcile；写：payment.reconcile,HIGH,admin_page_adm_recon_001_operation,R17,FROZEN_OPERATIONAL_V1.2.2
ADM-REWARD-001,奖励账户,奖励,/finance/reward-accounts,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;pending Cent;available Cent;frozen Cent;withdrawn Cent;版本;更新时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,创建奖励调整申请,账户;流水;冻结;调整申请;会计分录;审计,用户ID;pending Cent;available Cent;frozen Cent;withdrawn Cent;版本;更新时间,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：创建奖励调整申请,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：reward.read；写：reward.manage,HIGH,admin_page_adm_reward_001_operation,R24,FROZEN_OPERATIONAL_V1.2.2
ADM-REWARD-002,奖励流水,奖励,/finance/reward-ledger,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;pending Cent;available Cent;frozen Cent;withdrawn Cent;版本;更新时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,账户;流水;冻结;调整申请;会计分录;审计,用户ID;pending Cent;available Cent;frozen Cent;withdrawn Cent;版本;更新时间,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：reward.read；写：reward.manage,HIGH,admin_page_adm_reward_002_operation,R24,FROZEN_OPERATIONAL_V1.2.2
ADM-WD-001,提现列表,提现,/finance/withdrawals,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;withdrawal No;用户ID;状态;金额;fee Cent;net Amount Cent;payout Account Masked;失败代码;创建时间;completed At;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,概览;业务数据;状态历史;关联对象;操作审计,ID;withdrawal No;用户ID;状态;金额;fee Cent;net Amount Cent;payout Account Masked;失败代码;创建时间;completed At;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：withdrawal.read；写：withdrawal.manage,HIGH,admin_page_adm_wd_001_operation,R24,FROZEN_OPERATIONAL_V1.2.2
