模板ID,平台范围,模板名称,适用页面,页面结构,必备区域,默认状态,交互规则,无障碍,响应式,证据要求,成熟度
MOB-CHECKOUT,"ANDROID,H5",购买确认与收银台,购买确认、升级、支付、提现申请,商品/金额摘要|权益/费用|协议确认|支付方式|主操作|结果查询,服务端报价版本、不可退款确认、支付未知态,LOADING;QUOTE_READY;SUBMITTING;PAYMENT_PENDING;SUCCESS;FAILED;UNKNOWN,客户端不信任URL金额；重复点击使用幂等键；结果以服务端查单为准,金额、费用和协议状态可读,主操作固定且展示最终金额,金额篡改、回调重复、未知态查单、幂等测试,FROZEN_V1.2.2
MOB-TIMED-TASK,ANDROID,计时/资格任务,红包资格、有效浏览、活体检测,任务说明|资格/进度|主内容|心跳状态|完成/失败结果,服务端时间、剩余时长、页面可见性、风险提示,CHECKING;INELIGIBLE;READY;RUNNING;PAUSED;RESERVED;COMPLETED;EXPIRED;RISK_BLOCKED,进度以服务端会话为准；退后台或不可见时暂停/取消；禁止本地计时决定奖励,剩余时间节制播报,关键状态始终可见,心跳中断、加速作弊、退后台、并发领取测试,FROZEN_V1.2.2
MOB-STATUS,"ANDROID,H5",结果与状态页,提交结果、实名结果、支付结果、预审核结果,状态图标|主结论|原因/下一步|主操作|辅助信息,稳定状态码、requestId、可恢复动作,PENDING;SUCCESS;FAILED;REJECTED;UNKNOWN;RETRYING,未知状态必须查询服务端；不可仅依赖回跳参数,状态与原因文本化,主结论首屏可见,各终态、未知态、重试、返回栈测试,FROZEN_V1.2.2
MOB-SETTINGS,"ANDROID,ADMIN",设置与安全中心,设置、设备、账号注销、管理员安全,账号摘要|设置分组|状态/风险|操作入口,当前状态、影响说明、敏感操作二次验证,LOADING;CONTENT;SUBMITTING;SUCCESS;ERROR,危险操作独立分组；会话和MFA变更实时更新,开关状态与风险说明可读,分组列表适配,权限、会话失效、MFA、注销测试,FROZEN_V1.2.2
MOB-SHEET,ANDROID,标准底部面板/确认弹层,联系方式、举报、分享、媒体、拉黑、删除确认,拖拽柄/标题|说明|字段/选项|主次操作,影响说明、取消、错误就地反馈,OPEN;EDITING;SUBMITTING;SUCCESS;ERROR,不可逆动作不能点击遮罩直接确认；成功后回传结果,焦点限制在弹层；关闭后返回触发控件,大屏切换居中对话框,焦点、返回键、重复提交、取消测试,FROZEN_V1.2.2
H5-LANDING,H5,公开落地与下载页,品牌、邀请、安装教程,SEO头|Hero|信任信息|功能区|下载CTA|页脚,渠道归因、版本与SHA、隐私/协议、安装说明,SSR_CONTENT;CLIENT_HYDRATED;DOWNLOAD_UNAVAILABLE;ERROR,首屏可SSR；下载链接由服务端签名/配置提供；归因参数白名单,语义标题、链接文本、对比度,移动优先并适配桌面,SSR、OG、归因、下载降级测试,FROZEN_V1.2.2
H5-SHARE,H5,公开内容分享页,项目/App/群聊/团队长分享,SEO预览|内容摘要|发布者|安全遮罩|下载/打开App CTA,不暴露完整联系方式、内容状态、来源归因,SSR_CONTENT;NOT_FOUND;OFFLINE_CONTENT;ERROR,仅展示审核通过公开字段；失效内容明确说明,媒体替代文本、CTA语义,移动优先,脱敏、下架、OG、深链回退测试,FROZEN_V1.2.2
H5-DOCUMENT,H5,协议与帮助文档,协议、规则、帮助文章,标题/版本|目录|正文|更新时间|相关入口,版本号、生效时间、打印/复制策略,SSR_CONTENT;NOT_FOUND;ERROR,协议版本不可静默覆盖；锚点稳定,标题层级和链接语义,正文宽度和字号适配,版本、锚点、打印、404测试,FROZEN_V1.2.2
H5-CALLBACK,H5,安全回跳页,实名、支付回跳,处理中状态|服务端查询|结果|返回App,一次性state校验、禁止信任URL结果、超时恢复,VALIDATING;QUERYING;SUCCESS;FAILED;UNKNOWN,立即清理敏感URL参数；结果以服务端为准,处理状态播报,移动优先,state重放、URL篡改、未知态测试,FROZEN_V1.2.2
ADM-AUTH,ADMIN,后台认证,后台登录、MFA,品牌|安全说明|认证表单|风险/锁定提示,验证码/MFA、失败次数、合规提示,EDITING;SUBMITTING;MFA_REQUIRED;LOCKED;ERROR;SUCCESS,管理会话与用户会话隔离；高风险登录触发MFA,完整键盘操作和错误摘要,桌面优先，小屏可用,锁定、MFA、会话隔离、审计测试,FROZEN_V1.2.2
ADM-DASHBOARD,ADMIN,数据驾驶舱,总览、构建中心首页,全局时间筛选|指标卡|趋势|分布|待办|异常,指标口径版本、数据更新时间、跳转目标,LOADING;CONTENT;PARTIAL_CONTENT;NO_PERMISSION;ERROR,模块独立失败；口径和时间范围显式展示,图表提供表格替代,≥1280px多列，窄屏单列,指标口径、模块容错、权限裁剪测试,FROZEN_V1.2.2
ADM-LIST,ADMIN,标准列表运营页,用户、内容、订单、交易、记录、任务等列表,页标题/说明|筛选区|统计/批量操作|表格|分页,筛选回显、列设置、默认排序、行操作、导出入口,LOADING;CONTENT;EMPTY;REFRESHING;PARTIAL_ERROR;NO_PERMISSION,筛选写入URL；批量操作先显示影响预览；翻页不丢筛选,表头语义、键盘操作、行操作菜单标签,表格横滚，关键列冻结,筛选、排序、分页、批量、导出、权限测试,FROZEN_V1.2.2
ADM-DETAIL,ADMIN,标准详情与时间线,用户、内容、活动、提现、工单、构建任务详情,摘要头|状态/主操作|Tab详情|时间线|关联对象|审计,版本、敏感字段访问、按钮条件、状态历史,LOADING;CONTENT;STALE;NOT_FOUND;NO_PERMISSION;CONFLICT;ERROR,所有写操作使用最新version；高敏原文临时授权并审计,Tab和时间线语义化,双栏转单栏,状态按钮矩阵、敏感访问、冲突、审计测试,FROZEN_V1.2.2
ADM-REVIEW,ADMIN,审核与治理工作台,审核、举报、申诉、实名复核,队列|任务上下文|证据预览|规则/历史|决定面板,分配、原因、证据、二审、利益冲突提示,QUEUE;ASSIGNED;REVIEWING;SUBMITTING;DECIDED;CONFLICT;ERROR,申请人/处置人回避；决定不可无原因；原图短时访问,证据媒体替代说明,宽屏三栏，窄屏分步,分配竞态、二审、证据访问、通知测试,FROZEN_V1.2.2
ADM-CONFIG,ADMIN,配置与版本管理,系统、供应商、域名、规则、模板配置,环境/版本选择|配置表单|差异|校验/测试|审批/激活|历史,单位范围、依赖、影响预览、SecretRef、回滚,LOADING;ACTIVE_VERSION;DRAFT;VALIDATING;PENDING_APPROVAL;ACTIVATING;ERROR,编辑产生新版本；秘密不回显；激活和回滚需审批,字段帮助和错误关联,表单与差异并排/堆叠,跨字段校验、连接测试、审批、回滚测试,FROZEN_V1.2.2
ADM-FINANCE,ADMIN,财务与不可变账本,支付、奖励、提现、会计、对账,指标/告警|筛选|流水表|对账/分录|受控操作|审计,金额单位、业务幂等键、借贷平衡、审批单、不可变提示,LOADING;CONTENT;EMPTY;RECONCILING;PENDING_APPROVAL;CONFLICT;ERROR,禁止直接修改已过账事实；调整通过反向交易；导出受控,金额方向和状态文本化,关键金额和状态列冻结,平衡、重复回调、冲正、审批、导出测试,FROZEN_V1.2.2
ADM-CMS,ADMIN,CMS编辑与预览,首页、H5、公告、帮助、协议,内容树/列表|编辑器|多端预览|版本|发布计划,XSS净化、版本差异、SEO、预览、审批,LOADING;EDITING;DIRTY;PREVIEWING;PENDING_APPROVAL;PUBLISHED;CONFLICT,保存草稿不等于发布；富文本白名单；版本不可覆盖,编辑器键盘可用、预览替代文本,编辑与预览切换,XSS、版本、预览、定时发布测试,FROZEN_V1.2.2
ADM-APPROVAL,ADMIN,双人审批中心,审批列表与决定,筛选|申请摘要|影响差异|证据|决定|时间线,申请人、审批人冲突、过期、风险、原请求哈希,LOADING;PENDING;DECIDING;APPROVED;REJECTED;EXPIRED;CONFLICT,申请人不得自审；决定绑定不可变请求快照,差异和风险文本化,详情抽屉转全页,自审拒绝、并发决定、过期、审计测试,FROZEN_V1.2.2
ADM-BUILD,ADMIN,构建与发布任务,构建配置、任务、产物、发布回滚,环境/配置|任务步骤|日志|产物校验|发布/回滚|审批,commit SHA、签名指纹、SHA256、日志脱敏、环境隔离,DRAFT;QUEUED;RUNNING;SUCCEEDED;FAILED;PENDING_APPROVAL;PUBLISHED;ROLLED_BACK,不可从未验证产物晋级生产；生产签名仅引用密钥,步骤状态文本化,日志区可全屏,可复现构建、签名、晋级、回滚测试,FROZEN_V1.2.2
ADM-SECURITY,ADMIN,后台安全与审计,RBAC、审计、风险、管理员安全、导出,风险摘要|筛选/配置|敏感操作|证据/日志|审批,数据范围、角色、会话升级、脱敏、审计,LOADING;CONTENT;NO_PERMISSION;PENDING_APPROVAL;ERROR,前端权限仅作体验，后端强制校验；高敏读取也审计,风险和权限差异文本化,表格/详情适配,越权、脱敏、会话升级、审计完整性测试,FROZEN_V1.2.2
