版本,主题,范围,Android测试APK,状态,完成定义,依赖版本,商业里程碑,契约状态,文档版本,DoR状态,需求数,页面/交互面数,故事数,DoR项数,故事入口,DoR入口
R19,道具与曝光层级,刷新、置顶、头条、变色、24小时权益、叠加、排期、自动执行和统计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R17;R12,M2_COMMERCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,6,4,12,releases/R19/STORIES.yaml,releases/R19/DEFINITION_OF_READY.yaml
R20,红包活动创建与预审核,内容关联、参数、服务费报价、先审后付、一个活动限制和广告主后台,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R12;R17,M3_INCENTIVES_FINANCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,6,7,12,releases/R20/STORIES.yaml,releases/R20/DEFINITION_OF_READY.yaml
R21,红包付款、加价与暂停,付款激活、提高剩余单价差额订单、金额版本、无限暂停和关闭,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R20,M3_INCENTIVES_FINANCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,2,3,12,releases/R21/STORIES.yaml,releases/R21/DEFINITION_OF_READY.yaml
R22,红包20秒有效浏览与领取,实名门槛、名额锁定、服务端心跳、倒计时浮球、领取和异常状态,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R21,M3_INCENTIVES_FINANCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,1,4,4,12,releases/R22/STORIES.yaml,releases/R22/DEFINITION_OF_READY.yaml
R23,红包账本、数据与反作弊,本金/服务费/奖励账本、自然与激励流量分离、风控、申诉和广告主数据,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R22,M3_INCENTIVES_FINANCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,3,4,12,releases/R23/STORIES.yaml,releases/R23/DEFINITION_OF_READY.yaml
R24,奖励账户与支付宝提现,统一奖励账户、待结算/冻结、会员手续费矩阵、出款抽象和后台财务,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R17;R23,M3_INCENTIVES_FINANCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,4,11,8,12,releases/R24/STORIES.yaml,releases/R24/DEFINITION_OF_READY.yaml
R25,二级消费佣金,一级二级关系、SKU比例、实际服务收入基数、待结算、反作弊和明细,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R17;R24,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,9,7,12,releases/R25/STORIES.yaml,releases/R25/DEFINITION_OF_READY.yaml
R26,直推活跃阶梯奖励,每名直推独立进度、事件分值、奖励矩阵、跨档发奖、规则快照和风控,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R25,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,5,5,12,releases/R26/STORIES.yaml,releases/R26/DEFINITION_OF_READY.yaml
R27,个人任务与留存,七日/每日/连续活跃、积分、道具/体验/现金、预算和激励流量标记,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R24,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,4,4,12,releases/R27/STORIES.yaml,releases/R27/DEFINITION_OF_READY.yaml
R28,H5品牌宣传、邀请与下载,科技感官网、邀请注册、分享预览、安装教程、CMS和orbexa.cc域名,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R06;R13;R15,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,10,4,12,releases/R28/STORIES.yaml,releases/R28/DEFINITION_OF_READY.yaml
R29,官方App自助构建与版本发布中心,受控构建Profile、签名Profile、任务日志、APK、SHA、下载、测试发布、生产复核和回滚,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,P00;R17;R28,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,8,5,12,releases/R29/STORIES.yaml,releases/R29/DEFINITION_OF_READY.yaml
R30,完整运营后台、RBAC与配置闭环,全部运营模块、数据权限、双人复核、审计、配置、分析和系统任务,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R01;R23;R24;R28;R29,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,12,10,8,12,releases/R30/STORIES.yaml,releases/R30/DEFINITION_OF_READY.yaml
R31,安全、性能、备份与灾备验收,全链路压测、漏洞扫描、资金并发、安全加固、监控、备份和恢复演练,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R30,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,4,4,4,12,releases/R31/STORIES.yaml,releases/R31/DEFINITION_OF_READY.yaml
R32,最终供应商接入、生产发布与交接,填入最终支付/出款/短信生产资料、正式签名、V1.0.0发布、源码文档和冷启动交接,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R31,M4_GROWTH_PLATFORM,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,8,0,1,12,releases/R32/STORIES.yaml,releases/R32/DEFINITION_OF_READY.yaml
