key,group,type,default,secret,required,editable_by,approval,snapshot_on_business,runtime_reload,description,enum,lifecycle,required_in,reload_strategy,restart_required,secret_ref_policy,validator,owner,change_risk,rollback_supported,schema_version,display_name,ui_group,control_type,unit,min_value,max_value,step,pattern,option_source,help_text,risk_prompt,visible_when,enabled_when,dependency_keys,cross_field_rule_ids,approver_role,impact_scope,preview_strategy,rollback_strategy,audit_event,ui_order,ui_schema_version,maturity
domain.stg_api.host,domain,string,stg-api.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,stg-api服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,stg-api服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,stg-api服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,9,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.stg_ws.host,domain,string,stg-ws.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,stg-ws服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,stg-ws服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,stg-ws服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,10,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.stg_admin.host,domain,string,stg-admin.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,stg-admin服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,stg-admin服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,stg-admin服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,11,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.stg_h5.host,domain,string,stg-h5.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,stg-h5服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,stg-h5服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,stg-h5服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,12,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.stg_download.host,domain,string,stg-download.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,stg-download服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,stg-download服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,stg-download服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,13,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.default_login_method,auth,enum,PASSWORD,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,默认登录方式,"['PASSWORD', 'SMS']",STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,默认登录方式,账号与安全 / default login method,SELECT,,,,,,"enum:['PASSWORD', 'SMS']",默认登录方式。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.security_challenge.provider,auth,enum,INTERNAL_IMAGE,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,安全验证供应商,"['INTERNAL_IMAGE', 'SLIDER', 'THIRD_PARTY']",STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,安全验证供应商,账号与安全 / security challenge,SELECT,,,,,,"enum:['INTERNAL_IMAGE', 'SLIDER', 'THIRD_PARTY']",安全验证供应商。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.security_challenge.mode,auth,enum,ALWAYS,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,登录注册安全验证触发方式,"['ALWAYS', 'RISK_BASED']",STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,登录注册安全验证触发方式,账号与安全 / security challenge,SELECT,,,,,,"enum:['ALWAYS', 'RISK_BASED']",登录注册安全验证触发方式。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,3,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.password.min_length,auth,integer,8,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,密码最小长度,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,密码最小长度,账号与安全 / password,NUMBER_INPUT,个/次,0,1000000,1,,none,密码最小长度。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,4,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.password.max_length,auth,integer,20,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,密码最大长度,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,密码最大长度,账号与安全 / password,NUMBER_INPUT,个/次,0,1000000,1,,none,密码最大长度。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,5,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.password.max_failures,auth,integer,5,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,连续失败锁定阈值,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,连续失败锁定阈值,账号与安全 / password,NUMBER_INPUT,,,,,,none,连续失败锁定阈值。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,6,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.password.lock_seconds,auth,integer,900,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,锁定时长秒,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,锁定时长秒,账号与安全 / password,NUMBER_INPUT,秒,1,2592000,1,,none,锁定时长秒。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,7,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.invite.app_required,auth,boolean,False,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,App注册邀请码是否必填,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,App注册邀请码是否必填,账号与安全 / invite,SWITCH,,,,,,none,App注册邀请码是否必填。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,8,1.2.2,FROZEN_OPERATIONAL_V1.2.2
auth.invite.h5_required,auth,boolean,True,False,True,"['security_admin', 'platform_engineer']",TWO_PERSON,False,False,H5邀请注册邀请码必须填写,,STARTUP_CONFIGURATION,ALL,RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,auth_owner,HIGH,True,1,H5邀请注册邀请码必须填写,账号与安全 / invite,SWITCH,,,,,,none,H5邀请注册邀请码必须填写。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-001;CFG-RULE-002;CFG-RULE-003;CFG-RULE-004;CFG-RULE-005,security_admin,账号与安全领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.auth.changed,9,1.2.2,FROZEN_OPERATIONAL_V1.2.2
