需求ID,需求标题,版本,优先级,前端页面,客户端API,后台API,数据表,状态机,配置组,配置项,页面规格,动作规格,测试用例,任务清单,DoR证据,Commit/PR,状态
REQ-REF-001,一级二级消费佣金,R25,P2,SCR-REF-001;SCR-REF-002;SCR-REF-003;SCR-REF-004;SCR-REF-005;SCR-REF-006;SCR-REF-007;SCR-REF-008;ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,GET /api/v1/me/referral/overview;GET /api/v1/me/referral/invite-assets;GET /api/v1/me/referral/posters;GET /api/v1/me/referral/direct-users;GET /api/v1/me/referral/level2-users;GET /api/v1/me/referral/commissions;GET /api/v1/me/referral/activity-rewards;GET /public-api/v1/agreements/{code},GET /admin-api/v1/referral-relations;POST /admin-api/v1/referral-relations/{inviteeId}/adjust;GET /admin-api/v1/commission-policies;POST /admin-api/v1/commission-policies;GET /admin-api/v1/commissions;GET /admin-api/v1/referral-activity/rules;POST /admin-api/v1/referral-activity/rule-versions;GET /admin-api/v1/referral-activity/progress;GET /admin-api/v1/referral-activity/milestones;GET /admin-api/v1/referral-activity/rewards,invite_codes;referral_relations;commission_records;referral_activity_progress;referral_milestone_rewards;h5_page_configs;cms_articles;agreements;app_versions;content_posts;referral_activity_rule_versions;referral_activity_rules,REWARD_STATUS,referral;referral_activity;platform,commission.settlement_delay_hours;referral.max_commission_level;referral.binding_mode;referral.relation_change_allowed;referral.attribution_days;referral.block_self_invite;referral.block_same_device;referral.red_packet_principal_commissionable;referral.commission.default_level1_bps;referral.commission.default_level2_bps;referral_activity.settlement_delay_hours;referral_activity.event.first_register_login_score;referral_activity.event.first_approved_publish_score;referral_activity.enabled;referral_activity.milestones;referral_activity.score_daily_cap_per_invitee;referral_activity.reward_matrix_source;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-REF_001-CONCURRENCY;TST-REF_001-HAPPY;TST-REF_001-IDEMPOTENT;TST-REF_001-RECOVERY;TST-REF_001-REJECT,releases/R25/STORIES.yaml;releases/R25/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-REF-ACT-001,直推活跃阶梯奖励,R26,P2,SCR-REF-001;SCR-REF-002;SCR-REF-003;SCR-REF-004;SCR-REF-005;SCR-REF-006;SCR-REF-007;SCR-REF-008,GET /api/v1/me/referral/overview;GET /api/v1/me/referral/invite-assets;GET /api/v1/me/referral/posters;GET /api/v1/me/referral/direct-users;GET /api/v1/me/referral/level2-users;GET /api/v1/me/referral/commissions;GET /api/v1/me/referral/activity-rewards;GET /public-api/v1/agreements/{code},N/A_NO_ADMIN_API,invite_codes;referral_relations;commission_records;referral_activity_progress;referral_milestone_rewards;h5_page_configs;cms_articles;agreements;app_versions;content_posts,REWARD_STATUS,referral;referral_activity;platform,commission.settlement_delay_hours;referral.max_commission_level;referral.binding_mode;referral.relation_change_allowed;referral.attribution_days;referral.block_self_invite;referral.block_same_device;referral.red_packet_principal_commissionable;referral.commission.default_level1_bps;referral.commission.default_level2_bps;referral_activity.settlement_delay_hours;referral_activity.event.first_register_login_score;referral_activity.event.first_approved_publish_score;referral_activity.enabled;referral_activity.milestones;referral_activity.score_daily_cap_per_invitee;referral_activity.reward_matrix_source;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-REF_ACT_001-CONCURRENCY;TST-REF_ACT_001-HAPPY;TST-REF_ACT_001-IDEMPOTENT;TST-REF_ACT_001-RECOVERY;TST-REF_ACT_001-REJECT,releases/R26/STORIES.yaml;releases/R26/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-TASK-001,用户个人任务积分,R27,P2,SCR-TASK-001;SCR-TASK-002,GET /api/v1/tasks;POST /api/v1/tasks/{id}/claim;GET /api/v1/me/points;GET /api/v1/me/point-ledger,N/A_NO_ADMIN_API,task_definitions;user_task_progress;task_events;user_point_accounts;user_point_ledger;growth_budgets,REWARD_STATUS,task,feature.personal_task_cash_reward;task.enabled;task.daily_point_cap;task.monthly_cash_reward_cap_cent;task.platform_daily_budget_cent;task.platform_monthly_budget_cent;task.incentivized_traffic_excluded_from_organic_rank,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-TASK_001-CONCURRENCY;TST-TASK_001-HAPPY;TST-TASK_001-IDEMPOTENT;TST-TASK_001-RECOVERY;TST-TASK_001-REJECT,releases/R27/STORIES.yaml;releases/R27/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-H5-001,科技感宣传下载页,R28,P0,SHEET-SHARE-001;H5-001;H5-002;H5-003;H5-004;H5-005;H5-006;H5-007,POST /api/v1/contents/{id}/share;GET /public-api/v1/home-page;GET /public-api/v1/app/latest;GET /public-api/v1/help/articles/{id};GET /public-api/v1/invite/{code};GET /public-api/v1/share/contents/{id},N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;h5_page_configs;cms_articles;agreements;app_versions,N/A_STATE_MACHINE_NOT_REQUIRED,platform;domain;app_build;content,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;platform.base_domain;domain.www.host;domain.api.host;domain.ws.host;domain.admin.host;domain.h5.host;domain.download.host;domain.assets.host;domain.stg_api.host;domain.stg_ws.host;domain.stg_admin.host;domain.stg_h5.host;domain.stg_download.host;app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;app.release.default_update_type;app.release.require_two_person_approval;app.build.apk_required_for_android_release;app.build.timeout_minutes;app.build.max_concurrent_jobs;app.build.artifact_retention_days;app.build.arbitrary_shell_allowed;app.build.white_label_enabled;app.android.min_sdk;app.android.target_sdk;app.android.version_code_strategy;content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-H5_001-HAPPY;TST-H5_001-IDEMPOTENT;TST-H5_001-REJECT,releases/R28/STORIES.yaml;releases/R28/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-CONT-001,无状态接续,P00,P0,,N/A_NO_CLIENT_API,N/A_NO_ADMIN_API,outbox_events;inbox_messages;ledger_accounts;accounting_transactions;accounting_entries;balance_snapshots;reconciliation_runs;reconciliation_differences,N/A_STATE_MACHINE_NOT_REQUIRED,N/A_NOT_CONFIG_DRIVEN,N/A_NOT_CONFIG_DRIVEN,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-CONT_001-HAPPY;TST-CONT_001-IDEMPOTENT;TST-CONT_001-REJECT,releases/P00/STORIES.yaml;releases/P00/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-DESIGN-001,统一Design System,R01,P0,,N/A_NO_CLIENT_API,N/A_NO_ADMIN_API,N/A_DOCUMENT_CONTRACT,N/A_STATE_MACHINE_NOT_REQUIRED,N/A_NOT_CONFIG_DRIVEN,N/A_NOT_CONFIG_DRIVEN,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-DESIGN_001-HAPPY;TST-DESIGN_001-IDEMPOTENT;TST-DESIGN_001-REJECT,releases/R01/STORIES.yaml;releases/R01/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-MEDIA-001,媒体上传与私有访问,R04,P0,SHEET-MEDIA-001,POST /api/v1/media/upload-sessions;POST /api/v1/media/upload-sessions/{id}/complete;DELETE /api/v1/media/{id},N/A_NO_ADMIN_API,media_objects;upload_sessions;media_access_tokens,N/A_STATE_MACHINE_NOT_REQUIRED,storage;content,storage.default_provider;storage.scope.public_media.provider;storage.scope.private_kyc.provider;storage.scope.private_chat.provider;storage.scope.audit_evidence.provider;storage.scope.apk_release.provider;storage.scope.backup.provider;storage.r2.account_id;storage.r2.access_key_id;storage.r2.secret_access_key;storage.r2.endpoint;storage.r2.public_domain;storage.r2.bucket.public_media;storage.r2.bucket.private_kyc;storage.r2.bucket.private_chat;storage.r2.bucket.audit_evidence;storage.r2.bucket.apk_release;storage.r2.bucket.backup;storage.aliyun_oss.endpoint;storage.aliyun_oss.region;storage.aliyun_oss.access_key_id;storage.aliyun_oss.access_key_secret;storage.aliyun_oss.public_domain;storage.aliyun_oss.bucket.public_media;storage.aliyun_oss.bucket.private_kyc;storage.aliyun_oss.bucket.private_chat;storage.aliyun_oss.bucket.audit_evidence;storage.aliyun_oss.bucket.apk_release;storage.aliyun_oss.bucket.backup;storage.upload.max_image_mb;storage.signed_url.ttl_seconds;storage.upload.image.allowed_mime;storage.upload.image.max_mb;storage.upload.chat_image.max_mb;storage.upload.kyc_image.max_mb;storage.upload.apk.max_mb;storage.private_preview.ttl_seconds;storage.delete.delay_hours;storage.migration.batch_size;content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-MEDIA_001-HAPPY;TST-MEDIA_001-IDEMPOTENT;TST-MEDIA_001-REJECT;TST-V122-001;TST-V122-002;TST-V122-003,releases/R04/STORIES.yaml;releases/R04/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-ID-002,敏感资料访问审计,R05,P0,SCR-ID-001;SCR-ID-002;SCR-ID-003;SCR-ID-004;ADM-ID-001;ADM-ID-002;ADM-AUDIT-001,POST /api/v1/identity/sessions;GET /api/v1/me;POST /api/v1/identity/sessions/{id}/liveness-token;GET /api/v1/identity/sessions/{id};POST /api/v1/identity/sessions/{id}/retry,GET /admin-api/v1/identities;GET /admin-api/v1/identities/{userId};POST /admin-api/v1/identity-sessions/{id}/review;GET /admin-api/v1/audit/logs,identity_profiles;identity_verification_sessions;identity_provider_requests;identity_review_records;sensitive_data_access_logs;users;user_profiles;user_settings;user_status_logs;admin_operation_logs,IDENTITY_STATUS,identity;storage;auth;platform,identity.active_provider;identity.provider.appcode;identity.liveness.token_url;identity.liveness.result_url;identity.face_compare.url;identity.max_daily_attempts;identity.one_id_one_account;identity.liveness.poll_interval_ms;identity.liveness.poll_timeout_seconds;identity.liveness.return_url;identity.face_compare.auto_pass_code;identity.face_compare.manual_review_code;identity.photo.preview_watermark;identity.photo.retention_days;identity.admin_preview_ttl_seconds;storage.default_provider;storage.scope.public_media.provider;storage.scope.private_kyc.provider;storage.scope.private_chat.provider;storage.scope.audit_evidence.provider;storage.scope.apk_release.provider;storage.scope.backup.provider;storage.r2.account_id;storage.r2.access_key_id;storage.r2.secret_access_key;storage.r2.endpoint;storage.r2.public_domain;storage.r2.bucket.public_media;storage.r2.bucket.private_kyc;storage.r2.bucket.private_chat;storage.r2.bucket.audit_evidence;storage.r2.bucket.apk_release;storage.r2.bucket.backup;storage.aliyun_oss.endpoint;storage.aliyun_oss.region;storage.aliyun_oss.access_key_id;storage.aliyun_oss.access_key_secret;storage.aliyun_oss.public_domain;storage.aliyun_oss.bucket.public_media;storage.aliyun_oss.bucket.private_kyc;storage.aliyun_oss.bucket.private_chat;storage.aliyun_oss.bucket.audit_evidence;storage.aliyun_oss.bucket.apk_release;storage.aliyun_oss.bucket.backup;storage.upload.max_image_mb;storage.signed_url.ttl_seconds;storage.upload.image.allowed_mime;storage.upload.image.max_mb;storage.upload.chat_image.max_mb;storage.upload.kyc_image.max_mb;storage.upload.apk.max_mb;storage.private_preview.ttl_seconds;storage.delete.delay_hours;storage.migration.batch_size;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-ID_002-HAPPY;TST-ID_002-IDEMPOTENT;TST-ID_002-REJECT;TST-ID_002-SECURITY,releases/R05/STORIES.yaml;releases/R05/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-HOME-001,首页CMS与统一卡片,R06,P0,SCR-HOME-001,GET /api/v1/home,N/A_NO_ADMIN_API,home_modules;banners;content_posts;content_stats,N/A_STATE_MACHINE_NOT_REQUIRED,content;operations;analytics,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;analytics.event.retention_days;analytics.traffic_types,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-HOME_001-HAPPY;TST-HOME_001-IDEMPOTENT;TST-HOME_001-REJECT,releases/R06/STORIES.yaml;releases/R06/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-SEARCH-001,统一搜索与必要筛选,R07,P0,SCR-SEARCH-001;SCR-SEARCH-002;DIALOG-SEARCH-001,GET /api/v1/search/hot;GET /api/v1/search/history;GET /api/v1/search;DELETE /api/v1/search/history,N/A_NO_ADMIN_API,search_histories;hot_search_terms;content_posts,N/A_STATE_MACHINE_NOT_REQUIRED,search;content;analytics,search.default_page_size;search.hot_keywords.max_count;content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;analytics.event.retention_days;analytics.traffic_types,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-SEARCH_001-HAPPY;TST-SEARCH_001-IDEMPOTENT;TST-SEARCH_001-REJECT;TST-V122-004,releases/R07/STORIES.yaml;releases/R07/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-PUBLISHER-001,发布者主页与联系方式保护,R07/R13,P0,SCR-PUBLISHER-001;SCR-ME-001;SCR-ME-002,GET /api/v1/publishers/{id};GET /api/v1/contents;GET /api/v1/me;GET /api/v1/me/membership;GET /api/v1/me/reward-account;PATCH /api/v1/me/profile,N/A_NO_ADMIN_API,users;user_profiles;user_settings;user_status_logs;content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;membership_plans;membership_skus;user_memberships;membership_entitlement_segments;membership_benefit_snapshots;membership_upgrade_quotes;reward_accounts;reward_ledger;reward_settlements;reward_freezes;accounting_entries,N/A_STATE_MACHINE_NOT_REQUIRED,content;auth;membership;withdrawal,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;membership.upgrade.time_precision;membership.upgrade.rounding;membership.upgrade.preserve_gift_days;membership.public_badge.text;membership.public_badge.enabled;withdrawal.min_amount_cent.normal;withdrawal.fee.fixed_cent.normal;withdrawal.fee.bps.normal;withdrawal.daily_count.normal;withdrawal.min_amount_cent.month;withdrawal.fee.fixed_cent.month;withdrawal.fee.bps.month;withdrawal.daily_count.month;withdrawal.min_amount_cent.quarter;withdrawal.fee.fixed_cent.quarter;withdrawal.fee.bps.quarter;withdrawal.daily_count.quarter;withdrawal.min_amount_cent.year;withdrawal.fee.fixed_cent.year;withdrawal.fee.bps.year;withdrawal.daily_count.year;withdrawal.max_amount_cent.normal;withdrawal.daily_total_cent.normal;withdrawal.monthly_total_cent.normal;withdrawal.monthly_free_count.normal;withdrawal.max_amount_cent.month;withdrawal.daily_total_cent.month;withdrawal.monthly_total_cent.month;withdrawal.monthly_free_count.month;withdrawal.max_amount_cent.quarter;withdrawal.daily_total_cent.quarter;withdrawal.monthly_total_cent.quarter;withdrawal.monthly_free_count.quarter;withdrawal.max_amount_cent.year;withdrawal.daily_total_cent.year;withdrawal.monthly_total_cent.year;withdrawal.monthly_free_count.year;withdrawal.account_change_cooldown_hours;withdrawal.new_device_wait_hours;withdrawal.auto_review_threshold_cent;withdrawal.open_time_windows,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-PUBLISHER_001-HAPPY;TST-PUBLISHER_001-IDEMPOTENT;TST-PUBLISHER_001-REJECT,releases/R07/STORIES.yaml;releases/R07/TASKS.yaml;releases/R13/STORIES.yaml;releases/R13/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-PROJECT-001,项目推广完整闭环,R08,P0,SCR-LIST-001;SCR-DETAIL-001;SCR-PUB-002;H5-004,GET /api/v1/contents;GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share;POST /api/v1/contents;PATCH /api/v1/contents/{id};GET /public-api/v1/share/contents/{id},N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,N/A_STATE_MACHINE_NOT_REQUIRED,content;chat;platform,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-PROJECT_001-HAPPY;TST-PROJECT_001-IDEMPOTENT;TST-PROJECT_001-REJECT,releases/R08/STORIES.yaml;releases/R08/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-APP-PROMO-001,App推广完整闭环,R09,P0,SCR-LIST-002;SCR-DETAIL-002;SCR-PUB-003;H5-005,GET /api/v1/contents;GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share;POST /api/v1/contents;PATCH /api/v1/contents/{id};GET /public-api/v1/share/contents/{id},N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,N/A_STATE_MACHINE_NOT_REQUIRED,content;chat;platform,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-APP_PROMO_001-HAPPY;TST-APP_PROMO_001-IDEMPOTENT;TST-APP_PROMO_001-REJECT,releases/R09/STORIES.yaml;releases/R09/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-GROUP-001,群聊推广完整闭环,R10,P0,SCR-LIST-003;SCR-DETAIL-003;SCR-PUB-004;H5-006,GET /api/v1/contents;GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share;POST /api/v1/contents;PATCH /api/v1/contents/{id};GET /public-api/v1/share/contents/{id},N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,N/A_STATE_MACHINE_NOT_REQUIRED,content;chat;platform,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-GROUP_001-HAPPY;TST-GROUP_001-IDEMPOTENT;TST-GROUP_001-REJECT,releases/R10/STORIES.yaml;releases/R10/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
