risk_id,status,severity,category,title,affected_release,blocks_current_development,current_evidence,mitigation,owner,trigger,acceptance_evidence,classification,document_gap,documentation_treatment
BUG-R02-AUTH-CHALLENGE-ERROR-CLASSIFICATION,CLOSED,HIGH,authentication,客户端把验证码通过后的登录、注册和短信服务错误误判为验证码失败或网络失败,R02/R03,false,2026-07-19 四段真机录像与公网受控黑盒复现,后端新增图形安全验证专用错误码并由 Android/H5 按错误码分类处理,auth_owner,2026-07-19 真机反馈,后端、Android、H5专项测试与公网黑盒门禁通过,IMPLEMENTATION_GATE,false,实现偏差已按 CR-0066 修复并补充自动回归门禁
RISK-SECURITY-COMPLIANCE,OPEN_RECORDED,CRITICAL,security,渗透测试、隐私合规、财税和激励模式法律审查尚未完成,R32,false,RBAC、审计、脱敏和Secret扫描基线已建立,上线前完成独立安全测试、隐私影响评估、协议审查和整改闭环,security_owner,生产发布候选前,渗透报告、整改记录、合规/法务签字,PRODUCTION_GOVERNANCE,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-MOCKITO-AGENT,MONITOR,LOW,toolchain,Mockito/Byte Buddy 在新JDK上的动态Agent警告,P00,false,Maven测试通过但日志存在未来JDK兼容警告,在测试JVM显式配置Mockito agent或升级测试栈，JDK升级前清零警告,backend_owner,升级JDK或测试框架时,测试日志无动态自附加警告,TOOLCHAIN_OBSERVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
DOC-GAP-PAGE-SPEC,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,页面字段、状态、动作、导航和错误恢复不够精确,P00/R01-R32,false,catalogs/ui_page_specifications.csv;catalogs/ui_page_fields.csv;catalogs/ui_page_states.csv;catalogs/ui_action_matrix.csv,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-ADMIN-OPS,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,后台筛选、表格列、批量/行操作、导出、脱敏和审批不完整,P00/R01-R32,false,catalogs/admin_page_operation_specs.csv;catalogs/ui_templates.csv,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-API-OWNERSHIP,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,部分接口没有明确页面或系统所有者,P00/R01-R32,false,catalogs/api_ui_ownership.csv,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-OPEN-SCHEMA,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,首页、CMS、驾驶舱等核心资源仍使用自由对象,P00/R01-R32,false,contracts/openapi.yaml;contracts/admin-openapi.yaml;contracts/websocket-events.yaml,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-CONFIG-UX,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,配置项缺少运营表单、角色和跨字段规则,P00/R01-R32,false,catalogs/config_registry.csv;catalogs/config_role_matrix.csv;catalogs/config_cross_field_rules.csv,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-TRACEABILITY,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,需求到配置、页面施工规格和故事未完全闭合,P00/R01-R32,false,catalogs/TRACEABILITY_MATRIX.csv;catalogs/release_story_backlog.csv,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
DOC-GAP-RELEASE-DOR,CLOSED,BLOCKING_BEFORE_V1.2.2,documentation,版本任务偏模板化且缺少页面级开发就绪门禁,P00/R01-R32,false,catalogs/release_definition_of_ready.csv;releases/*/STORIES.yaml,已由V1.2.2权威目录和逐页施工文档闭环,product_architecture_owner,任何相关事实源变更,scripts/check_v122_documentation.py 全部门禁通过,DOCUMENT_GAP,true,关闭；后续破坏性变化必须CR并重新生成
