页面ID,平台,路由,允许入口,成功出口,取消/返回,未登录处理,无权限处理,资源不存在处理,深链规则,返回栈规则,成熟度
SCR-LIST-001,ANDROID,/content/projects,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-LIST-002,ANDROID,/content/apps,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-LIST-003,ANDROID,/content/groups,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-LIST-004,ANDROID,/content/team-leaders,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-DETAIL-001,ANDROID,/content/project/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-DETAIL-002,ANDROID,/content/app/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-DETAIL-003,ANDROID,/content/group/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-DETAIL-004,ANDROID,/content/team-leader/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUBLISHER-001,ANDROID,/publisher/{userId},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-CONTACT-001,ANDROID,sheet://contact,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-REPORT-001,ANDROID,sheet://report,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-SHARE-001,ANDROID,sheet://share,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-001,ANDROID,/red-packet,登录后由底部导航、业务通知或深链进入,按动作成功后导航列执行；未指定时留在当前页并刷新,切换底部导航；返回键按应用根导航策略处理,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-002,ANDROID,/red-packet/{id}/eligibility,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-003,ANDROID,/red-packet/{id}/view,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-RP-001,ANDROID,sheet://red-packet-claim,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-004,ANDROID,/me/rewards/red-packets,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-001,ANDROID,/me/red-packet-campaigns,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-002,ANDROID,/me/red-packet-campaigns/create,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-003,ANDROID,/me/red-packet-campaigns/{id}/review,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-004,ANDROID,/me/red-packet-campaigns/{id}/quote,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-005,ANDROID,/me/red-packet-campaigns/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-RP-ADV-006,ANDROID,/me/red-packet-campaigns/{id}/increase,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-001,ANDROID,/publish,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-002,ANDROID,/publish/project/{id?},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-003,ANDROID,/publish/app/{id?},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-004,ANDROID,/publish/group/{id?},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-005,ANDROID,/publish/team-leader,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-006,ANDROID,/publish/preview,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PUB-007,ANDROID,/publish/result,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MYC-001,ANDROID,/me/contents,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MYC-002,ANDROID,/me/drafts,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MYC-003,ANDROID,/me/contents/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MYC-004,ANDROID,/me/contents/{id}/reviews,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MYC-005,ANDROID,/me/contents/{id}/analytics,从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MSG-001,ANDROID,/messages,登录后由底部导航、业务通知或深链进入,按动作成功后导航列执行；未指定时留在当前页并刷新,切换底部导航；返回键按应用根导航策略处理,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-CHAT-001,ANDROID,/messages/chats,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-CHAT-002,ANDROID,/messages/chat/{conversationId},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-CHAT-001,ANDROID,sheet://chat-contact,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-CHAT-002,ANDROID,sheet://chat-report,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-NOTICE-001,ANDROID,/messages/notifications,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
