故事ID,版本,主题,用户故事,平台,模块,模板ID,页面ID,operationId,API契约,需求ID,配置项,数据表,测试ID,依赖版本,责任角色,验收条件,DoR,状态
STORY-R07-005,R07,搜索、发布者主页与联系方式保护：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R07 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-SEARCH-001;SCR-SEARCH-002;SCR-PUBLISHER-001;SHEET-CONTACT-001;DIALOG-SEARCH-001,searchGetSearch;searchGetSearchHot;searchGetSearchHistory;searchDeleteSearchHistory;userGetPublishersById;contentGetContents;contentPostContentsByIdContactsByChannelAccess,GET /api/v1/search;GET /api/v1/search/hot;GET /api/v1/search/history;DELETE /api/v1/search/history;GET /api/v1/publishers/{id};GET /api/v1/contents;POST /api/v1/contents/{id}/contacts/{channel}/access,REQ-CONTACT-001;REQ-SEARCH-001;REQ-PUBLISHER-001,search.default_page_size;search.hot_keywords.max_count;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;analytics.event.retention_days;analytics.traffic_types,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;search_histories;hot_search_terms;users;user_profiles;user_settings;user_status_logs;membership_plans;membership_skus;user_memberships;membership_entitlement_segments;membership_benefit_snapshots;membership_upgrade_quotes;reward_accounts;reward_ledger;reward_settlements;reward_freezes;accounting_entries,TST-CONTACT_001-HAPPY;TST-CONTACT_001-IDEMPOTENT;TST-CONTACT_001-REJECT;TST-PUBLISHER_001-HAPPY;TST-PUBLISHER_001-IDEMPOTENT;TST-PUBLISHER_001-REJECT;TST-SEARCH_001-HAPPY;TST-SEARCH_001-IDEMPOTENT;TST-SEARCH_001-REJECT;TST-V122-004,R06,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R08-001,R08,内容：项目详情,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成项目详情的完整业务流程，以便在不依赖研发临时决策的情况下实现项目详情、联系、私聊、红包。,ANDROID,内容,MOB-DETAIL,SCR-DETAIL-001,contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare,GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share,REQ-CONTENT-001;REQ-CONTACT-001;REQ-PROJECT-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;home_modules;banners;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-PROJECT_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-DETAIL-001 全部绑定模板 MOB-DETAIL，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-PROJECT_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R08-002,R08,内容：项目列表,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成项目列表的完整业务流程，以便在不依赖研发临时决策的情况下实现项目卡片列表。,ANDROID,内容,MOB-LIST,SCR-LIST-001,contentGetContents,GET /api/v1/contents,REQ-CONTENT-001;REQ-PROJECT-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-PROJECT_001-HAPPY,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-LIST-001 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContents；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-PROJECT_001-HAPPY || 项目列表闭环必须把首页项目一级入口、真实项目内容卡和项目列表/详情导航接回SCR-HOME-001并按V1.2工程执行强化版4.3与B02/P01、P02、P05回归,READY,READY_FOR_IMPLEMENTATION
STORY-R08-003,R08,发布：项目发布/编辑,作为已登录且满足对应发布能力的内容发布者，我需要完成项目发布/编辑的完整业务流程，以便在不依赖研发临时决策的情况下实现项目表单。,ANDROID,发布,MOB-FORM,SCR-PUB-002,contentPostContents;contentPatchContentsById,POST /api/v1/contents;PATCH /api/v1/contents/{id},REQ-PUBLISH-001;REQ-PROJECT-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;users;user_profiles;user_settings;user_status_logs;identity_review_records;manual_review_cases;content_reports;chat_reports;content_appeals;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;h5_page_configs;cms_articles;agreements;app_versions,TST-PUBLISH_001-HAPPY;TST-PROJECT_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-PUB-002 全部绑定模板 MOB-FORM，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentPostContents;contentPatchContentsById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PUBLISH_001-HAPPY;TST-PROJECT_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R08-004,R08,项目推广完整闭环：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R08 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-LIST-001;SCR-DETAIL-001;SCR-PUB-002,,,REQ-CONTACT-001;REQ-PROJECT-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-PROJECT_001-HAPPY;TST-PROJECT_001-IDEMPOTENT;TST-PROJECT_001-REJECT,R05;R06;R07,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R09-001,R09,内容：App详情,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成App详情的完整业务流程，以便在不依赖研发临时决策的情况下实现App详情、外链、联系。,ANDROID,内容,MOB-DETAIL,SCR-DETAIL-002,contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare,GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share,REQ-CONTENT-001;REQ-CONTACT-001;REQ-APP-PROMO-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;home_modules;banners;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-DETAIL-002 全部绑定模板 MOB-DETAIL，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R09-002,R09,内容：App列表,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成App列表的完整业务流程，以便在不依赖研发临时决策的情况下实现App卡片列表。,ANDROID,内容,MOB-LIST,SCR-LIST-002,contentGetContents,GET /api/v1/contents,REQ-CONTENT-001;REQ-APP-PROMO-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-APP_PROMO_001-HAPPY,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-LIST-002 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContents；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-APP_PROMO_001-HAPPY || App列表闭环必须把首页App一级入口、真实App内容卡和App列表/详情导航接回SCR-HOME-001并按V1.2工程执行强化版4.3与B02/P01、P02、P06回归,READY,READY_FOR_IMPLEMENTATION
STORY-R09-003,R09,发布：App发布/编辑,作为已登录且满足对应发布能力的内容发布者，我需要完成App发布/编辑的完整业务流程，以便在不依赖研发临时决策的情况下实现App表单，无APK上传。,ANDROID,发布,MOB-FORM,SCR-PUB-003,contentPostContents;contentPatchContentsById,POST /api/v1/contents;PATCH /api/v1/contents/{id},REQ-PUBLISH-001;REQ-APP-PROMO-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;users;user_profiles;user_settings;user_status_logs;identity_review_records;manual_review_cases;content_reports;chat_reports;content_appeals;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;h5_page_configs;cms_articles;agreements;app_versions,TST-PUBLISH_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-PUB-003 全部绑定模板 MOB-FORM，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentPostContents;contentPatchContentsById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PUBLISH_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R09-004,R09,App推广完整闭环：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R09 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-LIST-002;SCR-DETAIL-002;SCR-PUB-003,,,REQ-CONTACT-001;REQ-APP-PROMO-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-APP_PROMO_001-HAPPY;TST-APP_PROMO_001-IDEMPOTENT;TST-APP_PROMO_001-REJECT,R05;R06;R07,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R10-001,R10,内容：群聊详情,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成群聊详情的完整业务流程，以便在不依赖研发临时决策的情况下实现二维码/群号/失效反馈。,ANDROID,内容,MOB-DETAIL,SCR-DETAIL-003,contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare,GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share,REQ-CONTENT-001;REQ-CONTACT-001;REQ-GROUP-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;home_modules;banners;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-GROUP_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-DETAIL-003 全部绑定模板 MOB-DETAIL，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-GROUP_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R10-002,R10,内容：群聊列表,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成群聊列表的完整业务流程，以便在不依赖研发临时决策的情况下实现群聊卡片列表。,ANDROID,内容,MOB-LIST,SCR-LIST-003,contentGetContents,GET /api/v1/contents,REQ-CONTENT-001;REQ-GROUP-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-GROUP_001-HAPPY,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-LIST-003 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContents；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-GROUP_001-HAPPY || 群聊列表闭环必须把首页群聊一级入口、真实群聊内容卡和群聊列表/详情导航接回SCR-HOME-001并按V1.2工程执行强化版4.3与B02/P01、P02、P07回归,READY,READY_FOR_IMPLEMENTATION
STORY-R10-003,R10,发布：群聊发布/编辑,作为已登录且满足对应发布能力的内容发布者，我需要完成群聊发布/编辑的完整业务流程，以便在不依赖研发临时决策的情况下实现群聊表单。,ANDROID,发布,MOB-FORM,SCR-PUB-004,contentPostContents;contentPatchContentsById,POST /api/v1/contents;PATCH /api/v1/contents/{id},REQ-PUBLISH-001;REQ-GROUP-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;users;user_profiles;user_settings;user_status_logs;identity_review_records;manual_review_cases;content_reports;chat_reports;content_appeals;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;h5_page_configs;cms_articles;agreements;app_versions,TST-PUBLISH_001-HAPPY;TST-GROUP_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-PUB-004 全部绑定模板 MOB-FORM，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentPostContents;contentPatchContentsById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PUBLISH_001-HAPPY;TST-GROUP_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R10-004,R10,群聊推广完整闭环：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R10 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-LIST-003;SCR-DETAIL-003;SCR-PUB-004,,,REQ-CONTACT-001;REQ-GROUP-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-GROUP_001-HAPPY;TST-GROUP_001-IDEMPOTENT;TST-GROUP_001-REJECT;TST-V122-005,R05;R06;R07,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R11-001,R11,内容：团队长详情,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成团队长详情的完整业务流程，以便在不依赖研发临时决策的情况下实现团队资料、案例、联系。,ANDROID,内容,MOB-DETAIL,SCR-DETAIL-004,contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare,GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share,REQ-CONTENT-001;REQ-CONTACT-001;REQ-TEAM-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;home_modules;banners;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-TEAM_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-TEAM_001-IDEMPOTENT,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-DETAIL-004 全部绑定模板 MOB-DETAIL，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContentsById;contentPostContentsByIdContactsByChannelAccess;chatPostConversationsDirect;contentPostContentsByIdFavorite;contentPostContentsByIdShare；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-CONTACT_001-HAPPY;TST-TEAM_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTACT_001-IDEMPOTENT;TST-TEAM_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R11-002,R11,内容：团队长列表,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成团队长列表的完整业务流程，以便在不依赖研发临时决策的情况下实现团队长卡片列表。,ANDROID,内容,MOB-LIST,SCR-LIST-004,contentGetContents,GET /api/v1/contents,REQ-CONTENT-001;REQ-TEAM-001,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,TST-CONTENT_001-HAPPY;TST-TEAM_001-HAPPY,R05;R06;R07,android_engineer;backend_engineer;test_engineer,SCR-LIST-004 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：contentGetContents；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CONTENT_001-HAPPY;TST-TEAM_001-HAPPY || 团队长列表闭环必须把首页团队长一级入口、真实团队长内容卡和团队长列表/详情导航接回SCR-HOME-001并按V1.2工程执行强化版4.3与B02/P01、P02、P08回归,READY,READY_FOR_IMPLEMENTATION
