动作ID,平台,UI_ID,页面,路由,动作,触发条件,API契约,operationId,请求Schema,权限,幂等键,成功状态,失败状态,埋点,需求ID,测试ID,成熟度,动作类型,入口组件,显示条件,可用条件,前置校验,输入字段,二次确认,请求映射,并发控制,加载表现,重试策略,成功后导航,数据刷新范围,审计要求,敏感处理,离线策略,响应Schema,DoR状态
ACT-RP-ADV-006-02,ANDROID,SCR-RP-ADV-006,提高红包金额,/me/red-packet-campaigns/{id}/increase,创建加价订单,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/red-packet-campaigns/{id}/increase-orders,redPacketPostRedPacketCampaignsByIdIncreaseOrders,RedPacketPostRedPacketCampaignsByIdIncreaseOrdersRequest,登录+实名+所有者,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建加价订单成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_rp_adv_006_02,REQ-RP-001;REQ-RP-004;REQ-RP-005,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名+所有者，且资源状态允许“创建加价订单”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 id,X-Idempotency-Key,quoteId,paymentChannel,expectedVersion；expectedVersion 必须等于页面最后一次成功读取的服务端版本；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",id;X-Idempotency-Key;quoteId;paymentChannel;expectedVersion,金额、权益或发布范围变化时二次确认；普通可撤销保存不需要,POST /api/v1/red-packet-campaigns/{id}/increase-orders；请求模型 RedPacketPostRedPacketCampaignsByIdIncreaseOrdersRequest；响应模型 RedPacketPostRedPacketCampaignsByIdIncreaseOrdersResponse,expectedVersion 乐观锁 + X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,RedPacketPostRedPacketCampaignsByIdIncreaseOrdersResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-001-01,ANDROID,SCR-PUB-001,发布入口,/publish,当前用户资料,页面进入、显式刷新、从后台恢复且缓存过期，或收到相关领域事件后触发,GET /api/v1/me,userGetMe,UserGetMeParameters,登录,不要求,以服务端返回的 version 和状态覆盖详情；重算按钮显示/可用条件；记录页面曝光和请求 requestId,404显示资源不存在或已下架并提供返回；403显示无权限；409触发重新拉取；网络失败保留缓存并标记可能过期,ui_action_scr_pub_001_01,REQ-PUBLISH-001,TST-PUBLISH_001-HAPPY,FROZEN_DETAILED_V1.2.2,DETAIL_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限且路由参数完整,网络可用且不存在同资源进行中的请求,路由参数、权限和页面状态有效,无业务请求体；仅使用路由/会话上下文,不需要,GET /api/v1/me；请求模型 UserGetMeParameters；响应模型 UserGetMeResponse,同资源单写请求锁；状态机服务端复核,首次进入使用结构骨架；刷新保留当前内容并显示轻量刷新态,GET 可人工重试；缓存可作为只读降级但禁止基于过期数据执行写操作,留在当前页；资源不存在时返回上一级并从来源列表移除或标记,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,UserGetMeResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-001-02,ANDROID,SCR-PUB-001,发布入口,/publish,我的发布,页面首次进入、下拉刷新、筛选/排序变化或滚动触底时触发；相同查询条件避免并发重复请求,GET /api/v1/me/contents,contentGetMeContents,ContentGetMeContentsParameters,登录,不要求,首屏替换数据，翻页仅追加去重；更新分页、筛选回显、总数/游标和最后刷新时间；空结果进入业务空状态,首屏失败显示全页错误与重试；刷新失败保留旧数据并提示；翻页失败保留已加载数据并提供行内重试；401跳登录或会话升级，403显示无权限，404不适用,ui_action_scr_pub_001_02,REQ-PUBLISH-001,TST-PUBLISH_001-HAPPY,FROZEN_DETAILED_V1.2.2,LIST_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限；筛选项按数据范围和角色显示,网络可用；非正在刷新；翻页时 nextCursor/hasNext 为真,"校验 page,pageSize,cursor,status,keyword,sort,contentType,categoryCode,regionCode",page;pageSize;cursor;status;keyword;sort;contentType;categoryCode;regionCode,不需要,GET /api/v1/me/contents；请求模型 ContentGetMeContentsParameters；响应模型 ContentGetMeContentsResponse,同资源单写请求锁；状态机服务端复核,首屏使用骨架屏；刷新保留现有数据；翻页使用列表尾部加载器,GET 可人工重试；网络瞬断最多指数退避自动重试 2 次；筛选变化取消旧请求,留在当前页；点击行/卡片按页面导航规格进入详情,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentGetMeContentsResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-002-01,ANDROID,SCR-PUB-002,项目发布/编辑,/publish/project/{id?},创建内容/草稿,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/contents,contentPostContents,ContentPostContentsRequest,登录+实名,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建内容/草稿成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_002_01,REQ-PUBLISH-001;REQ-PROJECT-001,TST-PUBLISH_001-HAPPY;TST-PROJECT_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名，且资源状态允许“创建内容/草稿”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,contentType,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;contentType;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,POST /api/v1/contents；请求模型 ContentPostContentsRequest；响应模型 ContentPostContentsResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPostContentsResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-002-02,ANDROID,SCR-PUB-002,项目发布/编辑,/publish/project/{id?},编辑内容,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,PATCH /api/v1/contents/{id},contentPatchContentsById,ContentPatchContentsByIdRequest,登录+实名+所有者,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“编辑内容成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_002_02,REQ-PUBLISH-001;REQ-PROJECT-001,TST-PUBLISH_001-HAPPY;TST-PROJECT_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-PROJECT_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,UPDATE,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名+所有者，且资源状态允许“编辑内容”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 id,X-Idempotency-Key,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes,expectedVersion；expectedVersion 必须等于页面最后一次成功读取的服务端版本；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",id;X-Idempotency-Key;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes;expectedVersion,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,PATCH /api/v1/contents/{id}；请求模型 ContentPatchContentsByIdRequest；响应模型 ContentPatchContentsByIdResponse,expectedVersion 乐观锁 + X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPatchContentsByIdResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-003-01,ANDROID,SCR-PUB-003,App发布/编辑,/publish/app/{id?},创建内容/草稿,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/contents,contentPostContents,ContentPostContentsRequest,登录+实名,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建内容/草稿成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_003_01,REQ-PUBLISH-001;REQ-APP-PROMO-001,TST-PUBLISH_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名，且资源状态允许“创建内容/草稿”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,contentType,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;contentType;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,POST /api/v1/contents；请求模型 ContentPostContentsRequest；响应模型 ContentPostContentsResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPostContentsResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-003-02,ANDROID,SCR-PUB-003,App发布/编辑,/publish/app/{id?},编辑内容,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,PATCH /api/v1/contents/{id},contentPatchContentsById,ContentPatchContentsByIdRequest,登录+实名+所有者,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“编辑内容成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_003_02,REQ-PUBLISH-001;REQ-APP-PROMO-001,TST-PUBLISH_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-APP_PROMO_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,UPDATE,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名+所有者，且资源状态允许“编辑内容”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 id,X-Idempotency-Key,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes,expectedVersion；expectedVersion 必须等于页面最后一次成功读取的服务端版本；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",id;X-Idempotency-Key;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes;expectedVersion,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,PATCH /api/v1/contents/{id}；请求模型 ContentPatchContentsByIdRequest；响应模型 ContentPatchContentsByIdResponse,expectedVersion 乐观锁 + X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPatchContentsByIdResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-004-01,ANDROID,SCR-PUB-004,群聊发布/编辑,/publish/group/{id?},创建内容/草稿,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/contents,contentPostContents,ContentPostContentsRequest,登录+实名,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建内容/草稿成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_004_01,REQ-PUBLISH-001;REQ-GROUP-001,TST-PUBLISH_001-HAPPY;TST-GROUP_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名，且资源状态允许“创建内容/草稿”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,contentType,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;contentType;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,POST /api/v1/contents；请求模型 ContentPostContentsRequest；响应模型 ContentPostContentsResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPostContentsResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-004-02,ANDROID,SCR-PUB-004,群聊发布/编辑,/publish/group/{id?},编辑内容,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,PATCH /api/v1/contents/{id},contentPatchContentsById,ContentPatchContentsByIdRequest,登录+实名+所有者,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“编辑内容成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_004_02,REQ-PUBLISH-001;REQ-GROUP-001,TST-PUBLISH_001-HAPPY;TST-GROUP_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-GROUP_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,UPDATE,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名+所有者，且资源状态允许“编辑内容”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 id,X-Idempotency-Key,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes,expectedVersion；expectedVersion 必须等于页面最后一次成功读取的服务端版本；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",id;X-Idempotency-Key;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes;expectedVersion,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,PATCH /api/v1/contents/{id}；请求模型 ContentPatchContentsByIdRequest；响应模型 ContentPatchContentsByIdResponse,expectedVersion 乐观锁 + X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPatchContentsByIdResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-005-01,ANDROID,SCR-PUB-005,团队长资料编辑,/publish/team-leader,创建内容/草稿,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/contents,contentPostContents,ContentPostContentsRequest,登录+实名,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建内容/草稿成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_005_01,REQ-PUBLISH-001;REQ-TEAM-001,TST-PUBLISH_001-HAPPY;TST-TEAM_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-TEAM_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名，且资源状态允许“创建内容/草稿”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,contentType,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;contentType;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,POST /api/v1/contents；请求模型 ContentPostContentsRequest；响应模型 ContentPostContentsResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPostContentsResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-005-02,ANDROID,SCR-PUB-005,团队长资料编辑,/publish/team-leader,编辑内容,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,PATCH /api/v1/contents/{id},contentPatchContentsById,ContentPatchContentsByIdRequest,登录+实名+所有者,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“编辑内容成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_pub_005_02,REQ-PUBLISH-001;REQ-TEAM-001,TST-PUBLISH_001-HAPPY;TST-TEAM_001-HAPPY;TST-PUBLISH_001-IDEMPOTENT;TST-TEAM_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,UPDATE,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 登录+实名+所有者，且资源状态允许“编辑内容”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 id,X-Idempotency-Key,title,summary,description,categoryCode,regionCode,mediaIds,contacts,attributes,expectedVersion；expectedVersion 必须等于页面最后一次成功读取的服务端版本；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",id;X-Idempotency-Key;title;summary;description;categoryCode;regionCode;mediaIds;contacts;attributes;expectedVersion,必须二次确认；确认框展示目标、影响、不可逆性、原因、审批要求和将触发的通知,PATCH /api/v1/contents/{id}；请求模型 ContentPatchContentsByIdRequest；响应模型 ContentPatchContentsByIdResponse,expectedVersion 乐观锁 + X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentPatchContentsByIdResponse,READY_FOR_IMPLEMENTATION
ACT-PUB-006-01,ANDROID,SCR-PUB-006,发布预览,/publish/preview,内容详情,页面进入、显式刷新、从后台恢复且缓存过期，或收到相关领域事件后触发,GET /api/v1/contents/{id},contentGetContentsById,ContentGetContentsByIdParameters,登录,不要求,以服务端返回的 version 和状态覆盖详情；重算按钮显示/可用条件；记录页面曝光和请求 requestId,404显示资源不存在或已下架并提供返回；403显示无权限；409触发重新拉取；网络失败保留缓存并标记可能过期,ui_action_scr_pub_006_01,REQ-PUBLISH-001,TST-PUBLISH_001-HAPPY,FROZEN_DETAILED_V1.2.2,DETAIL_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限且路由参数完整,网络可用且不存在同资源进行中的请求,校验 id,id,不需要,GET /api/v1/contents/{id}；请求模型 ContentGetContentsByIdParameters；响应模型 ContentGetContentsByIdResponse,同资源单写请求锁；状态机服务端复核,首次进入使用结构骨架；刷新保留当前内容并显示轻量刷新态,GET 可人工重试；缓存可作为只读降级但禁止基于过期数据执行写操作,留在当前页；资源不存在时返回上一级并从来源列表移除或标记,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,ContentGetContentsByIdResponse,READY_FOR_IMPLEMENTATION
