字段ID,页面ID,平台,页面,区域,字段键,显示名称,字段角色,语义类型,控件类型,数据来源,必填条件,显示条件,可编辑条件,校验规则,默认值,选项来源,敏感级别,脱敏规则,帮助说明,错误提示,排序,关联operationId,成熟度
FLD-00011,SCR-APP-001,ANDROID,启动页,表单输入,status,状态,INPUT,string,TEXT_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态不符合要求,11,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00012,SCR-APP-001,ANDROID,启动页,表单输入,keyword,关键词,INPUT,string,TEXT_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词不符合要求,12,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00013,SCR-APP-001,ANDROID,启动页,表单输入,sort,排序,INPUT,string,TEXT_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序不符合要求,13,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00014,SCR-APP-001,ANDROID,启动页,主要内容,code,代码,DISPLAY,string,TEXT,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最少4字符；最多10字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,代码加载失败时显示字段级占位或隐藏,14,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00015,SCR-APP-001,ANDROID,启动页,主要内容,title,标题,DISPLAY,string,TEXT,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,标题加载失败时显示字段级占位或隐藏,15,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00016,SCR-APP-001,ANDROID,启动页,主要内容,description,详细说明,DISPLAY,string,TEXT,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,详细说明加载失败时显示字段级占位或隐藏,16,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00017,SCR-APP-001,ANDROID,启动页,主要内容,content,正文,DISPLAY,array<PublicPageBlockResource>,LIST,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多100项,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,正文加载失败时显示字段级占位或隐藏,17,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00018,SCR-APP-001,ANDROID,启动页,主要内容,seoMetadata,seo Metadata,DISPLAY,SeoMetadataResource,STRUCTURED_SECTION,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,seo Metadata加载失败时显示字段级占位或隐藏,18,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00019,SCR-APP-001,ANDROID,启动页,主要内容,download,download,DISPLAY,DownloadInfoResource,STRUCTURED_SECTION,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,download加载失败时显示字段级占位或隐藏,19,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00020,SCR-APP-001,ANDROID,启动页,主要内容,trackingContext,追踪上下文,DISPLAY,TrackingContextResource,STRUCTURED_SECTION,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,追踪上下文加载失败时显示字段级占位或隐藏,20,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00021,SCR-APP-001,ANDROID,启动页,主要内容,version,版本,DISPLAY,integer,NUMBER_TEXT,publicGetPlatformStatus.response.data.PublicPageResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,版本加载失败时显示字段级占位或隐藏,21,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00022,SCR-APP-001,ANDROID,启动页,表单输入,platform,platform,INPUT,string,SELECT,appReleasePostAppVersionCheck.request,必填,执行“按平台、版本号、渠道和环境返回可选/强制更新策略”且字段适用时显示,具备 公开 且资源状态允许,必填；最多2000字符；枚举:ANDROID,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,platform不符合要求,22,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00023,SCR-APP-001,ANDROID,启动页,表单输入,versionCode,version Code,INPUT,integer,NUMBER_INPUT,appReleasePostAppVersionCheck.request,必填,执行“按平台、版本号、渠道和环境返回可选/强制更新策略”且字段适用时显示,具备 公开 且资源状态允许,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,version Code不符合要求,23,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00024,SCR-APP-001,ANDROID,启动页,表单输入,versionName,version Name,INPUT,string,TEXT_INPUT,appReleasePostAppVersionCheck.request,可选；按业务条件或页面状态决定,执行“按平台、版本号、渠道和环境返回可选/强制更新策略”且字段适用时显示,具备 公开 且资源状态允许,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,version Name不符合要求,24,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00025,SCR-APP-001,ANDROID,启动页,表单输入,channel,渠道,INPUT,string,TEXT_INPUT,appReleasePostAppVersionCheck.request,必填,执行“按平台、版本号、渠道和环境返回可选/强制更新策略”且字段适用时显示,具备 公开 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,渠道不符合要求,25,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00026,SCR-APP-001,ANDROID,启动页,表单输入,environment,环境,INPUT,string,SELECT,appReleasePostAppVersionCheck.request,必填,执行“按平台、版本号、渠道和环境返回可选/强制更新策略”且字段适用时显示,具备 公开 且资源状态允许,必填；最多2000字符；枚举:DEV/TEST/STAGING/PROD,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,环境不符合要求,26,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00027,SCR-APP-001,ANDROID,启动页,主要内容,platform,platform,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,platform加载失败时显示字段级占位或隐藏,27,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00028,SCR-APP-001,ANDROID,启动页,主要内容,latestVersionCode,latest Version Code,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,latest Version Code加载失败时显示字段级占位或隐藏,28,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00029,SCR-APP-001,ANDROID,启动页,主要内容,latestVersionName,latest Version Name,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,latest Version Name加载失败时显示字段级占位或隐藏,29,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00030,SCR-APP-001,ANDROID,启动页,主要内容,updateType,update Type,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,update Type加载失败时显示字段级占位或隐藏,30,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00031,SCR-APP-001,ANDROID,启动页,主要内容,downloadUrl,download Url,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,download Url加载失败时显示字段级占位或隐藏,31,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00032,SCR-APP-001,ANDROID,启动页,主要内容,sha256,SHA-256,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,"最多64字符；正则:^[A-Fa-f0-9]{40,64}$",由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,SHA-256加载失败时显示字段级占位或隐藏,32,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00033,SCR-APP-001,ANDROID,启动页,主要内容,releaseNotes,release Notes,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,release Notes加载失败时显示字段级占位或隐藏,33,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00034,SCR-APP-001,ANDROID,启动页,主要内容,minSupportedVersionCode,min Supported Version Code,DISPLAY,string,TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,min Supported Version Code加载失败时显示字段级占位或隐藏,34,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00035,SCR-APP-001,ANDROID,启动页,主要内容,serverTime,服务端时间,DISPLAY,string,DATETIME_TEXT,appReleasePostAppVersionCheck.response.data.AppVersionPolicyResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,服务端时间加载失败时显示字段级占位或隐藏,35,appReleasePostAppVersionCheck,FROZEN_V1.2.2
FLD-00036,SCR-APP-001,ANDROID,启动页,请求头,X-Idempotency-Key,X-Idempotency-Key,REQUEST_HEADER,string,TEXT_INPUT,authPostAuthRefresh.header,必填,执行“刷新Token”时显示,用户具备权限且页面状态允许,必填；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,X-Idempotency-Key格式或范围不正确,36,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00037,SCR-APP-001,ANDROID,启动页,表单输入,refreshToken,refresh Token,INPUT,string,TEXT_INPUT,authPostAuthRefresh.request,必填,执行“刷新Token”且字段适用时显示,具备 RefreshToken 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,CRITICAL,禁止回显；仅瞬时输入；日志和埋点完全移除,,refresh Token不符合要求,37,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00038,SCR-APP-001,ANDROID,启动页,表单输入,deviceId,设备ID,INPUT,string,TEXT_INPUT,authPostAuthRefresh.request,必填,执行“刷新Token”且字段适用时显示,具备 RefreshToken 且资源状态允许,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,设备ID不符合要求,38,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00039,SCR-APP-001,ANDROID,启动页,主要内容,accessToken,access Token,DISPLAY,string,TEXT,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,CRITICAL,禁止回显；仅瞬时输入；日志和埋点完全移除,,access Token加载失败时显示字段级占位或隐藏,39,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00040,SCR-APP-001,ANDROID,启动页,主要内容,refreshToken,refresh Token,DISPLAY,string,TEXT,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,CRITICAL,禁止回显；仅瞬时输入；日志和埋点完全移除,,refresh Token加载失败时显示字段级占位或隐藏,40,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00041,SCR-APP-001,ANDROID,启动页,主要内容,expiresAt,过期时间,DISPLAY,string,DATETIME_TEXT,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,过期时间加载失败时显示字段级占位或隐藏,41,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00042,SCR-APP-001,ANDROID,启动页,主要内容,userId,用户ID,DISPLAY,string,TEXT,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,用户ID加载失败时显示字段级占位或隐藏,42,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00043,SCR-APP-001,ANDROID,启动页,主要内容,sessionId,session Id,DISPLAY,string,TEXT,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,session Id加载失败时显示字段级占位或隐藏,43,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00044,SCR-APP-001,ANDROID,启动页,主要内容,device,设备信息,DISPLAY,DeviceSummaryResource,STRUCTURED_SECTION,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,设备信息加载失败时显示字段级占位或隐藏,44,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00045,SCR-APP-001,ANDROID,启动页,主要内容,capabilities,capabilities,DISPLAY,array<string>,LIST,authPostAuthRefresh.response.data.AuthSessionResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,capabilities加载失败时显示字段级占位或隐藏,45,authPostAuthRefresh,FROZEN_V1.2.2
FLD-00046,SCR-APP-001,ANDROID,启动页,路由与筛选,platform,platform,FILTER,string,SELECT,appReleaseGetAppVersionCheck.query,必填,执行“登录后版本检查兼容接口；新客户端优先使用公开版本检查”时显示,用户具备权限且页面状态允许,必填；枚举:ANDROID,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,platform格式或范围不正确,52,appReleaseGetAppVersionCheck,FROZEN_V1.2.2
FLD-00047,SCR-APP-001,ANDROID,启动页,路由与筛选,versionCode,version Code,FILTER,integer,NUMBER_INPUT,appReleaseGetAppVersionCheck.query,必填,执行“登录后版本检查兼容接口；新客户端优先使用公开版本检查”时显示,用户具备权限且页面状态允许,必填；≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,version Code格式或范围不正确,53,appReleaseGetAppVersionCheck,FROZEN_V1.2.2
FLD-00048,SCR-APP-001,ANDROID,启动页,路由与筛选,channel,渠道,FILTER,string,FILTER_INPUT,appReleaseGetAppVersionCheck.query,必填,执行“登录后版本检查兼容接口；新客户端优先使用公开版本检查”时显示,用户具备权限且页面状态允许,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,渠道格式或范围不正确,54,appReleaseGetAppVersionCheck,FROZEN_V1.2.2
FLD-00049,SCR-APP-001,ANDROID,启动页,路由与筛选,environment,环境,FILTER,string,SELECT,appReleaseGetAppVersionCheck.query,必填,执行“登录后版本检查兼容接口；新客户端优先使用公开版本检查”时显示,用户具备权限且页面状态允许,必填；枚举:DEV/TEST/STAGING/PROD,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,环境格式或范围不正确,55,appReleaseGetAppVersionCheck,FROZEN_V1.2.2
FLD-00050,SCR-APP-002,ANDROID,系统维护页,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-00051,SCR-APP-002,ANDROID,系统维护页,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,2,publicGetPlatformStatus,FROZEN_V1.2.2
