ID,模块,页面,路由,菜单分组,读取权限,写入权限,敏感级别,功能摘要,计划版本,成熟度
ADM-PROP-002,道具,资源位与排期,/commerce/props/slots,commerce,prop.manage,prop.manage,NORMAL,头条/置顶库存,R19,ROUTE_PERMISSION_FROZEN
ADM-PROP-003,道具,执行日志,/commerce/props/executions,commerce,prop.manage,prop.manage,NORMAL,刷新和持续权益,R19,ROUTE_PERMISSION_FROZEN
ADM-REF-001,推广,邀请关系,/growth/referrals,growth,referral.read,referral.manage,NORMAL,一级二级,R25,ROUTE_PERMISSION_FROZEN
ADM-REF-002,推广,佣金策略,/growth/commissions/policies,growth,referral.read,referral.manage,NORMAL,按SKU比例,R25,ROUTE_PERMISSION_FROZEN
ADM-REF-003,推广,佣金记录,/growth/commissions/records,growth,referral.read,referral.manage,NORMAL,结算和风险,R25,ROUTE_PERMISSION_FROZEN
ADM-REF-004,推广,直推活跃规则,/growth/referral-activity/rules,growth,referral.read,referral.manage,NORMAL,事件和分值,R26,ROUTE_PERMISSION_FROZEN
ADM-REF-005,推广,直推进度,/growth/referral-activity/progress,growth,referral.read,referral.manage,NORMAL,每条关系独立,R26,ROUTE_PERMISSION_FROZEN
ADM-REF-006,推广,阶梯奖励矩阵,/growth/referral-activity/matrix,growth,referral.read,referral.manage,NORMAL,档位×会员,R26,ROUTE_PERMISSION_FROZEN
ADM-TASK-001,任务,任务定义,/growth/tasks/definitions,growth,task.manage,task.manage,NORMAL,个人任务和奖励,R27,ROUTE_PERMISSION_FROZEN
ADM-TASK-002,任务,任务进度与预算,/growth/tasks/progress,growth,task.manage,task.manage,NORMAL,用户和平台成本,R27,ROUTE_PERMISSION_FROZEN
ADM-CHAT-001,聊天,聊天举报,/governance/chat-reports,governance,chat.report.read,chat.report.manage,NORMAL,消息证据,R15,ROUTE_PERMISSION_FROZEN
ADM-SUPPORT-001,客服,工单列表,/support/tickets,support,support.manage,support.manage,NORMAL,分配、SLA、回复,R15,ROUTE_PERMISSION_FROZEN
ADM-CMS-001,运营,首页CMS,/operations/cms/home,operations,cms.manage,cms.manage,NORMAL,模块、轮播、专题,R28,ROUTE_PERMISSION_FROZEN
ADM-CMS-002,运营,H5宣传页CMS,/operations/cms/h5,operations,cms.manage,cms.manage,NORMAL,口号、截图、下载,R28,ROUTE_PERMISSION_FROZEN
ADM-CMS-003,运营,公告帮助协议,/operations/cms/content,operations,cms.manage,cms.manage,NORMAL,版本化内容,R28,ROUTE_PERMISSION_FROZEN
ADM-APP-001,版本,App版本,/delivery/app-versions,delivery,app.release.read,app.release.manage,NORMAL,APK、强制更新、灰度,R29,ROUTE_PERMISSION_FROZEN
ADM-RISK-001,风控,风险事件,/governance/risk/events,governance,risk.manage,risk.manage,NORMAL,规则命中和处置,R31,ROUTE_PERMISSION_FROZEN
ADM-RISK-002,风控,黑白名单,/governance/risk/lists,governance,risk.manage,risk.manage,NORMAL,设备/IP/实名/账户,R31,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-001,系统,系统配置,/system/config,system,config.manage,config.manage,HIGH,参数、版本、开关,R30,ROUTE_PERMISSION_FROZEN
ADM-RBAC-001,系统,员工角色权限,/system/rbac,system,rbac.manage,rbac.manage,HIGH,RBAC和数据权限,R30,ROUTE_PERMISSION_FROZEN
ADM-AUDIT-001,系统,审计日志,/system/audit,system,audit.read,audit.manage,HIGH,登录、操作、敏感查看、导出,R30,ROUTE_PERMISSION_FROZEN
ADM-JOB-001,系统,定时任务,/system/jobs,system,job.manage,job.manage,NORMAL,任务状态和重跑,R30,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-002,配置中心,供应商配置中心,/system/providers,system,config.manage,config.manage,HIGH,按短信、对象存储、实名、支付、出款分组管理，密钥脱敏、版本、测试、激活、回滚,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-003,配置中心,阿里云短信配置,/system/providers/sms,system,config.manage,config.manage,HIGH,AccessKey、Region、签名、模板、限流、连接测试和发送测试,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-004,配置中心,对象存储配置,/system/providers/storage,system,config.manage,config.manage,HIGH,Cloudflare R2与阿里云OSS配置、Scope绑定、连接测试和迁移任务,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-005,配置中心,支付网关配置,/system/providers/payment,system,config.manage,config.manage,HIGH,彩虹易支付网关、商户、签名、渠道、回调和连接测试,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-006,配置中心,支付宝企业付款配置,/system/providers/payout,system,config.manage,config.manage,HIGH,AppID、商家ID、私钥/证书上传、网关、回调、连接测试,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-007,配置中心,实名认证配置,/system/providers/identity,system,config.manage,config.manage,HIGH,APPCODE、活体/比对地址、超时、重试和结果映射,R03,ROUTE_PERMISSION_FROZEN
ADM-CONFIG-008,配置中心,域名与环境配置,/system/domains,system,config.manage,config.manage,HIGH,orbexa.cc二级域名、环境映射、DNS待办和验证状态,R03,ROUTE_PERMISSION_FROZEN
ADM-BUILD-001,App构建,构建中心首页,/delivery/builds,delivery,app.build.manage,app.build.manage,HIGH,官方App构建概览、队列、最近结果、失败告警和快捷创建,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-002,App构建,构建配置,/delivery/builds/profiles,delivery,app.build.manage,app.build.manage,HIGH,包名、显示名、环境、版本策略、Gradle参数和允许的Git Ref,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-003,App构建,签名配置,/delivery/builds/signing,delivery,app.build.manage,app.build.manage,HIGH,测试/生产签名Profile、证书指纹、访问权限、连接测试和轮换,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-004,App构建,构建任务列表,/delivery/builds/jobs,delivery,app.build.manage,app.build.manage,HIGH,任务状态、Commit、版本、环境、发起人、耗时和产物,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-005,App构建,构建任务详情,/delivery/builds/jobs/:id,delivery,app.build.manage,app.build.manage,HIGH,步骤日志、测试结果、APK、SHA256、失败重试和取消,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-006,App构建,构建产物与下载,/delivery/builds/artifacts,delivery,app.build.manage,app.build.manage,HIGH,测试APK、正式APK、保留期、下载、二维码和Commit追溯,R29,ROUTE_PERMISSION_FROZEN
ADM-BUILD-007,App构建,发布与回滚,/delivery/releases,delivery,app.build.manage,app.build.manage,HIGH,预发布、生产发布、双人复核、灰度、强制更新和版本回滚,R29,ROUTE_PERMISSION_FROZEN
ADM-AUTH-001,后台认证,后台登录,/auth/login,hidden,public,admin.auth.login,HIGH,账号密码、验证码、登录风险提示和登录失败锁定策略,R01,PAGE_SPEC_FROZEN
ADM-AUTH-002,后台认证,二次验证,/auth/mfa,hidden,admin.auth.pending,admin.auth.mfa,HIGH,TOTP/短信二次验证、恢复码、失败次数和会话升级,R01,PAGE_SPEC_FROZEN
ADM-REPORT-001,治理,内容举报处理,/governance/content-reports,governance,report.read,report.decide,HIGH,举报筛选、证据预览、内容与用户上下文、处理决定和通知结果,R15,PAGE_SPEC_FROZEN
ADM-APPEAL-001,治理,申诉处理,/governance/appeals,governance,appeal.read,appeal.decide,HIGH,申诉队列、原处罚与证据、补充材料、复核决定和状态历史,R15,PAGE_SPEC_FROZEN
ADM-SUPPORT-002,客服,工单详情,/support/tickets/:id,support,support.read,support.manage,HIGH,会话式工单详情、附件、分配、内部备注、回复、关闭与重开记录,R15,PAGE_SPEC_FROZEN
ADM-APPROVAL-001,系统,双人审批中心,/system/approvals,system,approval.read,approval.decide,CRITICAL,集中处理资金、配置、发布、签名和敏感操作的双人复核，禁止申请人自审,R30,PAGE_SPEC_FROZEN
ADM-ACCOUNTING-001,财务,统一会计交易,/finance/accounting/transactions,finance,accounting.read,accounting.reversal.request,CRITICAL,按业务来源、账户、日期和状态查询复式记账交易，核对借贷平衡与业务幂等键,R24,PAGE_SPEC_FROZEN
ADM-ACCOUNTING-002,财务,会计交易详情与冲正,/finance/accounting/transactions/:id,finance,accounting.read,accounting.reversal.request,CRITICAL,交易头、借贷分录、业务凭证、关联订单/红包/奖励/提现、冲正申请与审批进度,R24,PAGE_SPEC_FROZEN
ADM-RISK-003,风控,风控规则版本,/governance/risk/rules,governance,risk.rule.read,risk.rule.manage,CRITICAL,规则草稿、版本差异、测试样本、审批、激活、回滚和命中统计,R31,PAGE_SPEC_FROZEN
ADM-RISK-004,风控,风控规则模拟器,/governance/risk/simulator,governance,risk.rule.simulate,risk.rule.simulate,HIGH,使用脱敏样本或手工输入模拟规则命中、动作和解释，不产生真实业务副作用,R31,PAGE_SPEC_FROZEN
ADM-NOTIFY-001,运营,通知模板,/operations/notifications/templates,operations,notification.template.read,notification.template.manage,HIGH,站内信、推送、短信模板版本、变量白名单、预览、审批和灰度,R30,PAGE_SPEC_FROZEN
ADM-NOTIFY-002,运营,通知发送记录,/operations/notifications/deliveries,operations,notification.delivery.read,notification.delivery.retry,HIGH,按渠道、模板、业务、状态查询发送记录，查看脱敏载荷、失败原因和受控重试,R30,PAGE_SPEC_FROZEN
ADM-EXPORT-001,系统,数据导出中心,/system/exports,system,export.read,export.create,CRITICAL,异步导出任务、字段范围、脱敏策略、审批、短时下载令牌、过期销毁和下载审计,R30,PAGE_SPEC_FROZEN
ADM-SECURITY-001,个人安全,管理员安全设置,/me/security,profile,admin.self.read,admin.self.security,CRITICAL,修改密码、MFA绑定/解绑、恢复码、活跃会话、登录历史和安全提醒,R01,PAGE_SPEC_FROZEN
