Screen_ID,页面,路由,主参考批次,参考面板,绑定方式,开发说明
SCR-RP-001,红包首页,/red-packet,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-002,红包任务资格,/red-packet/{id}/eligibility,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-003,红包浏览任务,/red-packet/{id}/view,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SHEET-RP-001,红包领取面板,sheet://red-packet-claim,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-RP-004,我的红包,/me/rewards/red-packets,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-ADV-001,红包活动列表,/me/red-packet-campaigns,B08,P05,STYLE_LAYOUT_REFERENCE,红包活动管理布局
SCR-RP-ADV-002,创建红包,/me/red-packet-campaigns/create,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-ADV-003,预审核结果,/me/red-packet-campaigns/{id}/review,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-ADV-004,红包报价确认,/me/red-packet-campaigns/{id}/quote,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-RP-ADV-005,红包活动详情,/me/red-packet-campaigns/{id},B08,P05,STYLE_LAYOUT_REFERENCE,红包活动管理布局
SCR-RP-ADV-006,提高红包金额,/me/red-packet-campaigns/{id}/increase,B03/B09,P01/P08,STYLE_LAYOUT_REFERENCE,详情红包区与奖励明细布局；功能按红包规格
SCR-PUB-001,发布入口,/publish,B04,P01,EXACT_CONSTRUCTION_REFERENCE,四类发布中心精确施工面板；业务字段和动作以冻结页面合同为准
SCR-PUB-002,项目发布/编辑,/publish/project/{id?},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-PUB-003,App发布/编辑,/publish/app/{id?},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-PUB-004,群聊发布/编辑,/publish/group/{id?},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-PUB-005,团队长资料编辑,/publish/team-leader,B04,P05,EXACT_CONSTRUCTION_REFERENCE,团队长入驻申请精确施工面板；业务字段和动作仍以冻结页面合同为准
SCR-PUB-006,发布预览,/publish/preview,B05,P06,EXACT_CONSTRUCTION_REFERENCE,发布预览精确施工面板；只展示当前草稿真实字段和媒体
SCR-PUB-007,提交结果,/publish/result,B05,P07,APPROVED_SUPPLEMENT,批准补充规格复用B05/P07与B06/P07/P08覆盖成功待审驳回和失败恢复
SCR-MYC-001,我的发布,/me/contents,B08,P02,EXACT_CONSTRUCTION_REFERENCE,我的发布列表精确施工面板；统计与状态只来自服务端
SCR-MYC-002,草稿箱,/me/drafts,B08,P02,APPROVED_SUPPLEMENT,批准补充规格复用B08/P02列表主体与B05/P08保存反馈
SCR-MYC-003,内容管理详情,/me/contents/{id},B08,P03,EXACT_CONSTRUCTION_REFERENCE,发布管理详情精确施工面板；能力按权限和状态机显示
SCR-MYC-004,审核记录,/me/contents/{id}/reviews,B08,P03,APPROVED_SUPPLEMENT,批准补充规格复用B08/P03内容上下文与B06/P07/P08审核状态
SCR-MYC-005,内容数据,/me/contents/{id}/analytics,B08,P06,EXACT_CONSTRUCTION_REFERENCE,数据统计精确施工面板；指标和趋势只来自真实接口
SCR-MSG-001,消息中心,/messages,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-CHAT-001,会话列表,/messages/chats,B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SCR-CHAT-002,私聊页,/messages/chat/{conversationId},B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SHEET-CHAT-001,发送联系方式,sheet://chat-contact,B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SHEET-CHAT-002,聊天举报,sheet://chat-report,B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SCR-NOTICE-001,通知列表,/messages/notifications,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-NOTICE-002,通知详情,/messages/notifications/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-ANN-001,公告列表,/messages/announcements,B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SCR-ANN-002,公告详情,/messages/announcements/{id},B07,P01-P08,STYLE_LAYOUT_REFERENCE,聊天、通知与公告
SCR-ME-001,我的首页,/me,B08,P01,EXACT_CONSTRUCTION_REFERENCE,我的首页精确施工面板；模块只使用冻结真实能力
SCR-ME-002,个人资料,/me/profile,B08,P01,APPROVED_SUPPLEMENT,批准补充规格仅复用B08/P01身份头与MOB-FORM，不套用项目表单
SCR-FAV-001,我的收藏,/me/favorites,B08,P01-P08,STYLE_LAYOUT_REFERENCE,我的、订单、收藏和历史
SCR-HIS-001,浏览记录,/me/history,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SCR-ORDER-001,订单列表,/me/orders,B08,P01-P08,STYLE_LAYOUT_REFERENCE,我的、订单、收藏和历史
SCR-ORDER-002,订单详情,/me/orders/{id},B08,P01-P08,STYLE_LAYOUT_REFERENCE,我的、订单、收藏和历史
SCR-MEMBER-001,会员中心,/me/membership,B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-MEMBER-002,会员购买确认,/me/membership/buy/{skuId},B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-MEMBER-003,会员升级,/me/membership/upgrade,B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-MEMBER-004,会员权益明细,/me/membership/benefits,B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-PROP-001,道具商城,/me/props/store,B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-PROP-002,我的道具,/me/props,B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-PROP-003,使用道具,/me/props/use/{id},B11,P01-P08,STYLE_LAYOUT_REFERENCE,单一Pro会员和道具；忽略多会员身份
SCR-REF-001,推广中心,/me/referral,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-002,邀请好友,/me/referral/invite,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-003,邀请海报,/me/referral/posters,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-004,直推用户,/me/referral/direct,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-005,二级用户,/me/referral/level2,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-006,消费佣金,/me/referral/commissions,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-007,直推活跃奖励,/me/referral/activity-rewards,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REF-008,推广规则/教程,/me/referral/rules,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-TASK-001,任务中心,/me/tasks,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-TASK-002,个人任务积分,/me/tasks/points,B10/B08,P06-P07/P01,STYLE_LAYOUT_REFERENCE,推广列表、数据看板和成长卡片布局
SCR-REWARD-001,奖励账户,/me/rewards,B09,P01/P03-P08,STYLE_LAYOUT_REFERENCE,奖励账户和提现；忽略充值/商豆
SCR-REWARD-002,奖励明细,/me/rewards/ledger,B09,P01/P03-P08,STYLE_LAYOUT_REFERENCE,奖励账户和提现；忽略充值/商豆
SCR-WD-001,绑定支付宝,/me/withdrawal/account,B09,P01/P03-P08,STYLE_LAYOUT_REFERENCE,奖励账户和提现；忽略充值/商豆
SCR-WD-002,申请提现,/me/withdrawal/create,B09,P01/P03-P08,STYLE_LAYOUT_REFERENCE,奖励账户和提现；忽略充值/商豆
SCR-WD-003,提现记录,/me/withdrawal/history,B09,P01/P03-P08,STYLE_LAYOUT_REFERENCE,奖励账户和提现；忽略充值/商豆
SCR-ID-001,实名认证首页,/me/identity,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-ID-002,实名信息输入,/me/identity/form,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-ID-003,活体检测容器,/me/identity/liveness,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-ID-004,实名结果,/me/identity/result,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-SUPPORT-001,帮助中心,/support/help,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-SUPPORT-002,创建工单,/support/tickets/create,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-SUPPORT-003,工单列表,/support/tickets,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-SUPPORT-004,工单详情,/support/tickets/{id},B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-SET-001,设置,/me/settings,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
SCR-ABOUT-001,关于与检查更新,/me/about,B12,P01-P08,STYLE_LAYOUT_REFERENCE,设置、安全、实名状态和帮助
H5-001,品牌宣传下载页,/,B02/B11/B12,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-002,安装教程,/install-guide,B02/B11/B12,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-003,邀请落地页,/invite/{code},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-013,H5邀请注册页,/invite/{code}/register,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-004,项目分享页,/share/project/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-005,App分享页,/share/app/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-006,群聊分享页,/share/group/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-007,团队长分享页,/share/team-leader/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-008,统一收银台,/cashier/{orderNo},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-009,支付结果,/payment/result,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-010,协议与规则,/agreement/{code},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-011,帮助文章,/help/{id},TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
H5-012,活体回跳,/identity/callback,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,H5无专属高保真批次，按H5科技品牌规范、Design Token和功能文档实现
