版本,门禁ID,类别,门禁条件,适用性,证据,当前结论,说明,阻断规则,成熟度
P00,P00-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/P00/STORIES.yaml,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,是,catalogs/admin_page_operation_specs.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/R01/STORIES.yaml,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R01,R01-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求13条，页面/交互面3个，接口8个，故事3个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,是,catalogs/admin_page_operation_specs.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/R02/STORIES.yaml,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R02,R02-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求6条，页面/交互面14个，接口19个，故事9个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,是,catalogs/admin_page_operation_specs.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/R03/STORIES.yaml,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R03,R03-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求5条，页面/交互面7个，接口13个，故事4个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,不适用,catalogs/admin_page_operation_specs.csv,PASS,本版本无后台页面；仍需确认无后台操作遗漏,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/R04/STORIES.yaml,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R04,R04-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求2条，页面/交互面1个，接口3个，故事2个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,是,catalogs/admin_page_operation_specs.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-11,故事与责任,本版本工作已拆为可领取的用户故事/工程治理故事，包含责任角色、依赖、页面、接口、数据、配置和验收条件,是,catalogs/release_story_backlog.csv;releases/R05/STORIES.yaml,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R05,R05-DOR-12,外部事项记录,需要SDK、数据库、供应商、域名、证书、签名、法务或上线验证的事项已分类到实施/外部/生产门禁；不再误标为开发前文档缺口,是,DEVELOPMENT_RISK_REGISTER.md;catalogs/development_risk_register.csv,PASS,需求2条，页面/交互面7个，接口9个，故事8个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,是,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,是,catalogs/ui_page_fields.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,是,catalogs/ui_page_states.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,是,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
R06,R06-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求2条，页面/交互面5个，接口10个，故事5个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
