领域,表名,字段顺序,字段名,建议类型,可空,默认值,索引建议,约束来源,计划版本,成熟度
账号,user_sessions,4,refresh_hash,varchar(128),是,,,refresh_hash唯一,R02,FROZEN
账号,user_sessions,5,device_id,bigint,是,,INDEX,refresh_hash唯一,R02,FROZEN
账号,user_sessions,6,expires_at,timestamptz,是,,INDEX,refresh_hash唯一,R02,FROZEN
账号,user_sessions,7,version,bigint,否,0,,乐观锁,R02,FROZEN
账号,user_sessions,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_sessions,9,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,user_devices,1,id,bigint,否,generated,PRIMARY KEY,用户+指纹索引,R02,FROZEN
账号,user_devices,2,user_id,bigint,否,,INDEX,用户+指纹索引,R02,FROZEN
账号,user_devices,3,device_fingerprint,varchar(128),是,,,用户+指纹索引,R02,FROZEN
账号,user_devices,4,model,varchar(255),是,,,用户+指纹索引,R02,FROZEN
账号,user_devices,5,last_seen,timestamptz,是,,,用户+指纹索引,R02,FROZEN
账号,user_devices,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_devices,7,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,sms_verification_codes,1,id,bigint,否,generated,PRIMARY KEY,短期保留,R02,FROZEN
账号,sms_verification_codes,2,phone,varchar(32),否,,,短期保留,R02,FROZEN
账号,sms_verification_codes,3,scene,varchar(64),是,,,短期保留,R02,FROZEN
账号,sms_verification_codes,4,code_hash,varchar(128),是,,,短期保留,R02,FROZEN
账号,sms_verification_codes,5,expires_at,timestamptz,是,,INDEX,短期保留,R02,FROZEN
账号,sms_verification_codes,6,attempts,integer,是,,,短期保留,R02,FROZEN
账号,sms_verification_codes,7,provider_message_id,varchar(128),是,,INDEX,短期保留,R02,FROZEN
账号,sms_verification_codes,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,sms_verification_codes,9,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,sms_send_logs,1,id,bigint,否,generated,PRIMARY KEY,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,2,phone,varchar(32),否,,,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,3,scene,varchar(64),是,,,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,4,template_code,varchar(255),是,,,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,5,provider_message_id,varchar(128),是,,INDEX,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,6,result,jsonb,是,,,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,7,ip,varchar(64),是,,,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,8,device_id,bigint,是,,INDEX,时间与手机号索引,R02,FROZEN
账号,sms_send_logs,9,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,login_logs,1,id,bigint,否,generated,PRIMARY KEY,时间索引,R02,FROZEN
账号,login_logs,2,user_id,bigint,否,,INDEX,时间索引,R02,FROZEN
账号,login_logs,3,phone,varchar(32),是,,,时间索引,R02,FROZEN
账号,login_logs,4,ip,varchar(64),是,,,时间索引,R02,FROZEN
账号,login_logs,5,device_id,bigint,是,,INDEX,时间索引,R02,FROZEN
账号,login_logs,6,result,jsonb,是,,,时间索引,R02,FROZEN
账号,login_logs,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_settings,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R02,FROZEN
账号,user_settings,2,user_id,bigint,否,,INDEX,user_id唯一,R02,FROZEN
账号,user_settings,3,notification_json,jsonb,否,'{}'::jsonb,,user_id唯一,R02,FROZEN
账号,user_settings,4,privacy_json,jsonb,是,,,user_id唯一,R02,FROZEN
账号,user_settings,5,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_settings,6,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,user_status_logs,1,id,bigint,否,generated,PRIMARY KEY,不可删除,R02,FROZEN
账号,user_status_logs,2,user_id,bigint,否,,INDEX,不可删除,R02,FROZEN
账号,user_status_logs,3,from_status,varchar(255),是,,,不可删除,R02,FROZEN
账号,user_status_logs,4,to_status,varchar(255),是,,,不可删除,R02,FROZEN
账号,user_status_logs,5,reason,text,是,,,不可删除,R02,FROZEN
账号,user_status_logs,6,operator,varchar(255),是,,,不可删除,R02,FROZEN
账号,user_status_logs,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_restrictions,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R02,FROZEN_CR-0037
账号,user_restrictions,2,user_id,bigint,否,,INDEX;FOREIGN KEY hhy.users(id),用户+类型唯一活动限制,R02,FROZEN_CR-0037
账号,user_restrictions,3,restriction_type,varchar(128),否,,INDEX,限制类型,R02,FROZEN_CR-0037
账号,user_restrictions,4,reason,text,否,,,限制原因,R02,FROZEN_CR-0037
账号,user_restrictions,5,expires_at,timestamptz,是,,INDEX,可选到期时间,R02,FROZEN_CR-0037
账号,user_restrictions,6,status,varchar(64),否,'ACTIVE',INDEX,ACTIVE/REMOVED/EXPIRED,R02,FROZEN_CR-0037
账号,user_restrictions,7,created_by,bigint,否,,INDEX;FOREIGN KEY hhy.admin_users(id),创建管理员,R02,FROZEN_CR-0037
账号,user_restrictions,8,removed_by,bigint,是,,INDEX;FOREIGN KEY hhy.admin_users(id),解除管理员,R02,FROZEN_CR-0037
账号,user_restrictions,9,removed_at,timestamptz,是,,,解除或到期时间,R02,FROZEN_CR-0037
账号,user_restrictions,10,version,bigint,否,0,,乐观锁,R02,FROZEN_CR-0037
账号,user_restrictions,11,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN_CR-0037
账号,user_restrictions,12,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN_CR-0037
实名,identity_profiles,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R05,FROZEN
实名,identity_profiles,2,user_id,bigint,否,,INDEX,id_hash唯一策略,R05,FROZEN
实名,identity_profiles,3,name_cipher,varchar(255),否,,,id_hash唯一策略,R05,FROZEN
实名,identity_profiles,4,id_no_cipher,varchar(255),是,,,id_hash唯一策略,R05,FROZEN
实名,identity_profiles,5,id_hash,varchar(128),是,,,id_hash唯一策略,R05,FROZEN
实名,identity_profiles,6,status,varchar(64),否,,,id_hash唯一策略,R05,FROZEN
实名,identity_profiles,7,version,bigint,否,0,,乐观锁,R05,FROZEN
实名,identity_profiles,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
实名,identity_profiles,9,updated_at,timestamptz,否,now(),,统一审计字段,R05,FROZEN
实名,identity_verification_sessions,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R05,FROZEN
实名,identity_verification_sessions,2,user_id,bigint,否,,INDEX,state唯一,R05,FROZEN
实名,identity_verification_sessions,3,state,varchar(255),否,,,state唯一,R05,FROZEN
实名,identity_verification_sessions,4,status,varchar(64),否,,,state唯一,R05,FROZEN
实名,identity_verification_sessions,5,provider,varchar(255),是,,,state唯一,R05,FROZEN
实名,identity_verification_sessions,6,expires_at,timestamptz,是,,INDEX,state唯一,R05,FROZEN
实名,identity_verification_sessions,7,version,bigint,否,0,,乐观锁,R05,FROZEN
实名,identity_verification_sessions,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
实名,identity_verification_sessions,9,updated_at,timestamptz,否,now(),,统一审计字段,R05,FROZEN
实名,identity_provider_requests,1,id,bigint,否,generated,PRIMARY KEY,订单号索引,R05,FROZEN
实名,identity_provider_requests,2,session_id,bigint,否,,INDEX,订单号索引,R05,FROZEN
实名,identity_provider_requests,3,request_type,varchar(255),是,,,订单号索引,R05,FROZEN
实名,identity_provider_requests,4,provider_order_no,varchar(128),是,,,订单号索引,R05,FROZEN
实名,identity_provider_requests,5,response_cipher,varchar(255),是,,,订单号索引,R05,FROZEN
实名,identity_provider_requests,6,version,bigint,否,0,,乐观锁,R05,FROZEN
实名,identity_provider_requests,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
实名,identity_provider_requests,8,updated_at,timestamptz,否,now(),,统一审计字段,R05,FROZEN
实名,identity_media,1,id,bigint,否,generated,PRIMARY KEY,私有对象,R05,FROZEN
实名,identity_media,2,session_id,bigint,否,,INDEX,私有对象,R05,FROZEN
实名,identity_media,3,media_object_id,bigint,是,,INDEX,私有对象,R05,FROZEN
实名,identity_media,4,media_type,varchar(255),是,,,私有对象,R05,FROZEN
实名,identity_media,5,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
实名,identity_media,6,updated_at,timestamptz,否,now(),,统一审计字段,R05,FROZEN
实名,identity_review_records,1,id,bigint,否,generated,PRIMARY KEY,审计,R05,FROZEN
实名,identity_review_records,2,session_id,bigint,否,,INDEX,审计,R05,FROZEN
实名,identity_review_records,3,decision,varchar(64),是,,,审计,R05,FROZEN
实名,identity_review_records,4,reason,text,是,,,审计,R05,FROZEN
实名,identity_review_records,5,admin_id,bigint,是,,INDEX,审计,R05,FROZEN
实名,identity_review_records,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
实名,sensitive_data_access_logs,1,id,bigint,否,generated,PRIMARY KEY,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,2,admin_id,bigint,否,,INDEX,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,3,user_id,bigint,是,,INDEX,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,4,resource,varchar(255),是,,,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,5,reason,text,是,,,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,6,ip,varchar(64),是,,,不可删除,R05,FROZEN
实名,sensitive_data_access_logs,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R05,FROZEN
媒体,media_objects,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R04,FROZEN
媒体,media_objects,2,owner_id,bigint,否,,INDEX,bucket+key唯一,R04,FROZEN
媒体,media_objects,3,bucket,varchar(255),否,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,4,object_key,text,是,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,5,mime,varchar(255),是,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,6,size,bigint,是,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,7,sha256,varchar(128),是,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,8,visibility,varchar(255),是,,,bucket+key唯一,R04,FROZEN
媒体,media_objects,9,created_at,timestamptz,否,now(),INDEX,统一审计字段,R04,FROZEN
媒体,media_objects,10,updated_at,timestamptz,否,now(),,统一审计字段,R04,FROZEN
媒体,upload_sessions,1,id,bigint,否,generated,PRIMARY KEY,过期清理,R04,FROZEN
媒体,upload_sessions,2,user_id,bigint,否,,INDEX,过期清理,R04,FROZEN
媒体,upload_sessions,3,scene,varchar(64),是,,,过期清理,R04,FROZEN
媒体,upload_sessions,4,status,varchar(64),否,,,过期清理,R04,FROZEN
媒体,upload_sessions,5,expires_at,timestamptz,是,,INDEX,过期清理,R04,FROZEN
媒体,upload_sessions,6,version,bigint,否,0,,乐观锁,R04,FROZEN
媒体,upload_sessions,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R04,FROZEN
媒体,upload_sessions,8,updated_at,timestamptz,否,now(),,统一审计字段,R04,FROZEN
媒体,media_access_tokens,1,id,bigint,否,generated,PRIMARY KEY,一次或短期,R04,FROZEN
媒体,media_access_tokens,2,media_id,bigint,否,,INDEX,一次或短期,R04,FROZEN
媒体,media_access_tokens,3,subject,varchar(255),是,,,一次或短期,R04,FROZEN
媒体,media_access_tokens,4,expires_at,timestamptz,是,,INDEX,一次或短期,R04,FROZEN
媒体,media_access_tokens,5,used_at,timestamptz,是,,INDEX,一次或短期,R04,FROZEN
媒体,media_access_tokens,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R04,FROZEN
媒体,media_access_tokens,7,updated_at,timestamptz,否,now(),,统一审计字段,R04,FROZEN
内容,content_posts,1,id,bigint,否,generated,PRIMARY KEY,类型+状态索引,R06-R13,FROZEN
内容,content_posts,2,owner_id,bigint,否,,INDEX,类型+状态索引,R06-R13,FROZEN
内容,content_posts,3,type,varchar(64),是,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,4,title,varchar(255),是,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,5,summary,text,是,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,6,status,varchar(64),否,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,7,review_status,varchar(64),是,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,8,refresh_times,integer,是,,,类型+状态索引,R06-R13,FROZEN
内容,content_posts,9,version,bigint,否,0,,乐观锁,R06-R13,FROZEN
内容,content_posts,10,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_posts,11,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,project_details,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,project_details,2,content_id,bigint,否,,INDEX,content_id唯一,R06-R13,FROZEN
内容,project_details,3,cooperation,varchar(255),否,,,content_id唯一,R06-R13,FROZEN
内容,project_details,4,conditions,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,project_details,5,region,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,project_details,6,website,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,project_details,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,project_details,8,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,app_details,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,app_details,2,content_id,bigint,否,,INDEX,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,3,app_name,varchar(255),否,,,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,4,platform,varchar(255),是,,,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,5,version_text,varchar(255),是,,,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,6,download_url,text,是,,,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,7,website,varchar(255),是,,,content_id唯一；无apk字段,R06-R13,FROZEN
内容,app_details,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,app_details,9,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,group_details,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,group_details,2,content_id,bigint,否,,INDEX,content_id唯一,R06-R13,FROZEN
内容,group_details,3,platform,varchar(255),否,,,content_id唯一,R06-R13,FROZEN
内容,group_details,4,size_range,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,group_details,5,join_requirement,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,group_details,6,qr_media_id,bigint,是,,INDEX,content_id唯一,R06-R13,FROZEN
内容,group_details,7,group_link,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,group_details,8,group_no,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,group_details,9,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,group_details,10,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,team_leader_details,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,team_leader_details,2,content_id,bigint,否,,INDEX,owner唯一活动资料,R06-R13,FROZEN
内容,team_leader_details,3,team_name,varchar(255),否,,,owner唯一活动资料,R06-R13,FROZEN
内容,team_leader_details,4,size_range,varchar(255),是,,,owner唯一活动资料,R06-R13,FROZEN
内容,team_leader_details,5,skills,varchar(255),是,,,owner唯一活动资料,R06-R13,FROZEN
内容,team_leader_details,6,cooperation_types,varchar(255),是,,,owner唯一活动资料,R06-R13,FROZEN
内容,team_leader_details,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,team_leader_details,8,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_media,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,content_media,2,content_id,bigint,否,,INDEX,内容+顺序唯一,R06-R13,FROZEN
内容,content_media,3,media_id,bigint,否,,INDEX,内容+顺序唯一,R06-R13,FROZEN
内容,content_media,4,media_type,varchar(255),是,,,内容+顺序唯一,R06-R13,FROZEN
内容,content_media,5,sort_order,integer,是,,,内容+顺序唯一,R06-R13,FROZEN
内容,content_media,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_media,7,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_contacts,1,id,bigint,否,generated,PRIMARY KEY,详情获取,R06-R13,FROZEN
内容,content_contacts,2,content_id,bigint,否,,INDEX,详情获取,R06-R13,FROZEN
内容,content_contacts,3,channel,varchar(64),是,,,详情获取,R06-R13,FROZEN
内容,content_contacts,4,value_cipher,bigint,是,,,详情获取,R06-R13,FROZEN
内容,content_contacts,5,display_mask,varchar(255),是,,,详情获取,R06-R13,FROZEN
内容,content_contacts,6,sort_order,integer,是,,,详情获取,R06-R13,FROZEN
内容,content_contacts,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_contacts,8,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_versions,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,content_versions,2,content_id,bigint,否,,INDEX,内容+版本唯一,R06-R13,FROZEN
内容,content_versions,3,version_no,varchar(255),否,,,内容+版本唯一,R06-R13,FROZEN
内容,content_versions,4,snapshot_json,jsonb,是,,,内容+版本唯一,R06-R13,FROZEN
内容,content_versions,5,created_by,varchar(255),是,,,内容+版本唯一,R06-R13,FROZEN
内容,content_versions,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_status_logs,1,id,bigint,否,generated,PRIMARY KEY,不可删除,R06-R13,FROZEN
内容,content_status_logs,2,content_id,bigint,否,,INDEX,不可删除,R06-R13,FROZEN
内容,content_status_logs,3,from_status,varchar(255),是,,,不可删除,R06-R13,FROZEN
内容,content_status_logs,4,to_status,varchar(255),是,,,不可删除,R06-R13,FROZEN
内容,content_status_logs,5,reason,text,是,,,不可删除,R06-R13,FROZEN
内容,content_status_logs,6,operator,varchar(255),是,,,不可删除,R06-R13,FROZEN
内容,content_status_logs,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_review_records,1,id,bigint,否,generated,PRIMARY KEY,版本索引,R06-R13,FROZEN
内容,content_review_records,2,content_id,bigint,否,,INDEX,版本索引,R06-R13,FROZEN
内容,content_review_records,3,version_no,varchar(255),是,,,版本索引,R06-R13,FROZEN
内容,content_review_records,4,decision,varchar(64),是,,,版本索引,R06-R13,FROZEN
内容,content_review_records,5,reason,text,是,,,版本索引,R06-R13,FROZEN
内容,content_review_records,6,admin_id,bigint,是,,INDEX,版本索引,R06-R13,FROZEN
内容,content_review_records,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_stats,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,content_stats,2,content_id,bigint,否,,INDEX,content_id唯一,R06-R13,FROZEN
内容,content_stats,3,organic_views,varchar(255),否,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,4,redpacket_views,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,5,task_views,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,6,favorites,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,7,chats,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,8,contacts,varchar(255),是,,,content_id唯一,R06-R13,FROZEN
内容,content_stats,9,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_stats,10,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_daily_stats,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,content_daily_stats,2,content_id,bigint,否,,INDEX,内容+日期唯一,R06-R13,FROZEN
内容,content_daily_stats,3,stat_date,date,否,,,内容+日期唯一,R06-R13,FROZEN
内容,content_daily_stats,4,metrics_json,jsonb,是,,,内容+日期唯一,R06-R13,FROZEN
内容,content_daily_stats,5,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_daily_stats,6,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_favorites,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R06-R13,FROZEN
内容,content_favorites,2,user_id,bigint,否,,INDEX,用户+内容唯一,R06-R13,FROZEN
内容,content_favorites,3,content_id,bigint,否,,INDEX,用户+内容唯一,R06-R13,FROZEN
内容,content_favorites,4,created_at,timestamptz,否,now(),INDEX,用户+内容唯一,R06-R13,FROZEN
内容,content_favorites,5,updated_at,timestamptz,否,now(),,统一审计字段,R06-R13,FROZEN
内容,content_view_logs,1,id,bigint,否,generated,PRIMARY KEY,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,2,user_id,bigint,否,,INDEX,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,3,content_id,bigint,是,,INDEX,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,4,traffic_type,varchar(64),是,,,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,5,duration,integer,是,,,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,6,source,varchar(255),是,,,时间分区/归档,R06-R13,FROZEN
内容,content_view_logs,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
内容,content_contact_access_logs,1,id,bigint,否,generated,PRIMARY KEY,防重复和统计,R06-R13,FROZEN
内容,content_contact_access_logs,2,user_id,bigint,否,,INDEX,防重复和统计,R06-R13,FROZEN
内容,content_contact_access_logs,3,content_id,bigint,是,,INDEX,防重复和统计,R06-R13,FROZEN
内容,content_contact_access_logs,4,channel,varchar(64),是,,,防重复和统计,R06-R13,FROZEN
内容,content_contact_access_logs,5,action,varchar(255),是,,,防重复和统计,R06-R13,FROZEN
内容,content_contact_access_logs,6,created_at,timestamptz,否,now(),INDEX,统一审计字段,R06-R13,FROZEN
