表名,领域,计划版本,迁移文件,字段数,主键,成熟度
prop_skus,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
user_props,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
content_exposure_entitlements,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
content_refresh_records,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
headline_slots,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
headline_slot_bookings,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
color_themes,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
prop_execution_logs,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
red_packet_campaigns,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,10,id,FROZEN
red_packet_campaign_versions,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
red_packet_quotes,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
red_packet_orders,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
red_packet_stock,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
red_packet_view_sessions,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,11,id,FROZEN
red_packet_heartbeats,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
red_packet_reservations,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
red_packet_claims,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
red_packet_task_evidence,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
red_packet_ledger,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
red_packet_campaign_stats,红包,R20-R23,database/migrations/V004__commerce_redpacket_and_finance.sql,5,id,FROZEN
reward_accounts,奖励,R24,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
reward_ledger,奖励,R24,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
reward_settlements,奖励,R24,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
reward_freezes,奖励,R24,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
payout_accounts,提现,R24,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
withdrawal_requests,提现,R24,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
payout_transactions,提现,R24,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
payout_callbacks,提现,R24,database/migrations/V005__growth_operations_and_delivery.sql,5,id,FROZEN
payout_reconciliation_records,提现,R24,database/migrations/V005__growth_operations_and_delivery.sql,5,id,FROZEN
invite_codes,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
referral_relations,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
referral_binding_logs,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
commission_policy_versions,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,5,id,FROZEN
commission_records,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
commission_settlements,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
referral_materials,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
referral_violation_records,推广,R25,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
referral_activity_rule_versions,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
referral_activity_rules,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
referral_activity_progress,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
referral_activity_events,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
referral_milestones,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
referral_reward_matrix,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
referral_milestone_rewards,推广活跃,R26,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
task_definitions,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
task_rule_versions,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
user_task_progress,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
task_events,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
user_point_accounts,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
user_point_ledger,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
task_milestone_rewards,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
growth_budgets,任务,R27,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
support_tickets,客服,R15,database/migrations/V003__content_identity_and_communication.sql,10,id,FROZEN
ticket_messages,客服,R15,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
ticket_attachments,客服,R15,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
ticket_status_logs,客服,R15,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
home_modules,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
banners,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
cms_articles,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
agreements,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,5,id,FROZEN
agreement_versions,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
user_agreement_acceptances,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
h5_page_configs,CMS,R28,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
app_versions,版本,P00/R29/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
app_download_logs,版本,R29,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
risk_rule_versions,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,6,id,FROZEN
risk_events,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
device_fingerprints,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
blacklists,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
whitelists,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
manual_review_cases,风控,R31,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
admin_users,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,8,id,FROZEN
admin_roles,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,6,id,FROZEN
admin_permissions,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,6,id,FROZEN
admin_user_roles,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,5,id,FROZEN
admin_role_permissions,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,5,id,FROZEN
admin_operation_logs,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
admin_approval_requests,后台,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
system_configs,系统,P00/R29/R30,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
system_config_versions,系统,P00/R29/R30,database/migrations/V002__access_admin_and_platform.sql,6,id,FROZEN
feature_flags,系统,P00/R29/R30,database/migrations/V002__access_admin_and_platform.sql,6,id,FROZEN
job_definitions,系统,R30,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
job_execution_logs,系统,R30,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
idempotency_records,系统,P00/R29/R30,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
analytics_events,分析,R23/R30,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
daily_kpis,分析,R23/R30,database/migrations/V005__growth_operations_and_delivery.sql,7,id,FROZEN
provider_config_definitions,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
provider_config_versions,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,8,id,FROZEN
provider_connection_tests,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
provider_certificates,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,11,id,FROZEN
provider_certificate_access_logs,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
domain_configs,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,10,id,FROZEN
dns_action_items,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
storage_scope_bindings,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
storage_migration_jobs,配置中心,R01/R03/R30,database/migrations/V002__access_admin_and_platform.sql,11,id,FROZEN
app_build_profiles,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,11,id,FROZEN
app_signing_profiles,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
app_build_jobs,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,12,id,FROZEN
app_build_job_steps,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
app_build_artifacts,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
app_release_channels,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,8,id,FROZEN
app_release_records,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,10,id,FROZEN
app_release_approvals,App构建,R29,database/migrations/V005__growth_operations_and_delivery.sql,9,id,FROZEN
outbox_events,平台事件,P00,database/migrations/V002__access_admin_and_platform.sql,14,id,FROZEN
inbox_messages,平台事件,P00,database/migrations/V002__access_admin_and_platform.sql,8,id,FROZEN
ledger_accounts,账务,P00,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
accounting_transactions,账务,P00,database/migrations/V002__access_admin_and_platform.sql,11,id,FROZEN
accounting_entries,账务,P00,database/migrations/V002__access_admin_and_platform.sql,8,id,FROZEN
balance_snapshots,账务,P00,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
reconciliation_runs,账务,P00,database/migrations/V002__access_admin_and_platform.sql,10,id,FROZEN
reconciliation_differences,账务,P00,database/migrations/V002__access_admin_and_platform.sql,10,id,FROZEN
admin_sessions,后台,R01,database/migrations/V009__v122_operational_governance.sql,13,id,FROZEN_V1.2.2
admin_mfa_methods,后台,R01,database/migrations/V009__v122_operational_governance.sql,10,id,FROZEN_V1.2.2
admin_recovery_codes,后台,R01,database/migrations/V009__v122_operational_governance.sql,6,id,FROZEN_V1.2.2
admin_login_logs,后台,R01,database/migrations/V009__v122_operational_governance.sql,10,id,FROZEN_V1.2.2
accounting_reversal_requests,账务,R24,database/migrations/V009__v122_operational_governance.sql,12,id,FROZEN_V1.2.2
risk_rule_simulations,风控,R31,database/migrations/V009__v122_operational_governance.sql,12,id,FROZEN_V1.2.2
notification_delivery_attempts,通知,R30,database/migrations/V009__v122_operational_governance.sql,10,id,FROZEN_V1.2.2
export_jobs,后台,R30,database/migrations/V009__v122_operational_governance.sql,15,id,FROZEN_V1.2.2
export_job_files,后台,R30,database/migrations/V009__v122_operational_governance.sql,10,id,FROZEN_V1.2.2
export_download_logs,后台,R30,database/migrations/V009__v122_operational_governance.sql,11,id,FROZEN_V1.2.2
