operationId,方法,路径,用途,权限,计划版本,错误码,400处理,401处理,403处理,404处理,409处理,422处理,429处理,500处理,成熟度
userPostMeCancellation,POST,/api/v1/me/cancellation,申请注销,登录,R02/R07/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
identityPostIdentitySessions,POST,/api/v1/identity/sessions,创建实名会话,登录,R05,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
identityPostIdentitySessionsByIdLivenessToken,POST,/api/v1/identity/sessions/{id}/liveness-token,获取活体H5,登录,R05,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
identityGetIdentitySessionsById,GET,/api/v1/identity/sessions/{id},查询实名状态,登录,R05,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
identityPostIdentitySessionsByIdRetry,POST,/api/v1/identity/sessions/{id}/retry,重新认证,登录,R05,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
mediaPostMediaUploadSessions,POST,/api/v1/media/upload-sessions,创建上传会话,登录,R04,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
mediaPostMediaUploadSessionsByIdComplete,POST,/api/v1/media/upload-sessions/{id}/complete,完成上传,登录,R04,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
mediaDeleteMediaById,DELETE,/api/v1/media/{id},删除未绑定媒体,登录,R04,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
homeGetHome,GET,/api/v1/home,首页聚合,登录,R06,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
searchGetSearch,GET,/api/v1/search,全局搜索,登录,R07,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
searchGetSearchHot,GET,/api/v1/search/hot,热搜,登录,R07,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
searchGetSearchHistory,GET,/api/v1/search/history,搜索历史,登录,R07,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
searchDeleteSearchHistory,DELETE,/api/v1/search/history,清空历史,登录,R07,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentGetContents,GET,/api/v1/contents,统一内容列表,登录,R06/R08/R09/R10/R11,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPostContents,POST,/api/v1/contents,创建内容/草稿,登录+实名,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentGetContentsById,GET,/api/v1/contents/{id},内容详情,登录,R06/R08/R09/R10/R11,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPatchContentsById,PATCH,/api/v1/contents/{id},编辑内容,登录+实名+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentDeleteContentsById,DELETE,/api/v1/contents/{id},删除内容,登录+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPostContentsByIdSubmit,POST,/api/v1/contents/{id}/submit,提交审核,登录+实名+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPostContentsByIdOnline,POST,/api/v1/contents/{id}/online,上架,登录+实名+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPostContentsByIdOffline,POST,/api/v1/contents/{id}/offline,下架,登录+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentPostContentsByIdCopy,POST,/api/v1/contents/{id}/copy,复制为草稿,登录+实名+所有者,R08/R09/R10/R11/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentGetMeContents,GET,/api/v1/me/contents,我的发布,登录,R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
contentGetMeDrafts,GET,/api/v1/me/drafts,草稿列表,登录,R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;CONTENT-409-STATUS_TRANSITION,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
