契约类型,契约标识,operationId,计划版本,成熟度,安全模型,请求Schema,响应Schema,幂等,UI/系统所有者,事实源,事实源SHA256,冻结日期,变更策略
CLIENT_API,POST /api/v1/auth/logout,authPostAuthLogout,R02,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",AuthPostAuthLogoutRequest,AuthPostAuthLogoutResponse,是,SCR-SET-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/auth/sessions,authGetAuthSessions,R02,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",AuthGetAuthSessionsParameters,AuthGetAuthSessionsResponse,否,SCR-AUTH-006,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/auth/sessions/{id},authDeleteAuthSessionsById,R02,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",AuthDeleteAuthSessionsByIdParameters,AuthDeleteAuthSessionsByIdResponse,是,SCR-AUTH-006,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/me,userGetMe,R02/R07/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",UserGetMeParameters,UserGetMeResponse,否,SCR-AUTH-005;SCR-ID-001;SCR-ME-001;SCR-ME-002;SCR-PUB-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,PATCH /api/v1/me/profile,userPatchMeProfile,R02/R07/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",UserPatchMeProfileRequest,UserPatchMeProfileResponse,是,SCR-ME-002;SCR-SET-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/publishers/{id},userGetPublishersById,R02/R07/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",UserGetPublishersByIdParameters,UserGetPublishersByIdResponse,否,SCR-PUBLISHER-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/me/cancellation,userPostMeCancellation,R02/R07/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",UserPostMeCancellationRequest,UserPostMeCancellationResponse,是,SCR-AUTH-008,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/identity/sessions,identityPostIdentitySessions,R05,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",IdentityPostIdentitySessionsRequest,IdentityPostIdentitySessionsResponse,是,SCR-ID-001;SCR-ID-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/identity/sessions/{id}/liveness-token,identityPostIdentitySessionsByIdLivenessToken,R05,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",IdentityPostIdentitySessionsByIdLivenessTokenRequest,IdentityPostIdentitySessionsByIdLivenessTokenResponse,是,SCR-ID-003,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/identity/sessions/{id},identityGetIdentitySessionsById,R05,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",IdentityGetIdentitySessionsByIdParameters,IdentityGetIdentitySessionsByIdResponse,否,H5-012;SCR-ID-003;SCR-ID-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/identity/sessions/{id}/retry,identityPostIdentitySessionsByIdRetry,R05,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",IdentityPostIdentitySessionsByIdRetryRequest,IdentityPostIdentitySessionsByIdRetryResponse,是,SCR-ID-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/media/upload-sessions,mediaPostMediaUploadSessions,R04,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",MediaPostMediaUploadSessionsRequest,MediaPostMediaUploadSessionsResponse,是,SHEET-MEDIA-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/media/upload-sessions/{id}/complete,mediaPostMediaUploadSessionsByIdComplete,R04,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",MediaPostMediaUploadSessionsByIdCompleteRequest,MediaPostMediaUploadSessionsByIdCompleteResponse,是,SHEET-MEDIA-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/media/{id},mediaDeleteMediaById,R04,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",MediaDeleteMediaByIdParameters,MediaDeleteMediaByIdResponse,是,SHEET-MEDIA-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/home,homeGetHome,R06,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",HomeGetHomeParameters,HomeGetHomeResponse,否,SCR-HOME-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/search,searchGetSearch,R07,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",SearchGetSearchParameters,SearchGetSearchResponse,否,SCR-SEARCH-001;SCR-SEARCH-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/search/hot,searchGetSearchHot,R07,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",SearchGetSearchHotParameters,SearchGetSearchHotResponse,否,SCR-SEARCH-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/search/history,searchGetSearchHistory,R07,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",SearchGetSearchHistoryParameters,SearchGetSearchHistoryResponse,否,SCR-SEARCH-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/search/history,searchDeleteSearchHistory,R07,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",SearchDeleteSearchHistoryParameters,SearchDeleteSearchHistoryResponse,是,DIALOG-SEARCH-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/contents,contentGetContents,R06/R08/R09/R10/R11,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetContentsParameters,ContentGetContentsResponse,否,SCR-LIST-001;SCR-LIST-002;SCR-LIST-003;SCR-LIST-004;SCR-PUBLISHER-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents,contentPostContents,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsRequest,ContentPostContentsResponse,是,SCR-PUB-002;SCR-PUB-003;SCR-PUB-004;SCR-PUB-005,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/contents/{id},contentGetContentsById,R06/R08/R09/R10/R11,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetContentsByIdParameters,ContentGetContentsByIdResponse,否,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SCR-MYC-003;SCR-PUB-006,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,PATCH /api/v1/contents/{id},contentPatchContentsById,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPatchContentsByIdRequest,ContentPatchContentsByIdResponse,是,SCR-PUB-002;SCR-PUB-003;SCR-PUB-004;SCR-PUB-005,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/contents/{id},contentDeleteContentsById,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentDeleteContentsByIdParameters,ContentDeleteContentsByIdResponse,是,SCR-MYC-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/submit,contentPostContentsByIdSubmit,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdSubmitRequest,ContentPostContentsByIdSubmitResponse,是,SCR-PUB-007,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/online,contentPostContentsByIdOnline,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdOnlineRequest,ContentPostContentsByIdOnlineResponse,是,SCR-MYC-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/offline,contentPostContentsByIdOffline,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdOfflineRequest,ContentPostContentsByIdOfflineResponse,是,SCR-MYC-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/copy,contentPostContentsByIdCopy,R08/R09/R10/R11/R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdCopyRequest,ContentPostContentsByIdCopyResponse,是,SCR-MYC-003,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/me/contents,contentGetMeContents,R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetMeContentsParameters,ContentGetMeContentsResponse,否,SCR-MYC-001;SCR-PUB-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/me/drafts,contentGetMeDrafts,R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetMeDraftsParameters,ContentGetMeDraftsResponse,否,SCR-MYC-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/contents/{id}/reviews,contentGetContentsByIdReviews,R12,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetContentsByIdReviewsParameters,ContentGetContentsByIdReviewsResponse,否,SCR-MYC-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/contents/{id}/analytics,contentGetContentsByIdAnalytics,R12/R23,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetContentsByIdAnalyticsParameters,ContentGetContentsByIdAnalyticsResponse,否,SCR-MYC-003;SCR-MYC-005,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/favorite,contentPostContentsByIdFavorite,R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdFavoriteRequest,ContentPostContentsByIdFavoriteResponse,是,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/contents/{id}/favorite,contentDeleteContentsByIdFavorite,R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentDeleteContentsByIdFavoriteParameters,ContentDeleteContentsByIdFavoriteResponse,是,SCR-FAV-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/me/favorites,contentGetMeFavorites,R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetMeFavoritesParameters,ContentGetMeFavoritesResponse,否,SCR-FAV-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/me/history,contentGetMeHistory,R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentGetMeHistoryParameters,ContentGetMeHistoryResponse,否,SCR-HIS-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/contacts/{channel}/access,contentPostContentsByIdContactsByChannelAccess,R07/R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdContactsByChannelAccessRequest,ContentPostContentsByIdContactsByChannelAccessResponse,是,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SHEET-CONTACT-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/report,contentPostContentsByIdReport,R15,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdReportRequest,ContentPostContentsByIdReportResponse,是,SHEET-REPORT-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/invalid-feedback,contentPostContentsByIdInvalidFeedback,R10/R15,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdInvalidFeedbackRequest,ContentPostContentsByIdInvalidFeedbackResponse,是,SHEET-CONTENT-INVALID-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/contents/{id}/share,contentPostContentsByIdShare,R13,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ContentPostContentsByIdShareRequest,ContentPostContentsByIdShareResponse,是,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;SHEET-SHARE-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/conversations,chatGetConversations,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatGetConversationsParameters,ChatGetConversationsResponse,否,SCR-CHAT-001;SCR-MSG-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/conversations/direct,chatPostConversationsDirect,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatPostConversationsDirectRequest,ChatPostConversationsDirectResponse,是,SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/conversations/{id}/messages,chatGetConversationsByIdMessages,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatGetConversationsByIdMessagesParameters,ChatGetConversationsByIdMessagesResponse,否,SCR-CHAT-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/conversations/{id}/messages,chatPostConversationsByIdMessages,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatPostConversationsByIdMessagesRequest,ChatPostConversationsByIdMessagesResponse,是,SCR-CHAT-002;SHEET-CHAT-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/conversations/{id}/read,chatPostConversationsByIdRead,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatPostConversationsByIdReadRequest,ChatPostConversationsByIdReadResponse,是,SCR-CHAT-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/conversations/{id},chatDeleteConversationsById,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatDeleteConversationsByIdParameters,ChatDeleteConversationsByIdResponse,是,DIALOG-CHAT-DELETE-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/users/{id}/block,chatPostUsersByIdBlock,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatPostUsersByIdBlockRequest,ChatPostUsersByIdBlockResponse,是,DIALOG-CHAT-BLOCK-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,DELETE /api/v1/users/{id}/block,chatDeleteUsersByIdBlock,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatDeleteUsersByIdBlockParameters,ChatDeleteUsersByIdBlockResponse,是,DIALOG-CHAT-BLOCK-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/conversations/{id}/report,chatPostConversationsByIdReport,R14,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",ChatPostConversationsByIdReportRequest,ChatPostConversationsByIdReportResponse,是,SHEET-CHAT-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/notifications,notificationGetNotifications,R15,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",NotificationGetNotificationsParameters,NotificationGetNotificationsResponse,否,SCR-MSG-001;SCR-NOTICE-001;SCR-NOTICE-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
